,Bank,Company,Bank_Country,Company_Country,Amount,Bank_Zone,Company_Zone
0,ANZ,AGL Energy Ltd,Australia,Australia,116841312.6855469,Oceania,Oceania
1,ANZ,BHP Group Ltd,Australia,Australia,60357142.88,Oceania,Oceania
2,ANZ,Exxon Mobil Corp,Australia,United States,400000000.0,Oceania,United States
3,ANZ,Glencore PLC,Australia,Switzerland,424747395.3309328,Oceania,Europe
4,ANZ,Inpex Corp,Australia,Japan,3612244230.0,Oceania,Asia
5,ANZ,Shell PLC,Australia,United Kingdom,388000000.0,Oceania,Europe
6,ANZ,State Grid Corp of China,Australia,China,358913613.4298513,Oceania,China
7,ANZ,TotalEnergies SE,Australia,France,341250503.2317707,Oceania,Europe
8,ANZ,Zhejiang Provincial Energy Group Co Ltd,Australia,China,50000000.0,Oceania,China
9,Agricultural Bank of China,Beijing Energy Holding Co Ltd,China,China,1201041613.19675,China,China
10,Agricultural Bank of China,China Datang Corp,China,China,932240302.1743696,China,China
11,Agricultural Bank of China,China Energy Investment Corp Ltd,China,China,3045828706.92936,China,China
12,Agricultural Bank of China,China Huadian Corp Ltd,China,China,4886421111.494894,China,China
13,Agricultural Bank of China,China Huaneng Group Co Ltd,China,China,1864435662.129137,China,China
14,Agricultural Bank of China,China National Petroleum Corporation (CNPC),China,China,10405324300.0,China,China
15,Agricultural Bank of China,China ZhenHua Oil Co Ltd,China,China,247660875.0,China,China
16,Agricultural Bank of China,Guangdong Hengjian Investment Holding Co Ltd,China,China,1030151862.53,China,China
17,Agricultural Bank of China,Hebei Construction & Investment Group Co Ltd,China,China,329412531.0233705,China,China
18,Agricultural Bank of China,Huayang New Material Technology Group Co Ltd,China,China,558957500.0,China,China
19,Agricultural Bank of China,Hubei Yihua Chemical Industry Co Ltd,China,China,10218036.92,China,China
20,Agricultural Bank of China,Inner Mongolia Mengtai Group Co Ltd,China,China,43558611.5,China,China
21,Agricultural Bank of China,Inpex Corp,China,Japan,455769230.0,China,Asia
22,Agricultural Bank of China,Jinneng Holding Group Co Ltd,China,China,1488244834.182292,China,China
23,Agricultural Bank of China,Jizhong Energy Group Co Ltd,China,China,188894048.16,China,China
24,Agricultural Bank of China,Lu'an Chemical Group Co Ltd,China,China,185950879.8,China,China
25,Agricultural Bank of China,Shaanxi Yanchang Petroleum Group Co Ltd,China,China,1713916589.396029,China,China
26,Agricultural Bank of China,Shandong Energy Co Ltd,China,China,2036359206.06847,China,China
27,Agricultural Bank of China,Shenergy Group Co Ltd,China,China,197074281.6460693,China,China
28,Agricultural Bank of China,Shougang Group Co Ltd,China,China,1622303.169886687,China,China
29,Agricultural Bank of China,State Grid Corp of China,China,China,9679477550.00612,China,China
30,Agricultural Bank of China,Zhejiang Provincial Energy Group Co Ltd,China,China,645444945.0,China,China
31,BBVA,China Huadian Corp Ltd,Spain,China,45454545.0,Europe,China
32,BBVA,Glencore PLC,Spain,Switzerland,542201224.3097651,Europe,Europe
33,BBVA,Occidental Petroleum Corp,Spain,United States,161207213.8387928,Europe,United States
34,BBVA,Petróleos Mexicanos (PEMEX),Spain,Mexico,5041212288.918168,Europe,North America
35,BBVA,Repsol SA,Spain,Spain,799400504.5188018,Europe,Europe
36,BBVA,TotalEnergies SE,Spain,France,581173181.4049288,Europe,Europe
37,BNP Paribas,AGL Energy Ltd,France,Australia,116841312.6855469,Europe,Oceania
38,BNP Paribas,Adani Group,France,India,49809160.30534352,Europe,Asia
39,BNP Paribas,BHP Group Ltd,France,Australia,60357142.88,Europe,Oceania
40,BNP Paribas,Chevron Corp,France,United States,1221954123.0,Europe,United States
41,BNP Paribas,Delek Group Ltd,France,Israel,327878072.878125,Europe,Asia
42,BNP Paribas,Equinor ASA,France,Norway,1200090275.721994,Europe,Europe
43,BNP Paribas,Exxon Mobil Corp,France,United States,636120000.0,Europe,United States
44,BNP Paribas,Glencore PLC,France,Switzerland,573399948.0687791,Europe,Europe
45,BNP Paribas,Harbour Energy PLC,France,United Kingdom,1163461538.0,Europe,Europe
46,BNP Paribas,ITOCHU Corp,France,Japan,44166668.0,Europe,Asia
47,BNP Paribas,Indonesia Asahan Aluminium Persero PT,France,Indonesia,578451830.9557346,Europe,Asia
48,BNP Paribas,Inpex Corp,France,Japan,3197244230.0,Europe,Asia
