,Entity,Country,Zone
0,ABN AMRO,Netherlands,Europe
1,ANZ,Australia,Oceania
2,ASN Bank,Netherlands,Europe
3,Absa Group,South Africa,Africa
4,Access Bank,Nigeria,Africa
5,Agricultural Bank of China,China,China
6,Ahli United Bank,Bahrain,Asia
7,Akbank,Turkey,Asia
8,Allied Irish Banks (AIB),Ireland,Europe
9,Arab African International Bank,Egypt,Africa
10,Attijariwafa Bank,Morocco,Africa
11,Axis Bank,India,Asia
12,BBVA,Spain,Europe
13,BNP Paribas,France,Europe
14,BNP Paribas Fortis,Belgium,Europe
15,BNY Mellon,United States,United States
16,BPCE,France,Europe
17,BTG Pactual,Brazil,South America
18,Banco Bradesco,Brazil,South America
19,Banco Galicia,Argentina,South America
20,Banco Mercantil del Norte (Banorte),Mexico,North America
21,Banco Sabadell,Spain,Europe
22,Santander,Spain,Europe
23,Banco Votorantim,Brazil,South America
24,Banco de Crédito del Perú (BCP),Peru,South America
25,Banco de Oro (BDO) Unibank,Philippines,Asia
26,Banco de la República Oriental del Uruguay,Uruguay,South America
27,Banco do Brasil,Brazil,South America
28,BancoEstado,Chile,South America
29,Bancolombia,Colombia,South America
30,Bangkok Bank,Thailand,Asia
31,Bank Central Asia (BCA),Indonesia,Asia
32,Bank Hapoalim,Israel,Asia
33,Bank Leumi,Israel,Asia
34,Bank Mandiri,Indonesia,Asia
35,Bank Muscat,Oman,Asia
36,Bank Negara Indonesia (BNI),Indonesia,Asia
37,Bank Rakyat Indonesia (BRI),Indonesia,Asia
38,Bank SinoPac,"Taiwan, Province of China",
39,Bank of Africa - BMCE Group,Morocco,Africa
40,Bank of America,United States,United States
41,Bank of China,China,China
42,Bank of Chongqing,China,China
43,Bank of Communications,China,China
44,Bank of Guizhou,China,China
45,Bank of Huzhou,China,China
46,Bank of India,India,Asia
47,Bank of Jiangsu,China,China
48,Bank of Montreal,Canada,North America
49,Bankinter,Spain,Europe
50,Banque Misr,Egypt,Africa
51,Banque Populaire,Morocco,Africa
52,Barclays,United Kingdom,Europe
53,BayernLB,Germany,Europe
54,Belfius,Belgium,Europe
55,CIBanco,Mexico,North America
56,CIFI,Panama,North America
57,CIMB Group,Malaysia,Asia
58,CTBC Bank,"Taiwan, Province of China",
59,Caixa Econômica Federal,Brazil,South America
60,CaixaBank,Spain,Europe
61,CIBC,Canada,North America
62,Cathay United Bank,"Taiwan, Province of China",
63,China CITIC Bank,China,China
64,China Construction Bank,China,China
65,China Development Bank,China,China
66,China Everbright Bank,China,China
67,China Merchants Bank,China,China
68,China Minsheng Bank,China,China
69,Chongqing Rural Commercial Bank,China,China
70,Citi,United States,United States
