,Bank,Company,Grand Total,Amount
0,Agricultural Bank of China,State Grid Corp of China,Grand Total,9679477550.00612
1,Agricultural Bank of China,China National Petroleum Corporation (CNPC),Grand Total,10405324300.0
2,Agricultural Bank of China,China Huadian Corp Ltd,Grand Total,4886421111.494894
3,Agricultural Bank of China,Beijing Energy Holding Co Ltd,Grand Total,1201041613.19675
4,Agricultural Bank of China,Shandong Energy Co Ltd,Grand Total,2036359206.06847
5,Agricultural Bank of China,China Energy Investment Corp Ltd,Grand Total,3045828706.92936
6,Agricultural Bank of China,China Huaneng Group Co Ltd,Grand Total,1864435662.129137
7,Agricultural Bank of China,Jinneng Holding Group Co Ltd,Grand Total,1488244834.182292
8,Agricultural Bank of China,China Datang Corp,Grand Total,932240302.1743696
9,Agricultural Bank of China,Shenergy Group Co Ltd,Grand Total,197074281.6460693
10,Agricultural Bank of China,Guangdong Hengjian Investment Holding Co Ltd,Grand Total,1030151862.53
11,Agricultural Bank of China,Hebei Construction & Investment Group Co Ltd,Grand Total,329412531.0233705
12,Agricultural Bank of China,Huayang New Material Technology Group Co Ltd,Grand Total,558957500.0
13,Agricultural Bank of China,China ZhenHua Oil Co Ltd,Grand Total,247660875.0
14,Agricultural Bank of China,Inner Mongolia Mengtai Group Co Ltd,Grand Total,43558611.5
15,Agricultural Bank of China,Inpex Corp,Grand Total,455769230.0
16,Agricultural Bank of China,Shaanxi Yanchang Petroleum Group Co Ltd,Grand Total,1713916589.396029
17,Agricultural Bank of China,Jizhong Energy Group Co Ltd,Grand Total,188894048.16
18,Agricultural Bank of China,Shougang Group Co Ltd,Grand Total,1622303.169886687
19,Agricultural Bank of China,Lu'an Chemical Group Co Ltd,Grand Total,185950879.8
20,Agricultural Bank of China,Zhejiang Provincial Energy Group Co Ltd,Grand Total,645444945.0
21,Agricultural Bank of China,Hubei Yihua Chemical Industry Co Ltd,Grand Total,10218036.92
22,ANZ,Inpex Corp,Grand Total,3612244230.0
23,ANZ,Glencore PLC,Grand Total,424747395.3309328
24,ANZ,BHP Group Ltd,Grand Total,60357142.88
25,ANZ,Exxon Mobil Corp,Grand Total,400000000.0
26,ANZ,Zhejiang Provincial Energy Group Co Ltd,Grand Total,50000000.0
27,ANZ,Shell PLC,Grand Total,388000000.0
28,ANZ,AGL Energy Ltd,Grand Total,116841312.6855469
29,ANZ,State Grid Corp of China,Grand Total,358913613.4298513
30,ANZ,TotalEnergies SE,Grand Total,341250503.2317707
31,Bank of America,ConocoPhillips,Grand Total,4774896124.0
32,Bank of America,Inpex Corp,Grand Total,110000000.0
33,Bank of America,Delek Group Ltd,Grand Total,59741850.0
34,Bank of America,Glencore PLC,Grand Total,673735352.8661208
35,Bank of America,POSCO Holdings Inc,Grand Total,182600240.5519161
36,Bank of America,Adani Group,Grand Total,184945295.8842909
37,Bank of America,QatarEnergy,Grand Total,944444445.0
38,Bank of America,Chevron Corp,Grand Total,4659453457.0
39,Bank of America,Petróleo Brasileiro SA – Petrobras,Grand Total,4828527722.090447
40,Bank of America,China Huaneng Group Co Ltd,Grand Total,165000000.0
41,Bank of America,China National Petroleum Corporation (CNPC),Grand Total,133333333.0
42,Bank of America,State Grid Corp of China,Grand Total,219741135.763945
43,Bank of America,Petróleos Mexicanos (PEMEX),Grand Total,5924145989.2314
44,Bank of America,Evraz PLC,Grand Total,334268.2063579558
45,Bank of America,Repsol SA,Grand Total,413300504.5188018
46,Bank of America,ITOCHU Corp,Grand Total,44166668.0
47,Bank of America,Equinor ASA,Grand Total,2450420275.721993
48,Bank of America,Peabody Energy Corp,Grand Total,108000000.0
49,Bank of America,PPL Corp,Grand Total,1474126534.491241
50,Bank of America,Mitsubishi Corp,Grand Total,20000000.0
51,Bank of America,BHP Group Ltd,Grand Total,60357142.88
52,Bank of America,Exxon Mobil Corp,Grand Total,15330564109.0
53,Bank of America,Shell PLC,Grand Total,1742590001.0
54,Bank of America,Teck Resources Ltd,Grand Total,53822916.83890001
55,Bank of America,TotalEnergies SE,Grand Total,2085119899.98131
56,Bank of America,Occidental Petroleum Corp,Grand Total,12015796069.47664
57,Bank of China,State Grid Corp of China,Grand Total,5796964864.791008
58,Bank of China,China Huaneng Group Co Ltd,Grand Total,4184287229.565833
59,Bank of China,Petróleo Brasileiro SA – Petrobras,Grand Total,838692376.695231
60,Bank of China,Pertamina Persero PT,Grand Total,325925926.0
61,Bank of China,China Huadian Corp Ltd,Grand Total,4542689897.998722
62,Bank of China,Jinneng Holding Group Co Ltd,Grand Total,2614619299.581139
63,Bank of China,China National Petroleum Corporation (CNPC),Grand Total,10087671912.0
64,Bank of China,Hebei Construction & Investment Group Co Ltd,Grand Total,209281384.4579719
65,Bank of China,China Datang Corp,Grand Total,984330561.144938
66,Bank of China,China Energy Investment Corp Ltd,Grand Total,2961799862.714994
67,Bank of China,Shandong Energy Co Ltd,Grand Total,2781566595.550951
68,Bank of China,Inpex Corp,Grand Total,349769230.0
69,Bank of China,Lu'an Chemical Group Co Ltd,Grand Total,588814993.65
70,Bank of China,Shaanxi Investment Group Co Ltd,Grand Total,242171850.0
71,Bank of China,Guangdong Hengjian Investment Holding Co Ltd,Grand Total,643719754.4559786
72,Bank of China,BHP Group Ltd,Grand Total,60357142.88
73,Bank of China,Gazprom PJSC,Grand Total,258649375.0
74,Bank of China,Guangdong Hanjian Investment Co Ltd,Grand Total,144016932.4647243
75,Bank of China,Shaanxi Yulin Energy Group Co Ltd,Grand Total,73900396.79902755
76,Bank of China,Shenergy Group Co Ltd,Grand Total,186162853.5786353
77,Bank of China,Huayang New Material Technology Group Co Ltd,Grand Total,819980100.0
78,Bank of China,Inner Mongolia Yitai Investment Co Ltd,Grand Total,386218500.0
79,Bank of China,Shenmu City State-Owned Assets Operation Co,Grand Total,177088.944565824
80,Bank of China,China COSCO Shipping Corp Ltd,Grand Total,2878203.407241891
81,Bank of China,Beijing Energy Holding Co Ltd,Grand Total,242834533.9393962
82,Bank of China,Jizhong Energy Group Co Ltd,Grand Total,3084440932.78
83,Bank of China,Kailuan Group Ltd Liability Corp,Grand Total,166941900.0
84,Bank of China,Shaanxi Coal and Chemical Industry Group Co Ltd,Grand Total,2905042812.968891
85,Bank of China,Shaanxi Yanchang Petroleum Group Co Ltd,Grand Total,1221082595.976914
86,Bank of China,Shanxi Coking Coal Group Co Ltd,Grand Total,1409784932.525458
87,Bank of China,Shell PLC,Grand Total,388000000.0
88,Bank of China,China ZhenHua Oil Co Ltd,Grand Total,114730875.0
89,Bank of China,Tianjin Energy Investment Co Ltd,Grand Total,38666372.25
90,Bank of China,Xin Jiang Guang Hui Industry Investment Group Co Ltd,Grand Total,11665187.22145962
91,Bank of China,China Coal Xinji Energy Co Ltd,Grand Total,72789500.0
92,Bank of China,Zhejiang Provincial Energy Group Co Ltd,Grand Total,545233230.0
93,Bank of Communications,State Grid Corp of China,Grand Total,7031570250.0
94,Bank of Communications,China Huadian Corp Ltd,Grand Total,1651786926.383177
95,Bank of Communications,Shaanxi Yanchang Petroleum Group Co Ltd,Grand Total,2767042275.474897
96,Bank of Communications,China Huaneng Group Co Ltd,Grand Total,579329825.5521103
97,Bank of Communications,Shaanxi Coal and Chemical Industry Group Co Ltd,Grand Total,1316734698.49495
98,Bank of Communications,Shenergy Group Co Ltd,Grand Total,1032923980.680304
99,Bank of Communications,Shandong Energy Co Ltd,Grand Total,1031805522.799869
100,Bank of Communications,Inpex Corp,Grand Total,70000000.0
101,Bank of Communications,Shaanxi Investment Group Co Ltd,Grand Total,339059400.0
102,Bank of Communications,Lu'an Chemical Group Co Ltd,Grand Total,290287362.3
103,Bank of Communications,Kailuan Group Ltd Liability Corp,Grand Total,201553131.85
104,Bank of Communications,China Energy Investment Corp Ltd,Grand Total,923220212.2668704
105,Bank of Communications,Guangdong Hengjian Investment Holding Co Ltd,Grand Total,4119356.83899843
106,Bank of Communications,Beijing Energy Holding Co Ltd,Grand Total,214348602.2244015
107,Bank of Communications,Inner Mongolia Yitai Investment Co Ltd,Grand Total,151888000.0
108,Bank of Communications,Jizhong Energy Group Co Ltd,Grand Total,2640935679.5
109,Bank of Communications,Huayang New Material Technology Group Co Ltd,Grand Total,1067798875.0
110,Bank of Communications,Hebei Construction & Investment Group Co Ltd,Grand Total,134627625.0
111,Bank of Communications,Zhejiang Provincial Energy Group Co Ltd,Grand Total,174767270.0
112,Bank of Communications,Jinneng Holding Group Co Ltd,Grand Total,2025139491.767491
113,Bank of Communications,China National Petroleum Corporation (CNPC),Grand Total,1121871000.0
114,Bank of Montreal,Glencore PLC,Grand Total,564006689.8483073
115,Bank of Montreal,PPL Corp,Grand Total,67499999.73
116,Bank of Montreal,Arch Resources Inc,Grand Total,128178572.0
117,Bank of Montreal,Teck Resources Ltd,Grand Total,524019916.8389001
118,Bank of Montreal,Peabody Energy Corp,Grand Total,275500000.0
119,Bank of Montreal,Harbour Energy PLC,Grand Total,1125000000.0
120,Bank of Montreal,ConocoPhillips,Grand Total,228571429.0
121,Bank of Montreal,Chevron Corp,Grand Total,300000000.0
122,Barclays,TotalEnergies SE,Grand Total,3266666388.531565
123,Barclays,ConocoPhillips,Grand Total,1565502105.0
124,Barclays,Glencore PLC,Grand Total,617933284.5599704
125,Barclays,Occidental Petroleum Corp,Grand Total,4034682261.346275
126,Barclays,Petróleos Mexicanos (PEMEX),Grand Total,1441435571.840682
127,Barclays,Equinor ASA,Grand Total,2450090275.721993
128,Barclays,NTPC Ltd,Grand Total,333014276.76
129,Barclays,Evraz PLC,Grand Total,198969.1696552875
130,Barclays,Exxon Mobil Corp,Grand Total,12997230776.0
131,Barclays,Shell PLC,Grand Total,6736049182.5
132,Barclays,Chevron Corp,Grand Total,3576120124.0
133,Barclays,Harbour Energy PLC,Grand Total,38461538.0
134,Barclays,PPL Corp,Grand Total,1843792732.262933
135,Barclays,Repsol SA,Grand Total,370786330.7839388
136,Barclays,BHP Group Ltd,Grand Total,60357142.88
137,Barclays,Adani Group,Grand Total,640765354.6669874
138,Barclays,Teck Resources Ltd,Grand Total,53822916.83890001
139,BBVA,Petróleos Mexicanos (PEMEX),Grand Total,5041212288.918168
140,BBVA,Glencore PLC,Grand Total,542201224.3097651
141,BBVA,Occidental Petroleum Corp,Grand Total,161207213.8387928
142,BBVA,Repsol SA,Grand Total,799400504.5188018
143,BBVA,China Huadian Corp Ltd,Grand Total,45454545.0
144,BBVA,TotalEnergies SE,Grand Total,581173181.4049288
145,BNP Paribas,TotalEnergies SE,Grand Total,8862372921.736874
146,BNP Paribas,Inpex Corp,Grand Total,3197244230.0
147,BNP Paribas,Pertamina Persero PT,Grand Total,1164880952.0
148,BNP Paribas,Glencore PLC,Grand Total,573399948.0687791
149,BNP Paribas,Equinor ASA,Grand Total,1200090275.721994
150,BNP Paribas,Exxon Mobil Corp,Grand Total,636120000.0
151,BNP Paribas,Petróleos Mexicanos (PEMEX),Grand Total,3571359179.721732
152,BNP Paribas,POSCO Holdings Inc,Grand Total,182600240.5519161
153,BNP Paribas,Repsol SA,Grand Total,467779504.5188018
154,BNP Paribas,Delek Group Ltd,Grand Total,327878072.878125
155,BNP Paribas,Chevron Corp,Grand Total,1221954123.0
156,BNP Paribas,Shell PLC,Grand Total,8119811437.382341
157,BNP Paribas,Harbour Energy PLC,Grand Total,1163461538.0
158,BNP Paribas,Indonesia Asahan Aluminium Persero PT,Grand Total,578451830.9557346
159,BNP Paribas,Petróleo Brasileiro SA – Petrobras,Grand Total,2820234646.721015
160,BNP Paribas,ITOCHU Corp,Grand Total,44166668.0
161,BNP Paribas,PPL Corp,Grand Total,81000000.0
162,BNP Paribas,Adani Group,Grand Total,49809160.30534352
163,BNP Paribas,Kuwait Petroleum Corp,Grand Total,142857143.0
164,BNP Paribas,Mitsubishi Corp,Grand Total,22675740.0
165,BNP Paribas,AGL Energy Ltd,Grand Total,116841312.6855469
166,BNP Paribas,BHP Group Ltd,Grand Total,60357142.88
167,BPCE/Natixis,TotalEnergies SE,Grand Total,859673429.0577798
168,BPCE/Natixis,Delek Group Ltd,Grand Total,199849492.04
169,BPCE/Natixis,Shell PLC,Grand Total,821608000.0
170,BPCE/Natixis,Petróleos Mexicanos (PEMEX),Grand Total,718084000.0
171,BPCE/Natixis,Repsol SA,Grand Total,329647809.766093
172,BPCE/Natixis,Gazprom PJSC,Grand Total,200000000.0
173,BPCE/Natixis,Glencore PLC,Grand Total,22666666.61
174,BPCE/Natixis,Harbour Energy PLC,Grand Total,38461538.0
175,CaixaBank,Inpex Corp,Grand Total,43000000.0
176,CaixaBank,Repsol SA,Grand Total,369641870.7922244
177,China CITIC Bank,Jinneng Holding Group Co Ltd,Grand Total,5883659021.640965
178,China CITIC Bank,China Huaneng Group Co Ltd,Grand Total,2770361183.988577
