,Bank,Company,Grand Total,Amount
179,China CITIC Bank,Beijing Energy Holding Co Ltd,Grand Total,990842211.6320438
180,China CITIC Bank,China Datang Corp,Grand Total,957787417.690982
181,China CITIC Bank,China Huadian Corp Ltd,Grand Total,8638466388.732302
182,China CITIC Bank,Shaanxi Coal and Chemical Industry Group Co Ltd,Grand Total,538583630.0664495
183,China CITIC Bank,Shandong Energy Co Ltd,Grand Total,789915858.3536717
184,China CITIC Bank,Shaanxi Yanchang Petroleum Group Co Ltd,Grand Total,863846794.0473204
185,China CITIC Bank,Jizhong Energy Group Co Ltd,Grand Total,1020178131.0
186,China CITIC Bank,Lu'an Chemical Group Co Ltd,Grand Total,550676715.72
187,China CITIC Bank,Shaanxi Investment Group Co Ltd,Grand Total,480327450.0
188,China CITIC Bank,Guangdong Hengjian Investment Holding Co Ltd,Grand Total,175358460.8724661
189,China CITIC Bank,Shaanxi Yulin Energy Group Co Ltd,Grand Total,112672954.8038898
190,China CITIC Bank,China Energy Investment Corp Ltd,Grand Total,1742086902.608001
191,China CITIC Bank,Kailuan Group Ltd Liability Corp,Grand Total,137487180.0
192,China CITIC Bank,Shanxi Coking Coal Group Co Ltd,Grand Total,36238149.06925625
193,China CITIC Bank,Huayang New Material Technology Group Co Ltd,Grand Total,55787625.0
194,China CITIC Bank,Zhejiang Provincial Energy Group Co Ltd,Grand Total,175777110.0
195,China CITIC Bank,China National Petroleum Corporation (CNPC),Grand Total,2160796278.0
196,China CITIC Bank,Hebei Construction & Investment Group Co Ltd,Grand Total,225961665.4813423
197,China CITIC Bank,State Grid Corp of China,Grand Total,1556681625.0
198,China Construction Bank,China National Petroleum Corporation (CNPC),Grand Total,5232419133.0
199,China Construction Bank,China Huadian Corp Ltd,Grand Total,5012621799.578665
200,China Construction Bank,China Huaneng Group Co Ltd,Grand Total,2297434005.046359
201,China Construction Bank,Jinneng Holding Group Co Ltd,Grand Total,5127415119.335449
202,China Construction Bank,China Datang Corp,Grand Total,1130293870.293512
203,China Construction Bank,Huayang New Material Technology Group Co Ltd,Grand Total,1877653850.0
204,China Construction Bank,State Grid Corp of China,Grand Total,4972237158.558748
205,China Construction Bank,Guangdong Hengjian Investment Holding Co Ltd,Grand Total,716149494.9525303
206,China Construction Bank,Shaanxi Coal and Chemical Industry Group Co Ltd,Grand Total,1634957039.66299
207,China Construction Bank,Shaanxi Yulin Energy Group Co Ltd,Grand Total,112672954.8038898
208,China Construction Bank,China Energy Investment Corp Ltd,Grand Total,4000340675.144654
209,China Construction Bank,Shandong Energy Co Ltd,Grand Total,727339522.1207619
210,China Construction Bank,Hebei Construction & Investment Group Co Ltd,Grand Total,157802166.6319315
211,China Construction Bank,Shaanxi Yanchang Petroleum Group Co Ltd,Grand Total,1563017998.495001
212,China Construction Bank,Anhui Province Wanbei Coal-Electricity Group Co Ltd,Grand Total,16837705.0
213,China Construction Bank,Shaanxi Investment Group Co Ltd,Grand Total,69246495.0
214,China Construction Bank,Inpex Corp,Grand Total,230769230.0
215,China Construction Bank,BHP Group Ltd,Grand Total,60357142.88
216,China Construction Bank,China ZhenHua Oil Co Ltd,Grand Total,66888450.0
217,China Construction Bank,Jizhong Energy Group Co Ltd,Grand Total,2475091553.62
218,China Construction Bank,Elion Resources Group Ltd,Grand Total,111548000.0
219,China Construction Bank,Shenergy Group Co Ltd,Grand Total,300592374.4298698
220,China Construction Bank,Kailuan Group Ltd Liability Corp,Grand Total,179116800.0
221,China Construction Bank,Lu'an Chemical Group Co Ltd,Grand Total,237180978.45
222,China Construction Bank,Beijing Energy Holding Co Ltd,Grand Total,186247500.0
223,China Construction Bank,Zhejiang Provincial Energy Group Co Ltd,Grand Total,1297567175.0
224,China Everbright Bank,Jinneng Holding Group Co Ltd,Grand Total,7991117527.761551
225,China Everbright Bank,State Grid Corp of China,Grand Total,4211464500.0
226,China Everbright Bank,Huayang New Material Technology Group Co Ltd,Grand Total,3040587500.0
227,China Everbright Bank,China Energy Investment Corp Ltd,Grand Total,416942664.398119
228,China Everbright Bank,China Datang Corp,Grand Total,1438893994.016519
229,China Everbright Bank,Beijing Energy Holding Co Ltd,Grand Total,1439895373.539676
230,China Everbright Bank,Jizhong Energy Group Co Ltd,Grand Total,1296301296.0
231,China Everbright Bank,China Huaneng Group Co Ltd,Grand Total,493962984.9152269
232,China Everbright Bank,Lu'an Chemical Group Co Ltd,Grand Total,726783540.6
233,China Everbright Bank,China Huadian Corp Ltd,Grand Total,3779865242.07832
234,China Everbright Bank,Zhejiang Provincial Energy Group Co Ltd,Grand Total,45454545.0
235,China Everbright Bank,Shandong Energy Co Ltd,Grand Total,262357718.7047069
236,China Everbright Bank,Inner Mongolia Yitai Investment Co Ltd,Grand Total,291786000.0
237,China Everbright Bank,Xin Jiang Guang Hui Industry Investment Group Co Ltd,Grand Total,16961745.67514458
238,China Everbright Bank,Shaanxi Coal and Chemical Industry Group Co Ltd,Grand Total,46568672.07170913
239,China Everbright Bank,Hebei Construction & Investment Group Co Ltd,Grand Total,39070250.0
240,China Everbright Bank,Shaanxi Investment Group Co Ltd,Grand Total,34848225.0
241,China Everbright Bank,Anhui Province Wanbei Coal-Electricity Group Co Ltd,Grand Total,35347250.0
242,China Everbright Bank,China National Petroleum Corporation (CNPC),Grand Total,1419870000.0
243,China Merchants Bank,China Huaneng Group Co Ltd,Grand Total,1910964621.226545
244,China Merchants Bank,China Huadian Corp Ltd,Grand Total,5524667004.797451
245,China Merchants Bank,Shenergy Group Co Ltd,Grand Total,574246044.019267
246,China Merchants Bank,State Grid Corp of China,Grand Total,886284000.0
247,China Merchants Bank,Beijing Energy Holding Co Ltd,Grand Total,2382553454.521473
248,China Merchants Bank,Shandong Energy Co Ltd,Grand Total,769252213.2525488
249,China Merchants Bank,Shaanxi Yanchang Petroleum Group Co Ltd,Grand Total,3745733470.044609
250,China Merchants Bank,China Energy Investment Corp Ltd,Grand Total,1762001697.601762
251,China Merchants Bank,Shaanxi Coal and Chemical Industry Group Co Ltd,Grand Total,687075056.2137834
252,China Merchants Bank,China Datang Corp,Grand Total,2864811320.271606
253,China Merchants Bank,Shaanxi Investment Group Co Ltd,Grand Total,230941200.0
254,China Merchants Bank,Inner Mongolia Yitai Investment Co Ltd,Grand Total,43656900.0
255,China Merchants Bank,Hebei Construction & Investment Group Co Ltd,Grand Total,34652500.0
256,China Merchants Bank,Kailuan Group Ltd Liability Corp,Grand Total,29091279.7
257,China Merchants Bank,Lu'an Chemical Group Co Ltd,Grand Total,868983719.4
258,China Merchants Bank,Guangdong Hengjian Investment Holding Co Ltd,Grand Total,399981882.7710784
259,China Merchants Bank,Huayang New Material Technology Group Co Ltd,Grand Total,72093500.0
260,China Merchants Bank,Hubei Yihua Chemical Industry Co Ltd,Grand Total,10218036.92
261,China Merchants Bank,Zhejiang Provincial Energy Group Co Ltd,Grand Total,340577145.0
262,China Merchants Bank,China National Petroleum Corporation (CNPC),Grand Total,71405278.0
263,China Merchants Bank,Jinneng Holding Group Co Ltd,Grand Total,3558116677.69351
264,China Merchants Bank,Jizhong Energy Group Co Ltd,Grand Total,126396465.0
265,China Merchants Bank,China ZhenHua Oil Co Ltd,Grand Total,66888450.0
266,China Merchants Bank,Xin Jiang Guang Hui Industry Investment Group Co Ltd,Grand Total,340956107.9369203
267,China Minsheng Bank,Huayang New Material Technology Group Co Ltd,Grand Total,884315125.0
268,China Minsheng Bank,State Grid Corp of China,Grand Total,2016220750.0
269,China Minsheng Bank,China Datang Corp,Grand Total,227825045.1738193
270,China Minsheng Bank,Jinneng Holding Group Co Ltd,Grand Total,1378719132.671064
271,China Minsheng Bank,Shaanxi Investment Group Co Ltd,Grand Total,43113300.0
272,China Minsheng Bank,Lu'an Chemical Group Co Ltd,Grand Total,248984025.6
273,China Minsheng Bank,Xin Jiang Guang Hui Industry Investment Group Co Ltd,Grand Total,23424183.58942033
274,China Minsheng Bank,Hebei Construction & Investment Group Co Ltd,Grand Total,19603875.0
275,China Minsheng Bank,China Huadian Corp Ltd,Grand Total,404159788.9135042
276,China Minsheng Bank,China Huaneng Group Co Ltd,Grand Total,383570344.6557182
277,China Minsheng Bank,Shaanxi Coal and Chemical Industry Group Co Ltd,Grand Total,426501899.9148909
278,China Minsheng Bank,China National Petroleum Corporation (CNPC),Grand Total,13693685000.0
279,China Minsheng Bank,Beijing Energy Holding Co Ltd,Grand Total,477050069.7031533
280,China Minsheng Bank,Jizhong Energy Group Co Ltd,Grand Total,126731550.0
281,China Minsheng Bank,Shandong Energy Co Ltd,Grand Total,352711335.2136236
282,China Minsheng Bank,Shanxi Coking Coal Group Co Ltd,Grand Total,374238888.1835929
283,China Minsheng Bank,China Coal Xinji Energy Co Ltd,Grand Total,72789500.0
284,China Minsheng Bank,Zhejiang Provincial Energy Group Co Ltd,Grand Total,45454545.0
285,China Minsheng Bank,Guangdong Hengjian Investment Holding Co Ltd,Grand Total,448421485.622509
286,China Minsheng Bank,Kailuan Group Ltd Liability Corp,Grand Total,8537760.0
287,CIBC,Glencore PLC,Grand Total,39741920.0
288,CIBC,Equinor ASA,Grand Total,298899358.7219936
289,CIBC,Teck Resources Ltd,Grand Total,4239092916.838901
290,CIBC,BHP Group Ltd,Grand Total,60357142.88
291,CIBC,PPL Corp,Grand Total,243000000.0
292,Citi,Petróleos Mexicanos (PEMEX),Grand Total,7139733671.468018
293,Citi,ConocoPhillips,Grand Total,2388636361.0
294,Citi,Inpex Corp,Grand Total,545000000.0
295,Citi,Hess Corporation,Grand Total,714285714.0
296,Citi,TotalEnergies SE,Grand Total,2765002062.522599
297,Citi,China Datang Corp,Grand Total,89710221.46000001
298,Citi,Glencore PLC,Grand Total,665547682.7802929
299,Citi,Shandong Energy Co Ltd,Grand Total,63144722.32786885
300,Citi,Shenergy Group Co Ltd,Grand Total,35271222.85406535
301,Citi,NTPC Ltd,Grand Total,496794823.5
302,Citi,Alliance Resource Partners LP,Grand Total,348920833.0
303,Citi,POSCO Holdings Inc,Grand Total,242899370.3687962
304,Citi,Equinor ASA,Grand Total,1798899358.721994
305,Citi,Bulgarian Energy Holding EAD,Grand Total,239247430.0
306,Citi,Peabody Energy Corp,Grand Total,800000000.0
307,Citi,Evraz PLC,Grand Total,677613.6043421046
308,Citi,Petróleo Brasileiro SA – Petrobras,Grand Total,5648171937.234013
309,Citi,Exxaro Resources Ltd,Grand Total,307276057.6375915
310,Citi,Exxon Mobil Corp,Grand Total,15330564109.0
311,Citi,Shell PLC,Grand Total,2771333333.0
312,Citi,Occidental Petroleum Corp,Grand Total,11364724641.47664
313,Citi,PPL Corp,Grand Total,1618058695.837004
314,Citi,BHP Group Ltd,Grand Total,60357142.88
315,Citi,Teck Resources Ltd,Grand Total,53822916.83890001
316,Citi,Indian Oil Corp Ltd,Grand Total,178200000.0
317,Citi,Xin Jiang Guang Hui Industry Investment Group Co Ltd,Grand Total,6802603.945534943
318,Citi,Indika Energy Tbk PT,Grand Total,414968898.267
319,Citi,Indonesia Asahan Aluminium Persero PT,Grand Total,510335048.8318794
320,Citi,ITOCHU Corp,Grand Total,704384393.4
321,Citi,Jinneng Holding Group Co Ltd,Grand Total,37693744.47533107
322,Citi,Pertamina Persero PT,Grand Total,1221547619.0
323,Citi,Adani Group,Grand Total,229644804.1597555
324,Citi,QatarEnergy,Grand Total,1744444445.0
325,Citi,Kuwait Petroleum Corp,Grand Total,142857143.0
326,Citi,Repsol SA,Grand Total,535756306.7386871
327,Citi,Arch Resources Inc,Grand Total,224928572.0
328,Citi,Chevron Corp,Grand Total,5449329457.0
329,Citi,State Grid Corp of China,Grand Total,360511278.1752198
330,Citi,Mitsubishi Corp,Grand Total,333078652.7024406
331,Citi,China Huadian Corp Ltd,Grand Total,36983433.43777198
332,Citi,China Huaneng Group Co Ltd,Grand Total,148888656.219359
333,Citi,China National Petroleum Corporation (CNPC),Grand Total,133333333.0
334,Citi,Yangcheng County Yangtai Group Industrial Co Ltd,Grand Total,39513103.5816835
335,Commerzbank,Glencore PLC,Grand Total,555194497.0370378
336,Commerzbank,Repsol SA,Grand Total,113365880.5544933
337,Commerzbank,Shell PLC,Grand Total,47690190.0
338,Commerzbank,TotalEnergies SE,Grand Total,118360000.0
339,Commerzbank,Gazprom PJSC,Grand Total,404654672.6379588
340,Commerzbank,Inpex Corp,Grand Total,230769230.0
341,Commerzbank,Mitsubishi Corp,Grand Total,22675740.0
342,Commonwealth Bank,Glencore PLC,Grand Total,464489315.3309328
343,Commonwealth Bank,State Grid Corp of China,Grand Total,196429742.5471841
344,Commonwealth Bank,Inpex Corp,Grand Total,1050875000.0
345,Crédit Agricole,TotalEnergies SE,Grand Total,9457456016.163162
346,Crédit Agricole,Inpex Corp,Grand Total,1886644230.0
347,Crédit Agricole,Pertamina Persero PT,Grand Total,1139206348.0
348,Crédit Agricole,Glencore PLC,Grand Total,622866454.2580662
349,Crédit Agricole,Petróleo Brasileiro SA – Petrobras,Grand Total,2721729597.983349
350,Crédit Agricole,ConocoPhillips,Grand Total,375000000.0
351,Crédit Agricole,Shell PLC,Grand Total,388000000.0
352,Crédit Agricole,Equinor ASA,Grand Total,298899358.7219936
353,Crédit Agricole,Gazprom PJSC,Grand Total,945024645.218948
354,Crédit Agricole,Petróleos Mexicanos (PEMEX),Grand Total,2694468590.77105
355,Crédit Agricole,Harbour Energy PLC,Grand Total,38461538.0
356,Crédit Agricole,POSCO Holdings Inc,Grand Total,42266681.32394297
357,Crédit Agricole,Repsol SA,Grand Total,236966142.766093
358,Crédit Agricole,ITOCHU Corp,Grand Total,44166668.0
359,Crédit Agricole,BHP Group Ltd,Grand Total,60357142.88
360,Crédit Agricole,State Grid Corp of China,Grand Total,38201956.46988373
361,Crédit Agricole,China National Petroleum Corporation (CNPC),Grand Total,133333333.0
362,Crédit Agricole,Kuwait Petroleum Corp,Grand Total,142857143.0
363,Credit Suisse,ConocoPhillips,Grand Total,1865241364.0
364,Credit Suisse,Glencore PLC,Grand Total,688763894.7875963
365,Credit Suisse,China Huadian Corp Ltd,Grand Total,198917832.9366802
366,Credit Suisse,China Huaneng Group Co Ltd,Grand Total,255785206.4830106
367,Credit Suisse,Peabody Energy Corp,Grand Total,1303961680.0
368,Credit Suisse,QatarEnergy,Grand Total,944444445.0
369,Credit Suisse,Chevron Corp,Grand Total,112629612.0
370,Credit Suisse,Arch Resources Inc,Grand Total,128178572.0
371,Credit Suisse,Adani Group,Grand Total,168461960.7288068
372,Credit Suisse,Petróleo Brasileiro SA – Petrobras,Grand Total,596266121.31
373,Credit Suisse,PPL Corp,Grand Total,374625000.0
374,Credit Suisse,Evraz PLC,Grand Total,319469.0975300091
375,Credit Suisse,Gazprom PJSC,Grand Total,136103750.0
376,Credit Suisse,Petróleos Mexicanos (PEMEX),Grand Total,91615500.0
377,Credit Suisse,Repsol SA,Grand Total,113365880.5544933
378,Credit Suisse,Shell PLC,Grand Total,388000000.0
379,Credit Suisse,Titan Infra Energy PT,Grand Total,135000000.0
