,New_project_source_CB,Carbon_bomb_name,Company,Percentage,Potential_GtCO2_source_CB,GtCO2_by_Company,Company_name,Company_Country
54,True,Bankui,Coal India Ltd,100.0,1.6,1.6,Coal India Ltd,India
55,False,Baode Coal Mine,HKSCC Nominees Limited,17.0,1.65844206,0.2819351502,HKSCC Nominees Limited,Hong Kong
56,False,Baode Coal Mine,Others,14.0,1.65844206,0.2321818884,,
57,False,Baode Coal Mine,China Energy Investment Corp Ltd,69.0,1.65844206,1.1443250214,China Energy Investment Corp Ltd,China
58,True,Barail Shale,New project,100.0,2.141583711,2.141583711,,
59,False,Barnett Shale,No informations on company,100.0,1.360879964,1.360879964,,
60,True,Barzan,No informations on company,100.0,3.094095108,3.0940951079999994,,
61,False,Basrah Gas project,Basra Oil Company,23.4,1.041154291,0.243630104094,Basra Oil Company,Iraq
62,False,Basrah Gas project,Eni S.P.A.,32.8,1.041154291,0.3414986074479999,Eni S.P.A.,Italy
63,False,Basrah Gas project,Korean Gas Corporation,18.8,1.041154291,0.195737006708,Korean Gas Corporation,"Korea, Republic of"
64,False,Basrah Gas project,Missan Oil Company,25.0,1.041154291,0.26028857275,Missan Oil Company,Iraq
65,True,Beaufort Sea Offshore,New project,100.0,1.254810599,1.254810599,,
66,True,Beisky-Zapadniy Coal Mine,Private individuals,100.0,2.4338286,2.4338286,,
67,True,Bernice-Cygnus Coal Mine,Bono Lithihi Investments Group,50.0,1.07242344,0.53621172,Bono Lithihi Investments Group,South Africa
68,True,Bernice-Cygnus Coal Mine,TerraCom Resources,50.0,1.07242344,0.53621172,TerraCom Resources,Australia
69,False,Berri,No informations on company,100.0,3.557107777,3.557107777,,
70,False,Black Thunder Coal Mine,Arch Resources Inc,100.0,1.358040033,1.358040033,Arch Resources Inc,United States
71,False,Blackwater Coal Mine,Mitsubishi Corp,50.0,1.000395,0.5001975,Mitsubishi Corp,Japan
72,False,Blackwater Coal Mine,BHP Group Ltd,50.0,1.000395,0.5001975,BHP Group Ltd,Australia
73,False,Bogatyr Coal Mine,United Company RUSAL,50.0,7.32204,3.66102,United Company RUSAL,Russian Federation
74,False,Bogatyr Coal Mine,Samruk-Energo,50.0,7.32204,3.66102,Samruk-Energo,Kazakhstan
75,True,Boikarabelo Coal Mine,Resource Generation Australia,100.0,2.4284766,2.4284766,Resource Generation Australia,Australia
76,True,Boli Coal Mine,Shanxi Chuangrei New Energy Investment Company,30.0,2.0209497,0.6062849100000001,Shanxi Chuangrei New Energy Investment Company,China
