Project Name;In Paper;In GEM;GEM > 1Gt;Country_gem;Country_paper;year;Project_status_gem;Project_status_paper;Coal_Type_gem;Coal_Type_paper;Reserves (Million tons)_gem;Reserves (Million tons)_paper;total_emissions_gem;total_emissions_paper;details;Source_paper
Qingchunta Coal Mine;True;True;True;China;China;2017;Operating;Operating;Bituminous;Bituminous;583.0;583.24;1.423;1.423502203;[Current - Bituminous - 1.423];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Qinghua No.7 Coal Mine;True;True;False;China;China;;Proposed;Proposed;Bituminous;Bituminous;345.0;1383.0;0.842;3.37546044;[New - Bituminous - 0.842];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Qingshuiying Coal Mine;True;True;True;China;China;2011;Operating;Operating;Bituminous;Bituminous;759.0;749.0;1.852;1.82806932;[Current - Bituminous - 1.852];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Qiyuan Coal Mine;True;True;True;China;China;2024;Proposed;Proposed;Anthracite;Anthracite;1033.0;653.0;2.711;1.71387033;[New - Anthracite - 2.711];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Rajmahal Coal Mine;True;True;False;India;India;1988;Operating;Operating;Subbituminous;Subbituminous;186.0;3211.0;0.338;5.83210719;[Current - Subbituminous - 0.338];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Raspadskaya Coal Mine;True;True;True;Russia;Russian Federation;1973;Operating;Operating;Bituminous (Met);Bituminous (Met);901.0;905.913;2.404;2.416722228;[Current - Bituminous (Met) - 2.404];https://ar2020.evraz.com/en/additional-information/data-on-mineral-reserves
Red Hill Coal Project;True;True;False;Australia;Australia;2027;Shelved;Proposed;Bituminous (Met);Bituminous (Met);35.0;1711.0;0.093;4.56446892;[New - Bituminous (Met) - 0.093];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Revuboe Coal Mine;True;True;True;Mozambique;Mozambique;;Proposed;Proposed;Bituminous (Met);Bituminous (Met);859.0;519.0;2.292;1.38454668;[New - Bituminous (Met) - 2.292];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
River View Henderson Portal 1;False;True;True;United States;;2024;Operating;;Bituminous;;414.4;;1.011;;[New - Bituminous - 1.011];
Saebyol Coal Mining Complex;True;True;False;North Korea;North Korea;;Operating;Operating;Lignite;Anthracite;;1230.0;0.0;3.2282703;[Current - Lignite - 0.0];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
