Project Name;In Paper;In GEM;GEM > 1Gt;Country_gem;Country_paper;year;Project_status_gem;Project_status_paper;Coal_Type_gem;Coal_Type_paper;Reserves (Million tons)_gem;Reserves (Million tons)_paper;total_emissions_gem;total_emissions_paper;details;Source_paper
Wilton Coal Mine;True;True;True;Australia;Australia;2023;Operating;Proposed;Bituminous (Met);Bituminous (Met);2600.0;700.0;6.937;1.867404;[New - Bituminous (Met) - 6.937];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Winchester South Coal Mine;False;True;True;Australia;;;Proposed;;Bituminous (Met);;380.0;;1.014;;[New - Bituminous (Met) - 1.014];
Wucaiwan No. 4 Coal Mine;False;True;True;China;;2025;Proposed;;Bituminous;;2958.0;;7.22;;[New - Bituminous - 7.22];
Wucaiwan No.1 Coal Mine;True;True;True;China;China;;Proposed;Proposed;Bituminous;Bituminous;1232.0;1366.9;3.007;3.336165492;[New - Bituminous - 3.007];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Wucaiwan No.1 Surface Mine;True;True;True;China;China;2009;Operating;Operating;Subbituminous;Subbituminous;765.0;765.13;1.389;1.389697968;[Current - Subbituminous - 1.389];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Wudong Coal Mine;True;True;True;China;China;2018;Operating;Operating;Bituminous;Bituminous;510.0;661.0;1.245;1.61328948;[Current - Bituminous - 1.245];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Xiangshui Coal Mine Botu area;False;True;True;China;;2015;Operating;;Bituminous (Met);;486.0;;1.297;;[Current - Bituminous (Met) - 1.297];
Xiaobaodang No.1 Coal Mine;True;True;True;China;China;2020;Operating;Operating;Bituminous;Bituminous;1550.0;1550.2;3.783;3.783542136;[Current - Bituminous - 3.783];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Xiaobaodang No.2 Coal Mine;True;True;True;China;China;2022;Operating;Proposed;Bituminous;Bituminous;958.0;792.42;2.338;1.934043646;[Current - Bituminous - 2.338];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Xiaohaotu No. 2 Coal Mine;False;True;True;China;;;Proposed;;Bituminous;;696.0;;1.699;;[New - Bituminous - 1.699];
Xiaojiawa Coal Mine;True;True;True;China;China;2023;Operating;Operating;Bituminous (Met);Bituminous;604.0;724.91;1.611;1.769273339;[Current - Bituminous (Met) - 1.611];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Xiaojihan Coal Mine;True;True;True;China;China;2019;Operating;Operating;Bituminous;Bituminous;1640.0;1893.5;4.003;4.62142758;[Current - Bituminous - 4.003];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Xiaozhuang Coal Mine;True;True;True;China;China;;Operating;Operating;Bituminous;Bituminous;585.0;578.0;1.428;1.41071304;[Current - Bituminous - 1.428];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Xiegou Coal Mine;False;True;True;China;;2021;Operating;;Bituminous (Met);;889.0;;2.372;;[Current - Bituminous (Met) - 2.372];
Xihongdun Coal Mine;False;True;True;China;;;Proposed;;Bituminous;;2090.0;;5.101;;[New - Bituminous - 5.101];
Xinjiang Chahaquan No. 1 Surface Coal Mine;False;True;True;China;;;Proposed;;Bituminous;;917.96;;2.24;;[New - Bituminous - 2.24];
Xinjiang Hongshan Coal Mine;True;True;True;China;China;;Proposed;Proposed;Bituminous;Bituminous;494.0;493.64;1.206;1.204817275;[New - Bituminous - 1.206];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Xinjiang Hongshaquan No. 2 Surface Mine;False;True;True;China;;;Proposed;;Bituminous;;4508.32;;11.003;;[New - Bituminous - 11.003];
Xinjiang Hoxtolgay Coal Mine;False;True;True;China;;1958;Operating;;Bituminous;;1801.5;;4.397;;[Current - Bituminous - 4.397];
Xinjiang Jijihu West Coal Mine;False;True;True;China;;;Proposed;;Bituminous;;6133.0;;14.969;;[New - Bituminous - 14.969];
Xinjiang Malang No. 1 Coal Mine;False;True;True;China;;;Proposed;;Bituminous;;1298.0;;3.168;;[New - Bituminous - 3.168];
Xinjiang Sha'erhu Mining Area No. 2 Surface Coal Mine;False;True;True;China;;;Proposed;;Bituminous;;945.45;;2.308;;[New - Bituminous - 2.308];
Xinjiang Sha'erhu Mining Area No. 5 Surface Coal Mine;False;True;True;China;;;Proposed;;Bituminous;;3773.0;;9.209;;[New - Bituminous - 9.209];
Xinjiang Sha'erhu Mining Area No. 9 Surface Coal Mine;False;True;True;China;;;Proposed;;Bituminous;;526.93;;1.286;;[New - Bituminous - 1.286];
Xinjiang Shajihai Coal Mine;True;True;True;China;China;2006;Operating;Operating;Bituminous;Bituminous;448.77;470.0;1.095;1.1471196;[Current - Bituminous - 1.095];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Xinjiang Tiaohu No.1 Coal Mine;False;True;True;China;;;Proposed;;Bituminous;;1086.0;;2.651;;[New - Bituminous - 2.651];
Xinjiang Yibei Mining Area No. 8 Coal Mine;False;True;True;China;;;Proposed;;Bituminous;;578.0;;1.411;;[New - Bituminous - 1.411];
Xinjiang Yitai Yili Coal Mine;False;True;True;China;;;Proposed;;Bituminous;;762.5;;1.861;;[Expansion - Bituminous - 1.861];
Xinjiang Zhifang No. 1 Coal Mine;False;True;True;China;;;Proposed;;Bituminous;;563.45;;1.375;;[New - Bituminous - 1.375];
Xinjing Coal Mine;False;True;True;China;;1997;Operating;;Anthracite;;473.0;;1.241;;[Current - Anthracite - 1.241];
Xinwen IlI No.1 Coal Mine;True;True;True;China;China;2021;Operating;Proposed;Bituminous;Bituminous;1971.0;1839.1;4.811;4.488654588;[Current - Bituminous - 4.811];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Xinyuan UG Coal Mine;False;True;True;China;;2008;Operating;;Anthracite;;650.0;;3.412;;[Current - Anthracite - 1.706][Expansion - Anthracite - 1.706];
Xinzhuang Coal Mine;True;True;False;China;China;2024;Operating;Proposed;;Bituminous;915.0;942.16;0.0;2.299511069;[New -  - 0.0];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Xishan Zhongshe Coal Mine;False;True;True;China;;;Shelved;;Bituminous;;19958.0;;48.711;;[New - Bituminous - 48.711];
Xiwan Surface Coal Mine;True;True;True;China;China;2019;Operating;Operating;Bituminous;Bituminous;627.0;626.71;1.53;1.529598563;[Current - Bituminous - 1.53];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Xiwangzhai Coal Mine;False;True;True;China;;;Proposed;;Bituminous;;1254.0;;3.061;;[New - Bituminous - 3.061];
Yadian Coal Mine;True;True;True;China;China;2019;Operating;Proposed;Bituminous;Bituminous;611.0;610.75;1.491;1.49064531;[Current - Bituminous - 1.491];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Yalevsky Coal Mine;False;True;True;Russia;;2000;Operating;;Bituminous;;419.0;;1.023;;[Current - Bituminous - 1.023];
Yallourn Coal Mine;True;True;False;Australia;Australia;1920;Operating;Operating;Lignite;bituminous;463.0;463.0;0.556;1.13003484;[Current - Lignite - 0.556];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Yanbei Coal Mine;False;True;True;China;;1998;Operating;;Bituminous;;431.0;;1.052;;[Current - Bituminous - 1.052];
Yangchangwan Coal Mine;True;True;True;China;China;2006;Operating;Operating;Bituminous;Bituminous;1002.0;440.0;2.446;1.0738992;[Current - Bituminous - 2.446];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Yangcun Coal Mine;False;True;True;China;;;Shelved;;Bituminous (Met);;384.0;;1.025;;[New - Bituminous (Met) - 1.025];
Yangjiacun Coal Mine;True;True;True;China;China;2012;Operating;Operating;Bituminous;Bituminous;442.0;442.0;1.079;1.07878056;[Current - Bituminous - 1.079];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Yangquan No. 1 Coal Mine;True;True;True;China;China;1956;Operating;Operating;Anthracite;Anthracite;428.0;461.4;1.123;1.210995054;[Current - Anthracite - 1.123];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Yili No.4 Coal Mine;True;True;True;China;China;2018;Operating;Operating;Bituminous;Bituminous (Met);983.0;968.0;2.399;2.58235296;[Current - Bituminous - 2.399];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Yimin Surface Mine;True;True;False;China;China;1984;Operating;Operating;Lignite;Lignite;455.0;1692.0;0.547;2.0336148;[Current - Lignite - 0.547];Global Energy Monitor. (2021). Global Coal Mine Tracker (Version No 1) [Data set].
Yingpanhao Coal Mine;True;True;True;China;China;2023;Operating;Proposed;Bituminous;Bituminous;1160.0;1540.5;2.831;3.75986754;[Current - Bituminous - 2.831];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Yinxing No. 1 Coal Mine;False;True;True;China;;;Proposed;;Bituminous;;581.0;;1.418;;[Expansion - Bituminous - 1.418];
Yishun Coal Mine;False;True;True;China;;1991;Operating;;Bituminous;;893.0;;2.18;;[Current - Bituminous - 2.18];
Yitai Yili Coal Mine;False;True;True;China;;2024;Proposed;;Bituminous;;825.0;;2.014;;[New - Bituminous - 2.014];
Youfanghao Coal Mine;False;True;True;China;;2027;Proposed;;Bituminous;;467.0;;1.14;;[New - Bituminous - 1.14];
Youngs Creek Coal Mine;True;True;False;United States;United States;;Proposed;Proposed;Bituminous (Met);Bituminous (Met);291.0;408.0;0.776;1.08842976;[Recommission - Bituminous (Met) - 0.776];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Yuandatan Coal Mine;False;True;True;China;;2021;Operating;;Bituminous;;550.0;;1.342;;[Current - Bituminous - 1.342];
Yuanzigou Coal Mine;False;True;True;China;;2024;Operating;;Bituminous;;796.0;;1.943;;[Current - Bituminous - 1.943];
Yulin Gucheng No.1 Coal Mine;False;True;True;China;;;Proposed;;Bituminous (Met);;434.0;;1.158;;[New - Bituminous (Met) - 1.158];
Yulin Gucheng No.2 Coal Mine;False;True;True;China;;;Proposed;;Bituminous (Met);;1140.0;;3.042;;[New - Bituminous (Met) - 3.042];
Yulin Haizetan Coal Mine;False;True;True;China;;;Proposed;;Bituminous;;604.0;;1.474;;[New - Bituminous - 1.474];
Yushuwan Coal Mine;True;True;False;China;China;2008;Operating;Operating;Bituminous;Bituminous;155.0;1158.0;0.378;2.82630744;[Current - Bituminous - 0.378];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Yuwang No.1 Coal Mine;True;True;True;China;China;2022;Proposed;Proposed;Anthracite;Anthracite;477.0;477.24;1.252;1.252568876;[New - Anthracite - 1.252];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Zambezi Coal Mine;True;True;True;Mozambique;Mozambique;;Proposed;Proposed;Bituminous (Met);Bituminous;1700.0;1700.0;4.536;4.149156;[New - Bituminous (Met) - 4.536];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Zaoquan Coal Mine;True;True;True;China;China;2006;Operating;Operating;Bituminous;Bituminous;526.0;434.0;1.284;1.05925512;[Current - Bituminous - 1.284];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Zashulansky Coal Mine;False;True;True;Russia;;2024;Operating;;Bituminous;;663.0;;1.618;;[New - Bituminous - 1.618][Expansion - Bituminous - 0.0];
Zhangji Coal Mine;True;True;True;China;China;2001;Operating;Operating;Bituminous (Met);Bituminous (Met);887.0;822.4;2.367;2.193932928;[Current - Bituminous (Met) - 2.367];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Zhangjiamao Coal Mine;True;True;True;China;China;2011;Operating;Operating;Bituminous;Bituminous;543.0;542.6;1.325;1.324312968;[Current - Bituminous - 1.325];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Zhaoshipan Coal Mine;True;True;True;China;China;;Proposed;Proposed;Bituminous;Bituminous;792.0;792.3;1.933;1.933750764;[New - Bituminous - 1.933];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Zhong Yu Coal Mine;True;True;True;China;China;;Proposed;Proposed;Bituminous (Met);Bituminous (Met);514.0;514.15;1.371;1.371608238;[New - Bituminous (Met) - 1.371];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
Zhujidong Coal Mine;False;True;True;China;;2013;Operating;;Bituminous (Met);;453.0;;1.209;;[Current - Bituminous (Met) - 1.209];
Zhujixi Coal Mine;False;True;True;China;;2017;Operating;;Bituminous (Met);;396.0;;1.057;;[Current - Bituminous (Met) - 1.057];
Zhundong South Surface Mine;False;True;True;China;;2017;Operating;;Bituminous;;1779.0;;4.342;;[Current - Bituminous - 4.342];
Zhundong Surface Mine;True;True;True;China;China;2016;Operating;Proposed;Bituminous;Bituminous;2169.0;1447.0;5.294;3.53166396;[Current - Bituminous - 5.294];Global Energy Monitor. (2021). Global Coal Mine Tracker [Data set].
