Parent_Company GEM,BOCC_company_name,total_potential_emissions,Proposition BOCC,Niveau de confiance (1 - 3 sur),Respo,checked (1),Justification ,Comment
Sinopec,China Petrochemical,"2,31496",China Petrochemical,2,Personne 1,1,"https://www.opensanctions.org/entities/gem-own-e100000001421/

https://en.wikipedia.org/wiki/Sinopec",ça a l'air d'être la même entreprise
Rungta Sons Private Limited,,"2,283",,,Personne 1,1,https://www.gem.wiki/Chhendipara_Coal_Mine,pas l'air d'avoir de owner
Tuva Energy Industrial Corporation JSC,,"2,281",,,Personne 1,1,https://www.opensanctions.org/entities/gem-own-e100000132317/,"alias TEIC, owned par une personne"
Whitehaven,,"2,25175",,,Personne 1,1,https://www.opensanctions.org/entities/NK-WWqJgovNN95kvXrRW2eraM/,en partie détenue par des banques dont BNP HSBC et JP Morgan
Steel Authority of India (SAIL),Republic of India,"2,2494024",Republic of India,3,Personne 1,1,https://www.gem.wiki/Steel_Authority_of_India_Limited,détenue à 75% par le gvt
Henan Energy Chemical Group,"China, People's Republic of (Government)","2,241361294","China, People's Republic of (Government)",2,Personne 1,1,"https://www.opensanctions.org/entities/gem-own-e100000124714/

https://www.cbinsights.com/company/henan-energy-chemical-industry-group-co",semble state owned
Karazhyra JSC,,"2,236",,,Personne 1,1,https://www.gem.wiki/Karazhyra_Coal_Mine,détenue par des personnes
Shanxi Xiyi Energy Group,,"2,18",,,Personne 1,1,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%9C%94%E5%B7%9E%E5%B9%B3%E9%B2%81%E5%8C%BA%E6%98%93%E9%A1%BA%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,"en partie ""Xiyi Village
Committee, Baitang
Township, Pinglu
District, Shuozhou
City"", en partie des personnes"
EÜAŞ),Celikler Seyitomer Elektrik Uretim A.S.,"2,164",Celikler Seyitomer Elektrik Uretim A.S.,3,Personne 1,1,"https://www.gem.wiki/E%C3%9CA%C5%9E

https://www.opensanctions.org/entities/gem-own-e100000002143/",les deux lignes ont l'air de concerner la même boite (mêmes chiffres)
Euas Electricity Generation Company (Elektrik Üretim A.Ş,,"2,164",,,Personne 1,1,,
China Datang,China Datang,"4,4807096",,,Personne 1,1,,
China Datang Corporation,China Datang,"3,061",,,Personne 1,1,,
Holding Company Siberian Business Union CJSC,,"2,164",,,Personne 1,1,https://www.gem.wiki/Chernigovets_Coal_Mine#Table_5:_Ownership_and_parent_company,owned par des personnes (russes)
Severstal PJSC,,"2,153",,,Personne 1,1,https://www.gem.wiki/Severstal_Cherepovets_steel_plant,idem
MC Mining,Alliance Resource Partners,"2,07496",Alliance Resource Partners,3,Personne 1,1,"https://www.gem.wiki/MC_Mining
https://www.opensanctions.org/entities/gem-own-e100001010055/",
Kolmar LLC,,"2,049",,,Personne 1,1,https://www.gem.wiki/Denisovsky_Surface_Coal_Mine,owned par des personnes (russes)
China Energy Group,China Energy Investment,"2,043",China Energy Investment,1,Personne 1,1,https://fr.wikipedia.org/wiki/China_Energy_Investment,"doute avec ""China Energy Engineering"""
China Huadian,China Huadian,"6,13946",,,Personne 1,1,,
China Huadian Group,China Huadian,"0,17424",,,Personne 1,1,,
China Huadian Group Corporation,China Huadian,"1,152",,,Personne 1,1,,
Gujarat Mineral Development Corporation,Republic of India,"1,992",Republic of India,3,Personne 1,1,"https://www.gem.wiki/Gujarat_Mineral_Development_Corporation
http://en.wikipedia.org/wiki/Gujarat_Mineral_Development_Corporation",state owned
China Huaneng,China Huaneng Group,"7,24025",,,Personne 1,1,,
China Huaneng Group,China Huaneng Group,"3,088",,,Personne 1,1,,
Bumi Resources,,"1,935",,,Personne 1,1,https://www.gem.wiki/Senakin_Coal_Mine,détenue in fine par la société d'investissement Bakrie & Brothers
Maharashtra State Power Generation Company Limited,,"1,923",,,Personne 1,1,https://www.gem.wiki/Koradi_Thermal_Power_Station,"owned by ""MSEB Holding Co Ltd"" in fine State of Maharashtra"
Others,,"1,91982",,,Personne 1,1,https://www.opensanctions.org/entities/gem-own-e100000132208/,détenue à 51% par la Province of Sindh
Sindh Engro Coal Mining Company,,"1,904",,,Personne 1,1,,
China National Coal Group Corporation,China National Coal Group,"0,088",,,Personne 1,1,,
China National Petroleum Corporation,China National Petroleum,"0,08982",,,Personne 1,1,,
