T14,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1995,GDP in current prices (millions of US dollars),"31,247,262",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2005,GDP in current prices (millions of US dollars),"47,730,924",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2010,GDP in current prices (millions of US dollars),"66,461,443",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2015,GDP in current prices (millions of US dollars),"75,133,208",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2018,GDP in current prices (millions of US dollars),"86,357,998",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2019,GDP in current prices (millions of US dollars),"87,718,575",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2020,GDP in current prices (millions of US dollars),"85,328,323",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",1995,GDP per capita (US dollars),"5,441",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2005,GDP per capita (US dollars),"7,298",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2010,GDP per capita (US dollars),"9,556",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2015,GDP per capita (US dollars),"10,183",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2018,GDP per capita (US dollars),"11,319",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2019,GDP per capita (US dollars),"11,375",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2020,GDP per capita (US dollars),"10,949",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",1995,GDP in constant 2010 prices (millions of US dollars),"40,337,094",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2005,GDP in constant 2010 prices (millions of US dollars),"56,429,253",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2010,GDP in constant 2010 prices (millions of US dollars),"64,812,674",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2015,GDP in constant 2010 prices (millions of US dollars),"75,133,208",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2018,GDP in constant 2010 prices (millions of US dollars),"82,263,489",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2019,GDP in constant 2010 prices (millions of US dollars),"84,310,608",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2020,GDP in constant 2010 prices (millions of US dollars),"81,472,450",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",1995,GDP real rates of growth (percent),3.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2005,GDP real rates of growth (percent),4.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2010,GDP real rates of growth (percent),4.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2015,GDP real rates of growth (percent),3.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2018,GDP real rates of growth (percent),3.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2019,GDP real rates of growth (percent),2.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
1,"Total, all countries or areas",2020,GDP real rates of growth (percent),-3.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,1995,GDP in current prices (millions of US dollars),"588,279",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2005,GDP in current prices (millions of US dollars),"1,133,617",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2010,GDP in current prices (millions of US dollars),"1,979,101",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2015,GDP in current prices (millions of US dollars),"2,358,404",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2018,GDP in current prices (millions of US dollars),"2,427,012",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2019,GDP in current prices (millions of US dollars),"2,521,006",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2020,GDP in current prices (millions of US dollars),"2,414,594",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,1995,GDP per capita (US dollars),821,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2005,GDP per capita (US dollars),"1,239",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2010,GDP per capita (US dollars),"1,907",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2015,GDP per capita (US dollars),"1,997",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2018,GDP per capita (US dollars),"1,905",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2019,GDP per capita (US dollars),"1,930",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2020,GDP per capita (US dollars),"1,804",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,1995,GDP in constant 2010 prices (millions of US dollars),"963,827",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2005,GDP in constant 2010 prices (millions of US dollars),"1,502,529",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2010,GDP in constant 2010 prices (millions of US dollars),"1,953,445",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2015,GDP in constant 2010 prices (millions of US dollars),"2,358,404",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2018,GDP in constant 2010 prices (millions of US dollars),"2,567,022",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2019,GDP in constant 2010 prices (millions of US dollars),"2,623,699",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2020,GDP in constant 2010 prices (millions of US dollars),"2,553,525",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,1995,GDP real rates of growth (percent),2.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2005,GDP real rates of growth (percent),6.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2010,GDP real rates of growth (percent),5.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2015,GDP real rates of growth (percent),3.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2018,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2019,GDP real rates of growth (percent),2.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
2,Africa,2020,GDP real rates of growth (percent),-2.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,1995,GDP in current prices (millions of US dollars),"207,392",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2005,GDP in current prices (millions of US dollars),"376,507",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2010,GDP in current prices (millions of US dollars),"643,263",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2015,GDP in current prices (millions of US dollars),"760,531",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2018,GDP in current prices (millions of US dollars),"707,628",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2019,GDP in current prices (millions of US dollars),"742,309",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2020,GDP in current prices (millions of US dollars),"762,151",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,1995,GDP per capita (US dollars),"1,285",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2005,GDP per capita (US dollars),"1,946",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2010,GDP per capita (US dollars),"3,177",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2015,GDP per capita (US dollars),"3,405",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2018,GDP per capita (US dollars),"2,989",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2019,GDP per capita (US dollars),"3,078",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2020,GDP per capita (US dollars),"3,103",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,1995,GDP in constant 2010 prices (millions of US dollars),"354,415",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2005,GDP in constant 2010 prices (millions of US dollars),"556,909",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2010,GDP in constant 2010 prices (millions of US dollars),"696,188",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2015,GDP in constant 2010 prices (millions of US dollars),"760,531",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2018,GDP in constant 2010 prices (millions of US dollars),"861,759",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2019,GDP in constant 2010 prices (millions of US dollars),"870,118",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2020,GDP in constant 2010 prices (millions of US dollars),"834,346",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,1995,GDP real rates of growth (percent),2.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2005,GDP real rates of growth (percent),6.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2010,GDP real rates of growth (percent),4.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2015,GDP real rates of growth (percent),3.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2018,GDP real rates of growth (percent),4.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2019,GDP real rates of growth (percent),1.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
15,Northern Africa,2020,GDP real rates of growth (percent),-4.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,1995,GDP in current prices (millions of US dollars),"380,887",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2005,GDP in current prices (millions of US dollars),"757,110",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2010,GDP in current prices (millions of US dollars),"1,335,838",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2015,GDP in current prices (millions of US dollars),"1,597,872",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2018,GDP in current prices (millions of US dollars),"1,719,384",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2019,GDP in current prices (millions of US dollars),"1,778,697",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2020,GDP in current prices (millions of US dollars),"1,652,443",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,1995,GDP per capita (US dollars),686,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2005,GDP per capita (US dollars),"1,050",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2010,GDP per capita (US dollars),"1,599",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2015,GDP per capita (US dollars),"1,669",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2018,GDP per capita (US dollars),"1,657",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2019,GDP per capita (US dollars),"1,670",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2020,GDP per capita (US dollars),"1,512",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,1995,GDP in constant 2010 prices (millions of US dollars),"609,412",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2005,GDP in constant 2010 prices (millions of US dollars),"945,620",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2010,GDP in constant 2010 prices (millions of US dollars),"1,257,257",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2015,GDP in constant 2010 prices (millions of US dollars),"1,597,872",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2018,GDP in constant 2010 prices (millions of US dollars),"1,705,262",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2019,GDP in constant 2010 prices (millions of US dollars),"1,753,581",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2020,GDP in constant 2010 prices (millions of US dollars),"1,719,178",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,1995,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2005,GDP real rates of growth (percent),6.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2010,GDP real rates of growth (percent),6.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2015,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2018,GDP real rates of growth (percent),2.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2019,GDP real rates of growth (percent),2.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
202,Sub-Saharan Africa,2020,GDP real rates of growth (percent),-2.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,1995,GDP in current prices (millions of US dollars),"70,614",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2005,GDP in current prices (millions of US dollars),"114,715",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2010,GDP in current prices (millions of US dollars),"232,444",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2015,GDP in current prices (millions of US dollars),"324,886",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2018,GDP in current prices (millions of US dollars),"398,781",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2019,GDP in current prices (millions of US dollars),"433,522",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2020,GDP in current prices (millions of US dollars),"431,717",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,1995,GDP per capita (US dollars),324,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2005,GDP per capita (US dollars),400,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2010,GDP per capita (US dollars),687,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2015,GDP per capita (US dollars),836,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2018,GDP per capita (US dollars),946,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2019,GDP per capita (US dollars),"1,002",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2020,GDP per capita (US dollars),972,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,1995,GDP in constant 2010 prices (millions of US dollars),"109,587",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2005,GDP in constant 2010 prices (millions of US dollars),"163,768",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2010,GDP in constant 2010 prices (millions of US dollars),"239,026",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2015,GDP in constant 2010 prices (millions of US dollars),"324,886",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2018,GDP in constant 2010 prices (millions of US dollars),"379,850",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2019,GDP in constant 2010 prices (millions of US dollars),"399,792",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
