T14,Gross domestic product and gross domestic product per capita,,,,,
14,Eastern Africa,2020,GDP in constant 2010 prices (millions of US dollars),"402,791",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,1995,GDP real rates of growth (percent),4.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2005,GDP real rates of growth (percent),6.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2010,GDP real rates of growth (percent),9.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2015,GDP real rates of growth (percent),6.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2018,GDP real rates of growth (percent),5.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2019,GDP real rates of growth (percent),5.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
14,Eastern Africa,2020,GDP real rates of growth (percent),0.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,1995,GDP in current prices (millions of US dollars),"36,081",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2005,GDP in current prices (millions of US dollars),"99,548",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2010,GDP in current prices (millions of US dollars),"189,153",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2015,GDP in current prices (millions of US dollars),"238,018",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2018,GDP in current prices (millions of US dollars),"244,526",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2019,GDP in current prices (millions of US dollars),"230,482",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2020,GDP in current prices (millions of US dollars),"196,683",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,1995,GDP per capita (US dollars),431,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2005,GDP per capita (US dollars),889,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2010,GDP per capita (US dollars),"1,437",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2015,GDP per capita (US dollars),"1,544",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2018,GDP per capita (US dollars),"1,446",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2019,GDP per capita (US dollars),"1,322",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2020,GDP per capita (US dollars),"1,095",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,1995,GDP in constant 2010 prices (millions of US dollars),"84,142",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
17,Middle Africa,2005,GDP in constant 2010 prices (millions of US dollars),"138,734",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
