parent_company;company;gogel_id
Elevation Resources LLC;Elevation Resources LLC;100724
Elysian Brasil Exploracao e Producao de Petroleo e Gas Natural Ltda (Elysian Petroleum);Elysian Brasil Exploracao e Producao de Petroleo e Gas Natural Ltda (Elysian Petroleum);101071
Ember Resources Inc;Ember Resources Inc;100255
EmberClear Corp;EmberClear Corp;800056
EmberClear Corp ;Lincoln Land Energy Center LLC;800653
Emera Inc;Emera Inc;800130
Emirates National Oil Company Ltd (ENOC) LLC;Emirates National Oil Company Ltd (ENOC) LLC;100127
Empresa Brasileira de Administracao de Petroleo e Gas Natural SA – Pre-Sal Petroleo SA (PPSA);Empresa Brasileira de Administracao de Petroleo e Gas Natural SA – Pre-Sal Petroleo SA (PPSA);100788
Empresa Energy IV LLC;Empresa Energy IV LLC;100987
Empresa Metropolitana de Aguas e Energia SA;Empresa Metropolitana de Aguas e Energia SA;800525
Empresa Nacional de Hidrocarbonetos EP (ENH);Empresa Nacional de Hidrocarbonetos EP (ENH);100410
Empresa Nacional del Petroleo (ENAP);Empresa Nacional del Petroleo (ENAP);100192
Empresa Publica de Hidrocarburos del Ecuador (EP Petroecuador);Empresa Publica de Hidrocarburos del Ecuador (EP Petroecuador);100066
Enagas SA;Enagas SA;200130
Enauta Participacoes SA;Enauta Participacoes SA;100426
Enbridge Inc;Enbridge Inc;200149
Enbridge Inc ;East Tennessee Natural Gas LLC;200595
Enbridge Inc ;Rio Bravo Pipeline Company LLC;200526
Enbridge Inc ;Westcoast Connector Gas Transmission Ltd;200597
EnBW Energie Baden-Württemberg AG;EnBW Energie Baden-Württemberg AG;800251
Encino Energy LLC;Encino Energy LLC;100123
Endeavour Energy Resources LP;Endeavour Energy Resources LP;100097
Enduring Resources LLC;Enduring Resources LLC;100392
Enea SA;Enea SA;800010
Enea SA ;ENEA ELKOGAZ Sp. z o.o.;800917
Enel SpA;Enel SpA;200034
Enel SpA ;Endesa SA;800588
Enel SpA ;Nuove Energie SRL;200537
ENEOS Holdings Inc;ENEOS Holdings Inc;200274
ENEOS Holdings Inc ;JX Nippon Oil & Gas Exploration Corporation;100152
Energas Terminal Pvt Ltd;Energas Terminal Pvt Ltd;200414
Energean plc;Energean plc;100574
Energia 2000 SA;Energia 2000 SA;800095
Energia Argentina SA;Energia Argentina SA;200285
Energias Calumbi Ltda;Energias Calumbi Ltda;800570
Energie Beheer Nederland BV;Energie Beheer Nederland BV;100111
Energie Electrique de Tahaddart SA;Energie Electrique de Tahaddart SA;800589
Energies PH Inc;Energies PH Inc;800885
Energies PH Inc ;Mambulao Bay Clean Energy Corporation;800900
Energy Development Oman SAOC (EDO);Energy Development Oman SAOC (EDO);100042
Energy Transfer LP;Energy Transfer LP;200012
Energy Transfer LP ;Lake Charles LNG Export Company LLC;200504
Energy Transfer LP ;Warrior Pipeline LLC;200506
Energy World Corporation Ltd;Energy World Corporation Ltd;200020
Energy World Corporation Ltd ;PT South Sulawesi LNG;200561
Enerplus Corporation;Enerplus Corporation;100172
Enersok FE LLC;Enersok FE LLC;800719
EnerVest Ltd;EnerVest Ltd;100253
Eneva SA;Eneva SA;100414
Engie SA;Engie SA;200033
Engie SA ;ENGIE Energia Chile SA;800716
Engie SA ;GRTgaz SA;200564
Eni SpA;Eni SpA;100019
Eni SpA ;Vaar Energi ASA;100090
ENKA Insaat ve Sanayi AS;ENKA Insaat ve Sanayi AS;800996
ENKA Insaat ve Sanayi AS ;ENKA Kirklareli Elektrik Uretim AS;800997
Enlink Midstream LLC;Enlink Midstream LLC;200457
ENN Natural Gas Co Ltd;ENN Natural Gas Co Ltd;200407
EnQuest PLC;EnQuest PLC;100225
Entergy Corporation;Entergy Corporation;800224
Enterprise Products Partners LP;Enterprise Products Partners LP;200141
Enterprise Products Partners LP ;SPOT Terminal Services LLC;200507
EnVen Energy Ventures LLC;EnVen Energy Ventures LLC;100296
EOG Resources Inc;EOG Resources Inc;100031
EP Investment Sarl;EP Investment Sarl;800895
EP Investment Sarl ;Energeticky a prumyslovy holding a.s. (EPH);800014
EP Investment Sarl ;EP Energy Transition a.s.;801043
EP Investment Sarl ;EP Infrastructure a.s.;800695
EP Investment Sarl ;EP Kilroot Ltd;801023
EP Investment Sarl ;EP UK Investments Ltd;801024
EP Investment Sarl ;Lausitz Energie Verwaltungs GmbH;801042
EP Investment Sarl ;LEAG Holding a.s.;800345
Epsilon Development Company LLC;Epsilon Development Company LLC;100544
Epsilon Energy Ltd;Epsilon Energy Ltd;100486
EQT AB;EQT AB;800943
EQT AB ;Statera Energy Ltd;800944
EQT AB ;Thurrock Flexible Generation Ltd;800947
EQT Corporation;EQT Corporation;100034
Equinor ASA;Equinor ASA;100018
Equinor ASA ;Equinor New Energy Ltd;800941
Escondido Resources II LLC;Escondido Resources II LLC;100315
Esfahan’s Mobarakeh Steel Company (MSC);Esfahan’s Mobarakeh Steel Company (MSC);800838
Eskom Holdings SOC Ltd;Eskom Holdings SOC Ltd;800021
Esperanza Capital Partners LP;Esperanza Capital Partners LP;101102
Eswatini Electricity Company;Eswatini Electricity Company;800953
Etablissements Maurel & Prom SA;Etablissements Maurel & Prom SA;100326
Etu Energias SA;Etu Energias SA;101003
Eurasian Resources Group Sarl (ERG);Eurasian Resources Group Sarl (ERG);800215
Ever Power IPP Co Ltd;Ever Power IPP Co Ltd;800877
Everest Infrastructures LP;Everest Infrastructures LP;100881
Evolution Petroleum Corporation;Evolution Petroleum Corporation;100869
Evolution Power Partners SA;Evolution Power Partners SA;800518
Excelerate Energy Holdings LLC;Excelerate Energy Holdings LLC;200723
Excelerate Energy Holdings LLC ;Excelerate Energy Inc;200036
EXCO Resources Inc;EXCO Resources Inc;100248
Exxon Mobil Corporation;Exxon Mobil Corporation;100006
Exxon Mobil Corporation ;Imperial Oil Ltd;100135
Eyrie Energy Ltd;Eyrie Energy Ltd;101096
Fairwood Peninsula Energy Corp;Fairwood Peninsula Energy Corp;200021
Farab Co;Farab Co;800336
Fasken Oil and Ranch Ltd;Fasken Oil and Ranch Ltd;100265
FGBU VNIGNI;FGBU VNIGNI;101101
FGE Power LLC;FGE Power LLC;800105
FGE Power LLC ;FGE Eagle Pines LLC;800668
FGE Power LLC ;FGE Texas I LLC;800666
FGE Power LLC ;FGE Texas II LLC;800667
FIER Thermoelectric Sh.a.;FIER Thermoelectric Sh.a.;800954
Finarvedi SpA;Finarvedi SpA;800479
Finley Resources Inc;Finley Resources Inc;100528
FireBird Energy II LLC;FireBird Energy II LLC;101086
First Pacific Company Ltd;First Pacific Company Ltd;800618
FIT Holding Co Ltd;FIT Holding Co Ltd;801044
FIT Holding Co Ltd ;Shinfox Energy Co Ltd;800579
Fjernvarme Fyn A/S;Fjernvarme Fyn A/S;800332
Fluxys NV;Fluxys NV;200029
Flywheel Energy LLC;Flywheel Energy LLC;100148
Fondi Italiani per le Infrastrutture SGR SpA (F2i);Fondi Italiani per le Infrastrutture SGR SpA (F2i);800399
Fondi Italiani per le Infrastrutture SGR SpA (F2i) ;Sorgenia SpA;800296
Foran Energy Group Co Ltd;Foran Energy Group Co Ltd;800180
Forge Energy II LLC;Forge Energy II LLC;100781
Formentera Partners LP;Formentera Partners LP;100865
Formosa Chemicals & Fibre Corporation;Formosa Chemicals & Fibre Corporation;800248
Formosa Petrochemical Corporation (FPCC);Formosa Petrochemical Corporation (FPCC);800249
Formosa Plastics Corporation;Formosa Plastics Corporation;800250
Fortescue Ltd;Fortescue Ltd;200684
Fortis Inc;Fortis Inc;200410
Foshan Investment Holdings Group Co Ltd;Foshan Investment Holdings Group Co Ltd;800862
Fossil Trading FZCO;Fossil Trading FZCO;100892
Foundation Energy Management LLC;Foundation Energy Management LLC;100468
FRAM Capital DTVM SA;FRAM Capital DTVM SA;800720
Franklin Mountain Energy LLC;Franklin Mountain Energy LLC;100840
Freeport LNG Investments LLLP;Freeport LNG Investments LLLP;200126
Freeport LNG Investments LLLP ;FLNG Liquefaction 4 LLC;200513
Frog Lake-Kanata LP;Frog Lake-Kanata LP;800908
Frontera Energy Corporation;Frontera Energy Corporation;100245
Frontera Energy Corporation ;CGX Energy Inc;100648
Fujairah Power Company F3 LLC;Fujairah Power Company F3 LLC;800950
Fujian Investment & Development Group Co Ltd;Fujian Investment & Development Group Co Ltd;200416
Fundare Resources Company LLC;Fundare Resources Company LLC;100866
GAIL (India) Ltd;GAIL (India) Ltd;100488
GAIL (India) Ltd ;Konkan LNG Ltd;200644
Galp Energia SGPS SA;Galp Energia SGPS SA;100169
Gas Project Development Central Asia AG;Gas Project Development Central Asia AG;100885
Gas y Petroleo del Neuquen SA;Gas y Petroleo del Neuquen SA;100483
Gastrade SA;Gastrade SA;200067
GBK Corporation;GBK Corporation;101033
GBK Corporation ;Kaiser-Francis Oil Company;100418
GCL (Group) Holdings Co Ltd;GCL (Group) Holdings Co Ltd;200463
GCL (Group) Holdings Co Ltd ;GCL Oil & Natural Gas Co Ltd;200395
GCL Energy Technology Co Ltd;GCL Energy Technology Co Ltd;800318
GE Vernova Inc;GE Vernova Inc;800975
Gecelca SA ESP;Gecelca SA ESP;800911
GEK TERNA SA;GEK TERNA SA;800341
Gen X Energy Pte Ltd;Gen X Energy Pte Ltd;800048
Generacion Mediterranea SA;Generacion Mediterranea SA;800381
Generacion Mediterranea SA ;Generacion Litoral SA;800964
Generadora Fenix SAPI de CV;Generadora Fenix SAPI de CV;800786
General Electricity Company of Libya;General Electricity Company of Libya;800030
Genesis Energy LP;Genesis Energy LP;200708
Genting Bhd;Genting Bhd;100570
Genting Bhd ;PT Layar Nusantara Gas;200645
GeoPark Ltd;GeoPark Ltd;100271
GeoSouthern Energy Corporation;GeoSouthern Energy Corporation;100149
GEPetrol;GEPetrol;100907
German LNG Terminal GmbH;German LNG Terminal GmbH;200402
GHA Barnett LLC;GHA Barnett LLC;100875
Ghadir Investment Company;Ghadir Investment Company;800159
Ghana National Petroleum Corporation (GNPC);Ghana National Petroleum Corporation (GNPC);100287
GIC Pte Ltd;GIC Pte Ltd;200697
Gigajoule International (Pty) Ltd;Gigajoule International (Pty) Ltd;200136
Glacier Oil & Gas Corp;Glacier Oil & Gas Corp;101104
Glenfarne Group LLC;Glenfarne Group LLC;200025
Glenfarne Group LLC ;Magnolia LNG LLC;200514
Glenfarne Group LLC ;Texas LNG Brownsville LLC;200515
Global Infrastructure Partners;Global Infrastructure Partners;200127
Global Participacoes em Energia SA;Global Participacoes em Energia SA;800060
Globaltec LLC;Globaltec LLC;200411
Golden Century International Holdings Group Ltd;Golden Century International Holdings Group Ltd;200695
Golgohar Mining & Industrial Co;Golgohar Mining & Industrial Co;800117
Gordy Oil Co Inc;Gordy Oil Co Inc;100557
Government Holdings (Private) Ltd (GHPL);Government Holdings (Private) Ltd (GHPL);100752
Government Holdings (Private) Ltd (GHPL) ;Inter State Gas Systems (Private) Ltd (ISGS);200534
Gran Tierra Energy Inc;Gran Tierra Energy Inc;100354
Grand River Dam Authority;Grand River Dam Authority;801005
Grand Titan Capital Holdings Inc;Grand Titan Capital Holdings Inc;800796
Grand Titan Capital Holdings Inc ;GT Capital Holdings Inc;800797
Grayson Mill Energy LLC;Grayson Mill Energy LLC;100759
Green CCGT Holding SRL;Green CCGT Holding SRL;800726
Greenfire Resources Ltd;Greenfire Resources Ltd;100977
Greenfire Resources Ltd ;Greenfire Resources Operating Corporation;100780
GreenSaif Pipelines Bidco Sarl;GreenSaif Pipelines Bidco Sarl;200481
Greenville Liquefied Natural Gas Company Ltd;Greenville Liquefied Natural Gas Company Ltd;200394
Greylock Energy LLC;Greylock Energy LLC;100407
Grit Oil & Gas II LLC;Grit Oil & Gas II LLC;100927
Grizzly Energy LLC;Grizzly Energy LLC;100284
Grupo Carso SAB de CV;Grupo Carso SAB de CV;100965
Grupo Topaz;Grupo Topaz;101032
Grupo Topaz ;Jaguar Exploracion y Produccion de Hidrocarburos SAPI de CV;100686
Grupo Vale Azul Participacoes Ltda;Grupo Vale Azul Participacoes Ltda;200271
GS Holdings Corp;GS Holdings Corp;100310
GS Holdings Corp ;GS Energy Co Ltd;800806
GS Holdings Corp ;GS Power Co Ltd;800804
Guangdong Hanjian Holdings Co Ltd;Guangdong Hanjian Holdings Co Ltd;801029
Guangdong Hengjian Investment Holding Co Ltd;Guangdong Hengjian Investment Holding Co Ltd;200475
Guangdong Hengjian Investment Holding Co Ltd ;Guangdong Electric Power Development Co Ltd;800219
Guangdong Hengjian Investment Holding Co Ltd ;Guangdong Energy Group Co Ltd;100620
Guangdong Hengjian Investment Holding Co Ltd ;Guangdong Energy Group Natural Gas Co Ltd;200263
Guangdong Zhuhai Golden Bay LNG Co Ltd;Guangdong Zhuhai Golden Bay LNG Co Ltd;200440
Guanghui Energy Co Ltd;Guanghui Energy Co Ltd;200080
Guangxi Investment Group Co Ltd;Guangxi Investment Group Co Ltd;200269
Guangxi Liuzhou Iron and Steel Group Co Ltd;Guangxi Liuzhou Iron and Steel Group Co Ltd;801025
Guangxi Liuzhou Iron and Steel Group Co Ltd ;Liuzhou Iron & Steel Co Ltd;801026
Guangzhou City Construction Investment Group;Guangzhou City Construction Investment Group;801027
Guangzhou Development District Holding Group Ltd;Guangzhou Development District Holding Group Ltd;800851
Guangzhou Hengyun Enterprises Holding Ltd;Guangzhou Hengyun Enterprises Holding Ltd;800174
Guangzhou Hi-tech Investment Group Corporation Ltd;Guangzhou Hi-tech Investment Group Corporation Ltd;800833
Guangzhou Industrial Investment and Capital Operation Holding Group Ltd;Guangzhou Industrial Investment and Capital Operation Holding Group Ltd;200462
Guangzhou Industrial Investment and Capital Operation Holding Group Ltd ;Guangzhou Development Group Inc;200393
Guizhou Dongli Energy Investment Co Ltd;Guizhou Dongli Energy Investment Co Ltd;200694
Guizhou Province Industrial Investment (Group) Co Ltd;Guizhou Province Industrial Investment (Group) Co Ltd;100873
Gujarat Maritime Board;Gujarat Maritime Board;200117
Gujarat State Petroleum Corporation Ltd;Gujarat State Petroleum Corporation Ltd;100953
Gujarat State Petronet Ltd;Gujarat State Petronet Ltd;200122
Gujarat State Petronet Ltd ;GSPL India Gasnet Ltd;200589
Gujarat State Petronet Ltd ;GSPL India Transco Ltd (GITL);200592
Gulf Energy Development Public Company Ltd;Gulf Energy Development Public Company Ltd;200010
Gulf Energy Development Public Company Ltd ;Gulf MTP LNG Terminal Company Ltd;200480
Gulf Energy Development Public Company Ltd ;Gulf PD Company Ltd;800639
Gulfport Energy Corporation;Gulfport Energy Corporation;100099
Gulfstream LNG Development LLC;Gulfstream LNG Development LLC;200533
GulfTex Energy IV LP;GulfTex Energy IV LP;100833
Guyana Power & Light Inc;Guyana Power & Light Inc;800387
H-Energy Pvt Ltd;H-Energy Pvt Ltd;200004
H-Energy Pvt Ltd ;Bengal Concessions Pvt Ltd;200587
H-Energy Pvt Ltd ;East Coast Concessions Pvt Ltd;200616
H-Energy Pvt Ltd ;Hooghly Pipelines Pvt Ltd;200586
Hai Linh Company Ltd;Hai Linh Company Ltd;200318
Haina Energy Holdings II;Haina Energy Holdings II;800965
Haina Energy Holdings II ;Haina Investment Co Ltd;800591
Haina Energy Holdings II ;Manzanillo Gas & Power SA;800787
Hainan Mining Co Ltd;Hainan Mining Co Ltd;100980
Hainan Runqiong Energy Co Ltd;Hainan Runqiong Energy Co Ltd;200727
Hamburger Energiewerke GmbH;Hamburger Energiewerke GmbH;800751
Hammerhead Energy Inc;Hammerhead Energy Inc;100309
Hancock Prospecting Pty Ltd;Hancock Prospecting Pty Ltd;100893
Hannathon Petroleum II LLC;Hannathon Petroleum II LLC;101082
Hanseatic Energy Hub GmbH;Hanseatic Energy Hub GmbH;200028
Hanwha Energy Corporation;Hanwha Energy Corporation;800277
Hanyang Corporation Co Ltd;Hanyang Corporation Co Ltd;200105
Harbour Energy plc;Harbour Energy plc;100107
Harlow International;Harlow International;801016
HD Hyundai Co Ltd;HD Hyundai Co Ltd;800569
HD Hyundai Co Ltd ;HD Hyundai E&F Co Ltd;800812
HD Hyundai Co Ltd ;HD Hyundai Oilbank Co Ltd;800811
Headwater Exploration Inc;Headwater Exploration Inc;100778
Hebei Anfeng Iron And Steel Group Co Ltd;Hebei Anfeng Iron And Steel Group Co Ltd;801033
Hebei Province Construction & Investment Group Co Ltd;Hebei Province Construction & Investment Group Co Ltd;200199
Heirs Energies Ltd;Heirs Energies Ltd;100795
Helios Investment Partners LLP;Helios Investment Partners LLP;200335
Hellenic Gas Transmission System Operator SA (DESFA);Hellenic Gas Transmission System Operator SA (DESFA);200236
HELLENiQ ENERGY Holdings SA;HELLENiQ ENERGY Holdings SA;200428
Henan Investment Group Co Ltd;Henan Investment Group Co Ltd;200434
Henry Resources LLC;Henry Resources LLC;100421
HEQ Deepwater LLC;HEQ Deepwater LLC;100803
Hess Corporation;Hess Corporation;100062
HG Energy LLC;HG Energy LLC;100197
Hibernia Energy III LLC;Hibernia Energy III LLC;100447
Hibiscus Petroleum Bhd;Hibiscus Petroleum Bhd;100456
HighPeak Energy Inc;HighPeak Energy Inc;100576
Hilcorp Energy Company;Hilcorp Energy Company;100077
HitecVision AS;HitecVision AS;101037
HitecVision AS ;NEO Energy Group Ltd;100757
HK Electric Investments and HK Electric Investments Ltd;HK Electric Investments and HK Electric Investments Ltd;800205
Hokkaido Electric Power Co Inc;Hokkaido Electric Power Co Inc;800528
Houston Energy LP;Houston Energy LP;100578
Hrvatska Elektroprivreda D.D. (HEP);Hrvatska Elektroprivreda D.D. (HEP);200088
Hrvatska Elektroprivreda D.D. (HEP) ;LNG Hrvatska d.o.o.;200496
Huadian Jinan Zhangqiu Thermal Power Co Ltd;Huadian Jinan Zhangqiu Thermal Power Co Ltd;800628
Huadian Power International Co Ltd;Huadian Power International Co Ltd;800017
Huaihe Energy Holding Group Co Ltd;Huaihe Energy Holding Group Co Ltd;200260
Huaihe Energy Holding Group Co Ltd ;Huainan Mining (Group) Co Ltd;200076
Huaneng Power International Inc;Huaneng Power International Inc;800031
Huaneng Power International Inc ;Huaneng Shandong Power Generation Ltd;800872
Huaying Investment Holding Group LLC;Huaying Investment Holding Group LLC;200043
Hubei Energy Group Co Ltd;Hubei Energy Group Co Ltd;200717
Huizhou Dayawan Petrochemical Investment Group Co Ltd;Huizhou Dayawan Petrochemical Investment Group Co Ltd;800370
Huizhou Port Investment Group Co Ltd;Huizhou Port Investment Group Co Ltd;800599
Hulunbeier Urban Construction Investment (Group) Co Ltd;Hulunbeier Urban Construction Investment (Group) Co Ltd;200721
Hunan Energy Investment Group Co Ltd;Hunan Energy Investment Group Co Ltd;200288
Hunt Consolidated Inc;Hunt Consolidated Inc;101028
Hunt Consolidated Inc ;Hunt Oil Company Inc;100144
Hunter Gas Pipeline Pty Ltd;Hunter Gas Pipeline Pty Ltd;200161
HWN Energy Ltd;HWN Energy Ltd;101084
Hyundai Engineering & Construction Co Ltd;Hyundai Engineering & Construction Co Ltd;800197
Hyundai Motor Company;Hyundai Motor Company;800810
i3 Energy Plc;i3 Energy Plc;100772
Ibom Power Company Ltd;Ibom Power Company Ltd;800275
IDACORP Inc;IDACORP Inc;800676
IFM Investors Pty Ltd;IFM Investors Pty Ltd;200635
IGI Poseidon SA;IGI Poseidon SA;200145
IHB Ltd;IHB Ltd;200590
IKAV Capital Partners GmbH;IKAV Capital Partners GmbH;101029
IKAV Capital Partners GmbH ;IKAV Energy Inc;100209
ILX Holdings III LLC;ILX Holdings III LLC;100509
IMC Ltd;IMC Ltd;200180
Imetame Metalmecanica Ltda;Imetame Metalmecanica Ltda;800520
Imetame Metalmecanica Ltda ;Imetame Energia SA;101006
Impact Exploration And Production LLC;Impact Exploration And Production LLC;100540
Impact Oil and Gas Ltd;Impact Oil and Gas Ltd;100809
INA-Industrija nafte d.d.;INA-Industrija nafte d.d.;100758
Indian Oil Corporation Ltd;Indian Oil Corporation Ltd;100212
Indra Cita Sdn Bhd;Indra Cita Sdn Bhd;800521
Indra Cita Sdn Bhd ;MMC Corporation Bhd;800522
Indradhanush Gas Grid Ltd (IGGL);Indradhanush Gas Grid Ltd (IGGL);200585
Industrial Energy Ltd;Industrial Energy Ltd;800972
INEOS Ltd;INEOS Ltd;100218
Infinity Natural Resources LLC;Infinity Natural Resources LLC;100870
Inflection Energy LLC;Inflection Energy LLC;100432
INPEX Corporation;INPEX Corporation;100047
INPEX Corporation ;INPEX Idemitsu Norge AS;100347
InPlay Oil Corp;InPlay Oil Corp;100850
Interconnect Malta Ltd;Interconnect Malta Ltd;200229
InterEnergy Holdings Ltd;InterEnergy Holdings Ltd;800339
InterEnergy Holdings Ltd ;Group Energy Gas Panama SRL;800710
Intermountain Power Agency;Intermountain Power Agency;800192
International Petroleum Corporation (IPC);International Petroleum Corporation (IPC);100709
Invenergy LLC;Invenergy LLC;800207
Invictus Energy Ltd;Invictus Energy Ltd;100827
IOG Capital LP;IOG Capital LP;100499
Iraq Ministry of Electricity;Iraq Ministry of Electricity;800027
Iren SpA;Iren SpA;800304
Iron Oil Operating LLC;Iron Oil Operating LLC;101087
Israel Natural Gas Lines Ltd;Israel Natural Gas Lines Ltd;200286
Isramco Negev 2 LP;Isramco Negev 2 LP;100279
ITOCHU Corporation;ITOCHU Corporation;100166
J&T Capital Partners a.s.;J&T Capital Partners a.s.;801022
Jadestone Energy plc;Jadestone Energy plc;100431
Jamaica Public Service Company Ltd;Jamaica Public Service Company Ltd;800600
James Richardson & Sons Ltd;James Richardson & Sons Ltd;101055
James Richardson & Sons Ltd ;Tundra Oil & Gas Ltd;100333
Janus Continental Group Ltd;Janus Continental Group Ltd;800266
Janus Continental Group Ltd ;GL Africa Energy Ltd;800386
Janus Continental Group Ltd ;GL Energy Mocambique SA;800657
Japan Organization for Metals and Energy Security (JOGMEC);Japan Organization for Metals and Energy Security (JOGMEC);100179
Japan Petroleum Exploration Co Ltd (JAPEX);Japan Petroleum Exploration Co Ltd (JAPEX);100215
Jay-Bee Oil & Gas Inc;Jay-Bee Oil & Gas Inc;100364
JERA Co Inc;JERA Co Inc;100790
Jetta Operating Company Inc;Jetta Operating Company Inc;100479
JG Summit Holdings Inc;JG Summit Holdings Inc;800617
Jiangsu Guoxin Investment Group Ltd;Jiangsu Guoxin Investment Group Ltd;200075
Jiangsu Huadian Ganyu LNG Co Ltd;Jiangsu Huadian Ganyu LNG Co Ltd;200546
Jiangsu Junhui Enterprise Management Center LP;Jiangsu Junhui Enterprise Management Center LP;800893
Jiangsu Zhongchengda Electromechanical Equipment Engineering Co Ltd;Jiangsu Zhongchengda Electromechanical Equipment Engineering Co Ltd;200551
Jiangxi Jovo Energy Co Ltd;Jiangxi Jovo Energy Co Ltd;200613
Jiangxi Province Investment Group Co Ltd;Jiangxi Province Investment Group Co Ltd;200487
Jiangxi Tonghejiali Technology Co Ltd;Jiangxi Tonghejiali Technology Co Ltd;801037
Jiangyin Xinguolian Group Co Ltd;Jiangyin Xinguolian Group Co Ltd;800141
Jieneng Heat Supply Power Plant Co Ltd;Jieneng Heat Supply Power Plant Co Ltd;800889
Jilin Electric Power Co Ltd;Jilin Electric Power Co Ltd;801030
Jinan Energy Group Co Ltd;Jinan Energy Group Co Ltd;800629
Jingye Steel Group Co Ltd;Jingye Steel Group Co Ltd;801034
Jonah Energy LLC;Jonah Energy LLC;100268
Journey Energy Inc;Journey Energy Inc;100979
JP Srbijagas;JP Srbijagas;200261
JSC AstanaGas KMG;JSC AstanaGas KMG;200700
JSC Azerenerji;JSC Azerenerji;800185
JSC Georgian Oil and Gas Corporation;JSC Georgian Oil and Gas Corporation;200185
JSC Georgian Oil and Gas Corporation ;Gardabani TPP 3 LLC;800870
JSC Independent Petroleum Company (NNK);JSC Independent Petroleum Company (NNK);100276
JSC INK-Capital;JSC INK-Capital;101031
JSC INK-Capital ;Irkutsk Oil Company LLC;100101
JSC NK Neftisa;JSC NK Neftisa;100137
JSC Power Plants of North Macedonia (AD ESM);JSC Power Plants of North Macedonia (AD ESM);800153
JSC RusGazDobycha;JSC RusGazDobycha;100616
JSC Tatenergo;JSC Tatenergo;800187
JSC TenderResurs;JSC TenderResurs;100891
JSC Thermal Power Plants;JSC Thermal Power Plants;800069
JSC Tuymaada-Neft;JSC Tuymaada-Neft;101076
JSC Uzbekneftegaz;JSC Uzbekneftegaz;100036
JSC Verkhne-Volzhskaya Generating Company (VVGK);JSC Verkhne-Volzhskaya Generating Company (VVGK);800178
JSC Zarubezhneft;JSC Zarubezhneft;100184
Juhua Group Corporation;Juhua Group Corporation;800253
Juneau Oil & Gas LLC;Juneau Oil & Gas LLC;101077
K. Ellinas Energy Ltd;K. Ellinas Energy Ltd;801017
K. Ellinas Energy Ltd ;Paramount Energy Corporation Ltd;801018
Kanata Clean Power & Climate Technologies Corp;Kanata Clean Power & Climate Technologies Corp;800585
KAR Group;KAR Group;100719
Karadeniz Holding AS;Karadeniz Holding AS;200338
Karadeniz Holding AS ;Karpowership SA (Pty) Ltd;800890
Karak International Oil PSC;Karak International Oil PSC;101091
Karnataka Power Corporation Ltd;Karnataka Power Corporation Ltd;800328
Karoon Energy Ltd;Karoon Energy Ltd;100584
Karve Energy Inc;Karve Energy Inc;100506
Kazakhmys Energy LLP;Kazakhmys Energy LLP;800384
Kazanci Holding AS;Kazanci Holding AS;800194
Kazanci Holding AS ;Aksa Energy Kyzylorda LLP;800990
Kazanci Holding AS ;Aksa Enerji Talimarjan FE LLC;800995
Kazanci Holding AS ;Aksa Enerji Uretim AS;800823
Keerthi Industries Ltd;Keerthi Industries Ltd;100950
Kelt Exploration Ltd;Kelt Exploration Ltd;100345
Keppel Asia Infrastructure Fund LP;Keppel Asia Infrastructure Fund LP;800907
Keppel Asia Infrastructure Fund LP ;Keppel Sakra Cogen Pte Ltd;800906
Keppel Ltd;Keppel Ltd;800555
Killam Oil Co Ltd;Killam Oil Co Ltd;100923
Kimmeridge Energy Management Company LLC;Kimmeridge Energy Management Company LLC;100871
Kimmeridge Energy Management Company LLC ;Commonwealth LNG LLC;200023
Kina Petroleum Corporation;Kina Petroleum Corporation;200124
Kinder Morgan Inc;Kinder Morgan Inc;100181
Kinder Morgan Inc ;Gulf LNG Liquefaction Company LLC;200516
Kinder Morgan Inc ;Kinder Morgan Energy Partners LP;200671
Kineticor Resource Corp;Kineticor Resource Corp;800867
Kinetiko Energy Ltd;Kinetiko Energy Ltd;101000
Kistos Holdings plc;Kistos Holdings plc;100824
KJ Energy LLC;KJ Energy LLC;100500
KKR & Co Inc;KKR & Co Inc;200188
Kochi Salem Pipeline Pvt Ltd;Kochi Salem Pipeline Pvt Ltd;200591
Koda Resources LLC;Koda Resources LLC;100533
Konsorcium Energia MK;Konsorcium Energia MK;800188
Konsorcium Energia MK ;TPP-Bobov Dol AD;800955
Korea Electric Power Corporation (KEPCO);Korea Electric Power Corporation (KEPCO);800000
Korea Electric Power Corporation (KEPCO) ;Guam Ukudu Power LLC;801001
Korea Electric Power Corporation (KEPCO) ;KEPCO for Power Company;800793
Korea Electric Power Corporation (KEPCO) ;Korea East-West Power Co Ltd;800686
Korea Electric Power Corporation (KEPCO) ;Korea Midland Power Co Ltd;800687
Korea Electric Power Corporation (KEPCO) ;Korea South-East Power Co Ltd;800688
Korea Electric Power Corporation (KEPCO) ;Korea Southern Power Co Ltd;800689
Korea Electric Power Corporation (KEPCO) ;Korea Western Power Co Ltd;800690
Korea Gas Corporation (KOGAS);Korea Gas Corporation (KOGAS);100114
Korea National Oil Corporation (KNOC);Korea National Oil Corporation (KNOC);100139
Korea National Oil Corporation (KNOC) ;Dana Petroleum Ltd;100267
Korea Overseas Infrastructure & Urban Development Corporation;Korea Overseas Infrastructure & Urban Development Corporation;801007
Korporata Elektroenergjitike Shqiptare Sh.a. (KESH);Korporata Elektroenergjitike Shqiptare Sh.a. (KESH);800359
