parent_company;company;gogel_id
American Electric Power Company Inc (AEP);American Electric Power Company Inc (AEP);800038
Amni International Petroleum Development Company Ltd;Amni International Petroleum Development Company Ltd;100764
Amperion Power Distribution Company Ltd;Amperion Power Distribution Company Ltd;800613
Amperion Power Distribution Company Ltd ;Geregu Power Plc;800783
Amplify Energy Corp;Amplify Energy Corp;100292
Andes Energy Development Company Ltd;Andes Energy Development Company Ltd;800315
Andhra Pradesh Gas Distribution Corporation Ltd (APGDC);Andhra Pradesh Gas Distribution Corporation Ltd (APGDC);200588
Anhui Province Energy Group Co Ltd (Wenergy Group);Anhui Province Energy Group Co Ltd (Wenergy Group);800254
Anhui Province Natural Gas Development Co Ltd;Anhui Province Natural Gas Development Co Ltd;200258
Anlima Textile Ltd;Anlima Textile Ltd;800775
Anlima Textile Ltd ;Anlima Meghnaghat Power Ltd;800776
Anschutz Exploration Corporation;Anschutz Exploration Corporation;100541
Antelopus Energy Pvt Ltd;Antelopus Energy Pvt Ltd;100852
Antero Resources Corporation;Antero Resources Corporation;100040
APA Corporation;APA Corporation;100049
APA Group;APA Group;200201
Apex Compressed Air Energy Storage LLC;Apex Compressed Air Energy Storage LLC;800747
Apex Energy LLC;Apex Energy LLC;100681
Apollo Infrastructure Projects Finance Company Ltd;Apollo Infrastructure Projects Finance Company Ltd;800948
ARAR Oil & Gas Inc;ARAR Oil & Gas Inc;100689
ARC Financial Corp;ARC Financial Corp;101034
ARC Financial Corp ;Kiwetinohk Energy Corp;100475
ARC Resources Ltd;ARC Resources Ltd;100109
Archer Exploration Corp;Archer Exploration Corp;100986
Arena Offshore LP;Arena Offshore LP;100915
Ares Management Corporation;Ares Management Corporation;101013
Ares Management Corporation ;BlackBrush Oil & Gas LP;100558
Arian MahTaab Gostar Company (Mahtaab Group);Arian MahTaab Gostar Company (Mahtaab Group);800152
Arian MahTaab Gostar Company (Mahtaab Group) ;MahTaab Kahnouj Power Generation Co;800847
Armstrong Oil and Gas Inc;Armstrong Oil and Gas Inc;101074
Arran Energy Pty Ltd;Arran Energy Pty Ltd;100994
ARROW Exploration Corp;ARROW Exploration Corp;100368
Arsenal Resources LLC;Arsenal Resources LLC;100355
Artis Exploration Ltd;Artis Exploration Ltd;100565
Aruana Energia SA (OnCorp);Aruana Energia SA (OnCorp);800129
AS Eesti Varude Keskus;AS Eesti Varude Keskus;200484
Ascent Resources LLC;Ascent Resources LLC;100065
Ashkora Capital Sarl;Ashkora Capital Sarl;800784
Asia Cement Corporation;Asia Cement Corporation;800529
Asia Cement Corporation ;Chiahui Power Corp;800857
Aspenleaf Energy Ltd;Aspenleaf Energy Ltd;100493
Assam Gas Company Ltd;Assam Gas Company Ltd;200167
Assam Gas Company Ltd ;DNP Ltd;200720
Assam Power Generation Corporation Ltd;Assam Power Generation Corporation Ltd;800584
Associated Electric Cooperative Inc;Associated Electric Cooperative Inc;801008
Atem Distribuidora de Petroleo SA;Atem Distribuidora de Petroleo SA;800538
Athabasca Oil Corporation;Athabasca Oil Corporation;100302
Atyant Capital Management Ltd;Atyant Capital Management Ltd;101030
Atyant Capital Management Ltd ;Invenire Energy Pvt Ltd;100797
Atyrau CHPP JSC;Atyrau CHPP JSC;800992
AVAIO Capital;AVAIO Capital;200038
Avant Natural Resources LLC;Avant Natural Resources LLC;100967
Ayala Corporation;Ayala Corporation;800727
Ayala Corporation ;Acen Corporation;800728
Ayala Corporation ;Enex Energy Corporation;800729
Ayala Corporation ;Ingrid3 Power Corporation;800901
Azikel Group;Azikel Group;800928
Azikel Group ;Azikel Power Ltd;800312
Azule Energy Holdings Ltd;Azule Energy Holdings Ltd;100817
B-R Powergen Ltd;B-R Powergen Ltd;800896
B.Grimm Power Public Company Ltd;B.Grimm Power Public Company Ltd;200324
Bahamas Power and Light Company Ltd;Bahamas Power and Light Company Ltd;800966
Baiterek National Managing Holding JSC;Baiterek National Managing Holding JSC;200701
Balaga Potencia SAPI de CV;Balaga Potencia SAPI de CV;800587
Ballard Petroleum Holdings LLC;Ballard Petroleum Holdings LLC;100482
Bangladesh Oil, Gas & Mineral Corporation (Petrobangla);Bangladesh Oil, Gas & Mineral Corporation (Petrobangla);100122
Bangladesh Oil, Gas & Mineral Corporation (Petrobangla) ;Rupantarita Prakritik Gas Company Ltd (RPGCL);200601
Bangladesh Petroleum Corporation (BPC);Bangladesh Petroleum Corporation (BPC);200139
Bangladesh Power Development Board (BPDB);Bangladesh Power Development Board (BPDB);800002
Baotou Shenyin Industry Group Co Ltd;Baotou Shenyin Industry Group Co Ltd;200304
Bapco Energies BSC;Bapco Energies BSC;100080
Barrick Gold Corporation;Barrick Gold Corporation;200205
Basali Ba Liseli Resources Ltd;Basali Ba Liseli Resources Ltd;200169
Basin Electric Power Cooperative;Basin Electric Power Cooperative;800200
Basra Oil Company (BOC);Basra Oil Company (BOC);100038
Batangas Clean Energy Inc;Batangas Clean Energy Inc;200077
Battalion Oil Corporation;Battalion Oil Corporation;100375
Batys Power LLP;Batys Power LLP;800991
Bayswater Exploration and Production LLC;Bayswater Exploration and Production LLC;100445
Baytex Energy Corp;Baytex Energy Corp;100189
Beach Energy Ltd;Beach Energy Ltd;100199
Beacon Offshore Energy LLC;Beacon Offshore Energy LLC;100454
Bedrock Energy Partners LLC;Bedrock Energy Partners LLC;100280
Beijing Energy Holding Co Ltd;Beijing Energy Holding Co Ltd;800009
Beijing Energy Holding Co Ltd ;Beijing Jingneng Clean Energy Co Ltd;800519
Beijing Energy International Holding Co Ltd;Beijing Energy International Holding Co Ltd;801035
Beijing State-owned Capital Operation and Management Co Ltd;Beijing State-owned Capital Operation and Management Co Ltd;800856
Beineu-Shymkent Gas Pipeline LLP;Beineu-Shymkent Gas Pipeline LLP;200699
Belemaoil Producing Ltd;Belemaoil Producing Ltd;100607
Beluluane Gas Company SA;Beluluane Gas Company SA;200558
BEP - Brazilian Energy Participacoes SA;BEP - Brazilian Energy Participacoes SA;800557
Berkshire Hathaway Energy Company;Berkshire Hathaway Energy Company;800007
Berkshire Hathaway Energy Company ;PacifiCorp;800738
Berry Corporation (bry);Berry Corporation (bry);100713
BH-Gas d.o.o. Sarajevo;BH-Gas d.o.o. Sarajevo;200238
Bharat Petroleum Corporation Ltd;Bharat Petroleum Corporation Ltd;100283
Bharat Petroleum Corporation Ltd ;Bharat PetroResources Ltd (BPRL);200447
Bicol Ancillary Services Inc;Bicol Ancillary Services Inc;800904
Bilby LNG LLC;Bilby LNG LLC;200501
Birch Operations Inc;Birch Operations Inc;100274
Birchcliff Energy Ltd;Birchcliff Energy Ltd;100196
Bison Oil & Gas IV LLC;Bison Oil & Gas IV LLC;100549
BKV Corporation;BKV Corporation;100224
Black Mountain Oil & Gas LLC;Black Mountain Oil & Gas LLC;100985
Black Swan Oil & Gas LLC;Black Swan Oil & Gas LLC;100931
Blackhill Energy LLC;Blackhill Energy LLC;100779
Blackstone Inc;Blackstone Inc;800228
Blackstone Inc ;Magnolia Power LLC;800692
Blackstone Inc ;Olympus Energy LLC;100401
Blue Dome Operating LLC;Blue Dome Operating LLC;100517
Blue Energy Ltd;Blue Energy Ltd;200181
Blue Sky Resources Ltd;Blue Sky Resources Ltd;101109
Bonavista Energy Corporation;Bonavista Energy Corporation;100205
Bonterra Energy Corp;Bonterra Energy Corp;100473
Bord na Mona plc;Bord na Mona plc;800731
Bowleven plc;Bowleven plc;200339
BP plc;BP plc;100010
BP plc ;BP Exploration Operating Company Ltd;800942
Brightoil Petroleum (Holdings) Ltd;Brightoil Petroleum (Holdings) Ltd;100329
British International Investment Plc;British International Investment Plc;800289
British International Investment Plc ;Central Termica de Temane SA;800706
British International Investment Plc ;Globeleq Ltd;800656
Brookfield Asset Management Ltd;Brookfield Asset Management Ltd;101039
Brookfield Asset Management Ltd ;Oaktree Capital Management LP;100769
Brookfield Corporation;Brookfield Corporation;200648
Brunei Energy Holdings Sdn Bhd;Brunei Energy Holdings Sdn Bhd;101017
BTA Oil Producers LLC;BTA Oil Producers LLC;100238
BTG Pactual G7 Holding SA;BTG Pactual G7 Holding SA;101014
BTG Pactual G7 Holding SA ;Banco BTG Pactual SA;100269
Buhur for Investment Company;Buhur for Investment Company;800970
Bulgarian Energy Holding EAD;Bulgarian Energy Holding EAD;200134
Burgundy Xploration LLC;Burgundy Xploration LLC;100804
Burk Royalty Co Ltd;Burk Royalty Co Ltd;100770
Buru Energy Ltd;Buru Energy Ltd;200693
Buss Group GmbH & Co KG;Buss Group GmbH & Co KG;200566
Buzachi Neft LLP;Buzachi Neft LLP;100974
BW Energy Ltd;BW Energy Ltd;100478
C.GEN Holding SA;C.GEN Holding SA;800983
C.GEN Holding SA ;C.GEN Killingholme Ltd;800287
Caerus Oil and Gas LLC;Caerus Oil and Gas LLC;100146
California Resources Corporation;California Resources Corporation;100129
Callon Petroleum Company;Callon Petroleum Company;100131
Calpine Corporation;Calpine Corporation;800744
Calpine Corporation ;FPEC LLC;800976
Calyx Energy III LLC;Calyx Energy III LLC;100389
Cameron LNG LLC;Cameron LNG LLC;200445
Canacol Energy Ltd;Canacol Energy Ltd;100324
Canada Pension Plan Investment Board;Canada Pension Plan Investment Board;101053
Canada Pension Plan Investment Board ;Teine Energy Ltd;100282
Canadian Natural Resources Ltd (CNRL);Canadian Natural Resources Ltd (CNRL);100028
Canadian Spirit Resources Inc;Canadian Spirit Resources Inc;100921
Caninde Energias Ltda;Caninde Energias Ltda;800574
Canvas Energy Inc;Canvas Energy Inc;100358
Canyon Creek Energy - Arkoma LLC;Canyon Creek Energy - Arkoma LLC;100532
Capitan Energy Inc;Capitan Energy Inc;100311
Capricorn Energy PLC;Capricorn Energy PLC;100366
Carbon Creek Energy LLC;Carbon Creek Energy LLC;100306
Carbon Holdings Ltd;Carbon Holdings Ltd;800963
Cardinal Energy Ltd;Cardinal Energy Ltd;100879
Castex Energy Inc;Castex Energy Inc;100971
Castleton Commodities International LLC (CCI);Castleton Commodities International LLC (CCI);100298
CC Energy Ltd;CC Energy Ltd;100913
Cedar LNG Partners LP;Cedar LNG Partners LP;200272
Ceiba Energy LLC;Ceiba Energy LLC;800070
Cengiz Holding AS;Cengiz Holding AS;800290
Cenovus Energy Inc;Cenovus Energy Inc;100053
CenterPoint Energy Inc;CenterPoint Energy Inc;800291
CenterPoint Energy Inc ;Southern Indiana Gas and Electric Company;800740
CEPS a.s.;CEPS a.s.;200660
CEPS a.s. ;NET4GAS s.r.o.;200233
Ceylon Electricity Board (CEB);Ceylon Electricity Board (CEB);800214
CEZ a.s.;CEZ a.s.;800286
Chadormalu Mining & Industrial Co;Chadormalu Mining & Industrial Co;800160
Chan May LNG JSC;Chan May LNG JSC;200317
Changchun City Jixing Gas Service for Auto Co Ltd;Changchun City Jixing Gas Service for Auto Co Ltd;200650
Changchun City Jixing Gas Service for Auto Co Ltd ;JX LNG Canada Ltd;200651
Chariot Ltd;Chariot Ltd;100846
Cheiron Petroleum Corporation;Cheiron Petroleum Corporation;100746
Chengdu Yudelong Technology Development Co Ltd;Chengdu Yudelong Technology Development Co Ltd;801028
Cheniere Energy Inc;Cheniere Energy Inc;200007
Cheniere Energy Inc ;Cheniere Corpus Christi Holdings LLC;200670
Cheniere Energy Inc ;Cheniere Energy Partners LP;200675
Cheniere Energy Inc ;Corpus Christi Liquefaction LLC;200497
Cheniere Energy Inc ;Sabine Pass Liquefaction Stage V LLC;200676
Chesapeake Energy Corporation;Chesapeake Energy Corporation;100046
Chevron Corporation;Chevron Corporation;100008
Chevron Corporation ;Tengizchevroil LLP;800769
Chifeng Zhongran Clean Energy Co Ltd;Chifeng Zhongran Clean Energy Co Ltd;200227
Chimcomplex SA Borzesti;Chimcomplex SA Borzesti;800938
China Baowu Steel Group Corporation Ltd;China Baowu Steel Group Corporation Ltd;800106
China Changcheng Natural Gas Power Co Ltd;China Changcheng Natural Gas Power Co Ltd;100995
China Changcheng Natural Gas Power Co Ltd ;Balang International Pte Ltd;100996
China Communications Construction Group Ltd;China Communications Construction Group Ltd;101019
China Communications Construction Group Ltd ;China Communications Construction Company Ltd;100731
China Communications Construction Group Ltd ;China Urban-Rural Holding Group Co Ltd;200724
China Datang Corporation Ltd;China Datang Corporation Ltd;800006
China Datang Corporation Ltd ;Datang International Power Generation Co Ltd;100247
China Energy Engineering Corporation Ltd;China Energy Engineering Corporation Ltd;800517
China Energy Engineering Group Co Ltd;China Energy Engineering Group Co Ltd;800854
China Gas Holdings Ltd;China Gas Holdings Ltd;200197
China General Nuclear Power Corporation;China General Nuclear Power Corporation;800071
China General Nuclear Power Corporation ;CGN Daesan Power Co Ltd;800813
China General Nuclear Power Corporation ;CGN New Energy Holdings Co Ltd;800562
China High-Tech Industrialization Association;China High-Tech Industrialization Association;200639
China Huadian Corporation Ltd;China Huadian Corporation Ltd;200031
China Huadian Corporation Ltd ;Sichuan Huadian Neijiang Gas Power Generation Co Ltd;800633
China Huaneng Group Co Ltd;China Huaneng Group Co Ltd;800065
China National Offshore Oil Corporation;China National Offshore Oil Corporation;200068
China National Offshore Oil Corporation ;CNOOC Gas & Power Group Co Ltd;800620
China National Offshore Oil Corporation ;CNOOC Hainan Power Generation Co Ltd;800619
China National Offshore Oil Corporation ;CNOOC Ltd;100020
China National Offshore Oil Corporation ;CNOOC Shenzhen Power Co Ltd;800621
China National Petroleum Corporation (CNPC);China National Petroleum Corporation (CNPC);100045
China National Petroleum Corporation (CNPC) ;KunLun Energy Company Ltd;100249
China National Petroleum Corporation (CNPC) ;PetroChina Company Ltd;100004
China National Petroleum Corporation (CNPC) ;Petrochina Kunlun Gas Co Ltd;100249,1
China North Industries Group Corporation Ltd;China North Industries Group Corporation Ltd;200620
China North Industries Group Corporation Ltd ;China North Industries Corporation Ltd;200662
China North Industries Group Corporation Ltd ;China ZhenHua Oil Co Ltd;100173
China Oil & Gas Pipeline Network Corporation (PipeChina);China Oil & Gas Pipeline Network Corporation (PipeChina);200087
China Oil & Gas Pipeline Network Corporation (PipeChina) ;PipeChina Beihai LNG Co Ltd;200468
China Oil & Gas Pipeline Network Corporation (PipeChina) ;PipeChina Guangdong Pipeline Network Co Ltd;200474
China Oil & Gas Pipeline Network Corporation (PipeChina) ;PipeChina Nanshan (Shandong) Natural Gas Co Ltd;200470
China Oil & Gas Pipeline Network Corporation (PipeChina) ;PipeChina West-East Gas Transmission Branch Co;200477
China Petrochemical Corporation (Sinopec Group);China Petrochemical Corporation (Sinopec Group);100050
China Petrochemical Corporation (Sinopec Group) ;China Petroleum & Chemical Corporation (Sinopec Corp);100024
China Petrochemical Corporation (Sinopec Group) ;Guangxi Gas Group Co Ltd;200469
