T27,CO2 emission estimates,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
8,Albania,1975,Emissions (thousand metric tons of carbon dioxide),"4,524",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
8,Albania,1985,Emissions (thousand metric tons of carbon dioxide),"7,145",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
8,Albania,2005,Emissions (thousand metric tons of carbon dioxide),"3,981",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
8,Albania,2010,Emissions (thousand metric tons of carbon dioxide),"4,074",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
8,Albania,2015,Emissions (thousand metric tons of carbon dioxide),"3,979",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
8,Albania,2017,Emissions (thousand metric tons of carbon dioxide),"4,493",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
8,Albania,2018,Emissions (thousand metric tons of carbon dioxide),"4,462",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
8,Albania,2019,Emissions (thousand metric tons of carbon dioxide),"4,183",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
8,Albania,1975,Emissions per capita (metric tons of carbon dioxide),1.8,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
8,Albania,1985,Emissions per capita (metric tons of carbon dioxide),2.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
8,Albania,2005,Emissions per capita (metric tons of carbon dioxide),1.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
8,Albania,2010,Emissions per capita (metric tons of carbon dioxide),1.4,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
