Series_Title,Released_Year,IMDB_Rating,Director,Star1,Star2,Star3,Star4,No_of_Votes
The Shawshank Redemption,1994,9.3,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,2343110
The Godfather,1972,9.2,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Diane Keaton,1620367
The Dark Knight,2008,9.0,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,2303232
The Godfather: Part II,1974,9.0,Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,1129952
12 Angry Men,1957,9.0,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler,689845
The Lord of the Rings: The Return of the King,2003,8.9,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,1642758
Pulp Fiction,1994,8.9,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,1826188
Schindler's List,1993,8.9,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,1213505
Inception,2010,8.8,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,2067042
Fight Club,1999,8.8,David Fincher,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,1854740
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,1661481
Forrest Gump,1994,8.8,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,1809221
"Il buono, il brutto, il cattivo",1966,8.8,Sergio Leone,Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffrè,688390
The Lord of the Rings: The Two Towers,2002,8.7,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,1485555
The Matrix,1999,8.7,Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,1676426
Goodfellas,1990,8.7,Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,1020727
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,1159315
One Flew Over the Cuckoo's Nest,1975,8.7,Milos Forman,Jack Nicholson,Louise Fletcher,Michael Berryman,Peter Brocco,918088
Hamilton,2020,8.6,Thomas Kail,Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,Renée Elise Goldsberry,55291
Gisaengchung,2019,8.6,Bong Joon Ho,Kang-ho Song,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-sik,552778
Soorarai Pottru,2020,8.6,Sudha Kongara,Suriya,Madhavan,Paresh Rawal,Aparna Balamurali,54995
Interstellar,2014,8.6,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy,1512360
Cidade de Deus,2002,8.6,Fernando Meirelles,Kátia Lund,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,699256
Sen to Chihiro no kamikakushi,2001,8.6,Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi,651376
Saving Private Ryan,1998,8.6,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,1235804
The Green Mile,1999,8.6,Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,1147794
La vita è bella,1997,8.6,Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,623629
Se7en,1995,8.6,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,1445096
The Silence of the Lambs,1991,8.6,Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons,1270197
Star Wars,1977,8.6,George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,1231473
Seppuku,1962,8.6,Masaki Kobayashi,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,42004
Shichinin no samurai,1954,8.6,Akira Kurosawa,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,315744
It's a Wonderful Life,1946,8.6,Frank Capra,James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell,405801
