Name,Website,Headquarters_country,Headquarters_address,CEO_name,Board,Supervisor,Supervisor_Website,Shareholder_source,Source,Latitude,Longitude
Attijariwafa Bank,https://www.attijariwafabank.com/en,Morocco,"2 boulevard Moulay Youssef BP 11141,2000 Casablanca",Mohamed El Kettani,https://www.attijariwafabank.com/en/media-space/news/mr-mohamed-el-kettani-chairman-and-chief-executive-officer-attijariwafa-bank-group,Bank Al-Maghrib,http://www.bkam.ma/,https://www.marketscreener.com/quote/stock/ATTIJARIWAFA-BANK-SA-41148801/company/,https://www.banktrack.org/bank/attijariwafa_bank,33.5903089,-7.6261349
Axis Bank,http://www.axisbank.com,India,"Bombay Dyeing Mills Compound, Pandurang Budhkar Marg, Worli,400 005 Mumbai",Shri Amithabh Chaudry,https://www.axisbank.com/media-centre/senior-management/amitabh-chaudhry,Reserve Bank of India,https://www.rbi.org.in/,https://www.axisbank.com/shareholders-corner/financial-results-and-other-information/quarterly-results/stock-information,https://www.banktrack.org/bank/axis_bank,19.0065934,72.8296254
BBVA,https://www.bbva.com/en/,Spain,"C. Sauceda, 28,28050 Madrid",Onur Genç,https://www.bbva.com/en/corporate-information/#organizational-chart,Banco de España,http://www.bde.es/homee.htm,https://shareholdersandinvestors.bbva.com/TLBB/tlbb/bbvair/ing/share/information/structure/index.jsp,https://www.banktrack.org/bank/bbva,40.5004166,-3.6628388
BNP Paribas,http://www.bnpparibas.com/en,France,"16, boulevard des Italiens,75009 Paris",Jean-Laurent Bonnafé,https://group.bnpparibas/en/group/about-us/governance/general-management-and-the-executive-committee/jean-laurent-bonnafe,Banque de France,http://www.banque-france.fr/,https://invest.bnpparibas.com/en/share-ownership,https://www.banktrack.org/bank/bnp_paribas,48.8717477,2.3376639
BNP Paribas Fortis,https://www.bnpparibasfortis.com/,Belgium,"Warandeberg 3,B-1000 Brussels",Michael Anseeuw,https://www.bnpparibasfortis.com/your-bank/directors,Nationale Bank van België,http://www.nbb.be/pub/index.htm,https://www.banktrack.org/bank/bnp_paribas,https://www.banktrack.org/bank/bnp_paribas_fortis,50.8458093,4.3599782
BNY Mellon,https://www.bnymellon.com,United States,"1 Wall Street,10286 New York",Robin Vince,https://www.bnymellon.com/us/en/about-us/leadership/vince.html,Federal Reserve,http://www.federalreserve.gov/,http://www.4-traders.com/BANK-OF-NEW-YORK-MELLON--11848/company/,https://www.banktrack.org/bank/bny_mellon,40.7075029,-74.011653
BPCE,http://www.bpce.fr/,France,"50, avenue Pierre Mendès France,75201 Paris",Nicolas Namias,https://www.groupebpce.fr/en/The-Group/Key-Facts/Biographies/Laurent-Mignon,Banque de France,http://www.banque-france.fr/,https://groupebpce.com/en/the-group/organization,https://www.banktrack.org/bank/bpce_group,48.8396858,2.3696388
BTG Pactual,http://www.btgpactual.com,Brazil,"Av. Brigadeiro Faria Lima, 3.477 14º Andar - Itaim Bibi,04538-133  São Paulo",Roberto Sallouti,https://ri.btgpactual.com/en/corporate-governance/management-and-board-of-directors/,Banco Central do Brasil,http://www.bcb.gov.br/?english,https://www.marketscreener.com/quote/stock/BANCO-BTG-PACTUAL-S-A-10162394/company/,https://www.banktrack.org/bank/btg_pactual,-23.5890583,-46.68146549999999
Banco Bradesco,https://www.bradescori.com.br/en/,Brazil,"Cidade de Deus, Prédio Novo, Vila Yara,06029-900 Osasco São Paulo",Octavio de Lazari Junior,https://api.mziq.com/mzfilemanager/v2/d/80f2e993-0a30-421a-9470-a4d5c8ad5e9f/679814a0-a264-4a29-8b38-6128fae1fee9?origin=2,Banco Central do Brasil,http://www.bcb.gov.br/?english,https://fintel.io/so/us/bbd,https://www.banktrack.org/bank/banco_bradesco,-23.5477966,-46.7718094
Banco Galicia,http://www.bancogalicia.com,Argentina,"Tte. Gral. Juan D. Perón 407,C1038AAI Buenos Aires",Fabian Kon,https://www.bancogalicia.com/banca/wcm/connect/4590469e-0ca4-4982-b2cf-d08043fa97c1/CV-Fabia%CC%81n-Kon.pdf?MOD=AJPERES&CVID=lZPadtw,Banco Central de la Republica Argentina,http://www.bcra.gov.ar/index_i.htm,https://www.marketscreener.com/quote/stock/GRUPO-FINANCIERO-GALICIA-445869/company/,https://www.banktrack.org/bank/banco_galicia,-34.6053082,-58.3725241
