Carbon_bomb_name,Country,Company
ACG (Azeri-Chirag-Guneshli Deep Water),Azerbaijan,Azerbaijan (OCC) Limited
ACG (Azeri-Chirag-Guneshli Deep Water),Azerbaijan,BP PLC
ACG (Azeri-Chirag-Guneshli Deep Water),Azerbaijan,Equinor ASA
ACG (Azeri-Chirag-Guneshli Deep Water),Azerbaijan,Inpex Corp
Abqaiq,Saudi Arabia,Saudi Arabian Oil Company (Saudi Aramco)
Afşin-Elbistan Coal Mine,Türkiye,Electricity Generating PCL
Agha Jari,Iran,National Iranian Oil Company
Ahwaz Asmari,Iran,National Iranian Oil Company
Ahwaz Bangestan,Iran,National Iranian Oil Company
Al Khaleej Gas project,Qatar,TotalEnergies SE
Al Khaleej Gas project,Qatar,QatarEnergy
Alpha North Coal Mine,Australia,GVK Group
Anadarko Shelf_Oklahoma,United States,Anadarko
Angren Coal Mine,Uzbekistan,Ministry of Finance of Uzbekistan
Anjialing Open-Pit Mine,China,HKSCC Nominees Limited
Anjialing Open-Pit Mine,China,China Coal Xinji Energy Co Ltd
Antaibao Surface Mine,China,China Coal Xinji Energy Co Ltd
Antaibao Surface Mine,China,HKSCC Nominees Limited
Arctic LNG 2 T1-3,Russia,No informations on company
Area 1 LNG (T1&T2),Mozambique,Mozambique Rovuma Venture
Area-1 Future Phases,Mozambique,TotalEnergies SE
Arshanovsky Coal Mine,Russia,Rutek Alliance
Asab,United Arab Emirates,No informations on company
Athabasca Oil Sands Project,Canada,Exxon Mobil Corp
Athabasca Oil Sands Project,Canada,CNOOC Oil Sands Canada
Athabasca Oil Sands Project,Canada,Sinopec Oil Sands Partnership
Athabasca Oil Sands Project,Canada,Imperial Oil Resources Limited
Athabasca Oil Sands Project,Canada,Suncor
Athabasca Oil Sands Project,Canada,Shell PLC
Athabasca Oil Sands Project,Canada,Suncor Energy Inc
Athabasca Oil Sands Project,Canada,Canadian Natural Resources Ltd (CNRL)
Athabasca Oil Sands Project,Canada,Teck Resources Ltd
Athabasca Oil Sands Project,Canada,TotalEnergies SE
Athabasca Oil Sands Project,Canada,
Athabasca Oil Sands Project,Canada,Chevron Corp
Austin Chalk Tight,United States,Murphy E&P. Company
Austin Chalk Tight,United States,Ramtex Energy
Austin Chalk Tight,United States,Repsol Oil & Gas
Austin Chalk Tight,United States,Rki Energy Resources
Austin Chalk Tight,United States,Sheridan Production Company
Austin Chalk Tight,United States,SM Energy Co
Austin Chalk Tight,United States,U. S. Operating
Austin Chalk Tight,United States,Trinity Operating (USG)
Austin Chalk Tight,United States,Verdun Oil & Gas
Austin Chalk Tight,United States,WCS Oil & Gas Corporation
Austin Chalk Tight,United States,Wildhorse Resources
Austin Chalk Tight,United States,Zarvona Energy
Austin Chalk Tight,United States,Marathon Oil Corp
Austin Chalk Tight,United States,Treadstone Energy
Austin Chalk Tight,United States,Magnolia Oil & Gas Operating
Austin Chalk Tight,United States,Matador Production Company
Austin Chalk Tight,United States,Gulftex Energy
Austin Chalk Tight,United States,BHP Billiton
Austin Chalk Tight,United States,BPX Operating
Austin Chalk Tight,United States,Burlington Resources
Austin Chalk Tight,United States,BXP Operating
Austin Chalk Tight,United States,Chesapeake Operating
Austin Chalk Tight,United States,CML Exploration
Austin Chalk Tight,United States,Blackbrush
Austin Chalk Tight,United States,El Toro Resources
Austin Chalk Tight,United States,Devon Energy Corp
Austin Chalk Tight,United States,Geosouthern Energy
Austin Chalk Tight,United States,Inpex Eagle Ford
Austin Chalk Tight,United States,EOG Resources Inc
Austin Chalk Tight,United States,Encana Oil & Gas
Austin Chalk Tight,United States,Equinor Energy
Azadegan,Iran,China National Petroleum Corporation (CNPC)
BIB Coal Mine,Indonesia,Golden Energy Mines
Ba Leng Coal Mine,China,Jinneng Holding Group Co Ltd
Bab,United Arab Emirates,No informations on company
Bab (Gasco),United Arab Emirates,No informations on company
Baghdad East,Iraq,China ZhenHua Oil Co Ltd
Baijia Haizi Coal Mine,China,Inner Mongolia Huineng Coal and Electricity Group
Baijia Haizi Coal Mine,China,Inner Mongolia Ordos Investment Holding Group
Baijia Haizi Coal Mine,China,Bayannaoer Zhuoyue Building Materials Company
Baishihu Surface Mine,China,Xinjiang Production and Construction Corps
Baishihu Surface Mine,China,Guanghui Energy Holding Company
Baishihu Surface Mine,China,Xin Jiang Guang Hui Industry Investment Group Co Ltd
Baiyanghe Coal Mine,China,Ming Kei Energy Investment Company
Baiyanghe Coal Mine,China,Shandong Lutai Holding Group
Baiyinhua No.3 Surface Mine,China,State Power Investment Corp (SPIC)
Baiyinhua No.3 Surface Mine,China,Huolinhe Coal Industry Group
Baiyinhua No.3 Surface Mine,China,Industrial and Commercial Bank of China
Bakken Shale,United States,Hess Bakken Investments
Balaram Coal Mine,India,Coal India Ltd
Baltimore Canyon Offshore,United States,No informations on company
Banhardih,India,Government of India
Bankui,India,No informations on company
Baode Coal Mine,China,HKSCC Nominees Limited
Baode Coal Mine,China,China Energy Investment Corp Ltd
Barail Shale,India,No informations on company
Barnett Shale,United States,Lakota Energy
Barnett Shale,United States,Lime Rock Resources
Barnett Shale,United States,Mccutchin Petroleum Corporation
Barnett Shale,United States,Merit Energy Company
Barnett Shale,United States,Saddle Operating
Barnett Shale,United States,Sage Natural Resources
