Carbon_bomb,Country
ACG (Azeri-Chirag-Guneshli Deep Water),Azerbaijan
Abqaiq,Saudi Arabia
Afşin-Elbistan Coal Mine,Türkiye
Agha Jari,Iran
Ahwaz Asmari,Iran
Ahwaz Bangestan,Iran
Al Khaleej Gas project,Qatar
Alpha North Coal Mine,Australia
Anadarko Shelf_Oklahoma,United States
Angren Coal Mine,Uzbekistan
Anjialing Open-Pit Mine,China
Antaibao Surface Mine,China
Arctic LNG 2 T1-3,Russia
Area 1 LNG (T1&T2),Mozambique
Area-1 Future Phases,Mozambique
Arshanovsky Coal Mine,Russia
Asab,United Arab Emirates
Athabasca Oil Sands Project,Canada
Austin Chalk Tight,United States
Azadegan,Iran
BIB Coal Mine,Indonesia
Ba Leng Coal Mine,China
Bab,United Arab Emirates
Bab (Gasco),United Arab Emirates
Baghdad East,Iraq
Baijia Haizi Coal Mine,China
Baishihu Surface Mine,China
Baiyanghe Coal Mine,China
Baiyinhua No.3 Surface Mine,China
Bakken Shale,United States
Balaram Coal Mine,India
Balasu Coal Mine,China
Baltimore Canyon Offshore,United States
Banhardih,India
Bankui,India
Baode Coal Mine,China
Barail Shale,India
Barnett Shale,United States
Barzan,Qatar
Basrah Gas project,Iraq
Beaufort Sea Offshore,United States
Beisky-Zapadniy Coal Mine,Russia
Bernice-Cygnus Coal Mine,South Africa
Berri,Saudi Arabia
Black Thunder Coal Mine,United States
Blackwater Coal Mine,Australia
Bogatyr Coal Mine,Kazakhstan
Boikarabelo Coal Mine,South Africa
Boli Coal Mine,China
Borly Coal Mines,Kazakhstan
Bovanenkovo Zone (Yamal Megaproject),Russia
Bowland Shale,United Kingdom
Bu Hasa,United Arab Emirates
Buertai Coal Mine,China
Buliangou Coal Mine,China
Buzios (x-Franco),Brazil
Byerwen Coal Mine,Australia
Cambrian/Silurian Marine Shale,China
Campos Offshore,Brazil
Candeias Shale,Brazil
Carboniferous Shale,Kazakhstan
Carmichael Coal Project,Australia
Central Arabian Offshore,Bahrain
Central Arabian Offshore,Iran
Central Arabian Offshore,Saudi Arabia
Central Arabian Onshore,Iraq
Central Arabian Onshore,Kuwait
Central Arabian Onshore,Qatar
Central Arabian Onshore,Saudi Arabia
