name,headquarters_address,latitude,longitude,carbon_bomb_connected,url_logo,country,world_region
1849 Energy,"11916 Fairway Dr, Suite 200, Cypress, TX 77429",30.0141064,-95.6668306,Barnett Shale,None,United States,North America
A-Property,"Moscow, Russia",55.755826,37.6173,"Elga Coal Mine,Sugodinsk-Ogodzhinsky Coal Mine",None,Russia,Europe
AGL Energy Ltd,"200 George Street, Sydney, NSW, 2000, Australia",-33.8625031,151.2077978,Loy Yang Coal Mine,None,Australia,Oceania
Abraxas,"USA, Washington D.C.",38.9071923,-77.0368707,"Bakken Shale,Permian Delaware Tight",None,United States,North America
Abu Dhabi National Oil Company,"Al Mamoura A Building, Mohammed Bin Zayed City, Abu Dhabi, UAE",24.3477446,54.55326600000001,"Lower Zakum,Umm Shaif/Nasr,Upper Zakum",https://www.adnoc.ae/-/media/Adnoc-v2/Images/Logo/adnoc-logo-updated.ashx?la=en&hash=7E6BA2973EF7B0D87F130C52C8D2FD97,United Arab Emirates,Asia
Adani Group,"Adani House, Near Mithakhali Circle, Navrangpura, Ahmedabad, Gujarat, India",23.0332566,72.566549,Carmichael Coal Project,None,India,Asia
Adaro Energy,"Menara Karya, 23rd Floor, Jl. H.R. Rasuna Said, Block X-5, Kav. 1-2, Jakarta 12950, Indonesia",-6.222582999999999,106.7355118,Tutupan Coal Mine,view-source:https://www.adaro.com/web/assets/common/images/logo-adaro-head.png,Indonesia,Asia
Aethon Energy,"USA, Washington D.C.",38.9071923,-77.0368707,Haynesville/Bossier Shale,None,United States,North America
Africa Energy Corp.,"1900, 885 West Georgia Street, Vancouver, BC, Canada V6C 3E8",49.2837809,-123.1195319,Collingham Shale,https://africaenergycorp.com/site/templates/img/logo-home.png,Canada,North America
Ageron Energy,"1000 Potomac St, NW, Suite 300, Washington, DC 20007",38.9035335,-77.0652643,Eagle Ford Shale,None,United States,North America
Aker BP ASA,"Oksenoyveien 10, Lysaker, Norway",59.9049698,10.6252488,Johan Sverdrup,https://en.wikipedia.org/wiki/Aker_ASA#/media/File:Aker_ASA.svg,Norway,Europe
Al-Haj Group of Companies,"Pakistan, Islamabad",33.6844202,73.04788479999999,Sembar Shale,None,Pakistan,Asia
Alliance Resource Partners LP,"1717 S Boulder Ave, Tulsa, OK 74119, USA",36.1376262,-95.9881529,Hamilton County Mine No.1,None,United States,North America
Ameredev,"2901 Vía Fortuna # 600, Austin, TX 78746",0.0,0.0,Permian Delaware Tight,None,None,None
Amplify Energy Corp,"500 Dallas Street, Suite 1700, Houston, Texas 77002, USA",29.7576539,-95.3705236,Haynesville/Bossier Shale,None,United States,North America
Anadarko,"USA, Washington D.C.",38.9071923,-77.0368707,PRB Tight Oil,None,United States,North America
Anhui Province Wanbei Coal-Electricity Group Co Ltd,"Beijing, China",39.904211,116.407395,"Kouzi East Coal Mine,Liuzhuang Coal Mine",None,China,Asia
Anschutz Exploration Corporation,"USA, Washington D.C.",38.9071923,-77.0368707,PRB Tight Oil,None,United States,North America
Antero Resources Corp,"1615 Wynkoop Street, Denver, Colorado 80202, USA",39.752448,-105.0011122,"Marcellus Shale,Utica Shale",None,United States,North America
