Bank,Company,2016,2017,2018,2019,2020,2021,2022,Grand Total
ANZ,CLP Holdings Ltd,0.0,50448237.750214905,0.0,0.0,125325606.45056792,70598950.64692274,117515970.2608681,363888765.1085737
ANZ,Inpex Corp,600000000.0,455769230.0,0.0,0.0,1050875000.0,0.0,1505600000.0,3612244230.0
ANZ,Glencore PLC,0.0,45843750.0,66119984.57588445,111677419.44,154693338.07504827,0.0,46412903.24,424747395.3309328
ANZ,BP PLC,0.0,158041681.23037082,0.0,0.0,241230050.89,0.0,0.0,399271732.12037086
ANZ,State Power Investment Corp (SPIC),97656855.054785,0.0,50934519.35199645,0.0,0.0,0.0,0.0,148591374.40678144
ANZ,Exxon Mobil Corp,400000000.0,0.0,0.0,0.0,0.0,0.0,0.0,400000000.0
ANZ,BHP Group Ltd,0.0,0.0,0.0,57500000.0,2857142.88,0.0,0.0,60357142.88
ANZ,Oil and Natural Gas Corporation Ltd (ONGC),0.0,0.0,0.0,166666667.0,0.0,0.0,0.0,166666667.0
ANZ,Shell PLC,0.0,0.0,0.0,388000000.0,0.0,0.0,0.0,388000000.0
ANZ,AGL Energy Ltd,0.0,0.0,0.0,116841312.68554688,0.0,0.0,0.0,116841312.68554688
ANZ,State Grid Corp of China,75434668.71594647,171496615.25697762,78708623.79805605,0.0,0.0,33273705.6588712,0.0,358913613.4298513
ANZ,TotalEnergies SE,0.0,0.0,0.0,0.0,341250503.2317707,0.0,0.0,341250503.2317707
ANZ,Zhejiang Provincial Energy Group Co Ltd,0.0,50000000.0,0.0,0.0,0.0,0.0,0.0,50000000.0
Agricultural Bank of China,Shougang Group Co Ltd,1622303.169886687,0.0,0.0,0.0,0.0,0.0,0.0,1622303.169886687
Agricultural Bank of China,Hubei Yihua Chemical Industry Co Ltd,10218036.92,0.0,0.0,0.0,0.0,0.0,0.0,10218036.92
Agricultural Bank of China,Zhejiang Provincial Energy Group Co Ltd,0.0,81634500.0,99652140.0,102522240.0,260637480.0,100998585.0,0.0,645444945.0
Agricultural Bank of China,Lu'an Chemical Group Co Ltd,96181628.4,0.0,43181700.0,0.0,46587551.4,0.0,0.0,185950879.8
Agricultural Bank of China,Jizhong Energy Group Co Ltd,0.0,0.0,138819530.0,50074518.16,0.0,0.0,0.0,188894048.16
Agricultural Bank of China,State Grid Corp of China,772010000.0,29883804.454319432,262563880.38352907,865502160.1716462,1386568998.526739,3751992456.469884,2610956250.0,9679477550.00612
Agricultural Bank of China,Inpex Corp,0.0,455769230.0,0.0,0.0,0.0,0.0,0.0,455769230.0
Agricultural Bank of China,China National Petroleum Corporation (CNPC),1900240000.0,86893800.0,785830000.0,2171800000.0,2599569000.0,849640000.0,2011351500.0,10405324300.0
Agricultural Bank of China,Shaanxi Yanchang Petroleum Group Co Ltd,298623507.1867472,0.0,402339115.9360036,455787398.82367337,557166567.4496047,0.0,0.0,1713916589.3960288
Agricultural Bank of China,State Power Investment Corp (SPIC),465251051.0,320206560.0,319147337.8886143,1335657983.7971284,1161139865.023264,514130901.50477314,490780123.9167551,4606313823.130534
