Company,Country
1849 Energy,
A-Property,Russia
AGL Energy Ltd,Australia
Abu Dhabi National Oil Company,United Arab Emirates
Adani Group,India
Adaro Energy,Indonesia
Africa Energy Corp.,Canada
Aker BP ASA,Norway
Alliance Resource Partners LP,United States
Amplify Energy Corp,
Anadarko,
Anhui Xinji Coal and Electricity Group,China
Arch Resources Inc,United States
Arrowhead Productions,
Asian American Continental Coal Company,China
Azerbaijan (OCC) Limited,
BHP Billiton,
BHP Group Ltd,Australia
BP PLC,United Kingdom
BPX Operating,
BRG Lone Star,
BXP Operating,
Basra Oil Company,Iraq
Bayan Resources Tbk PT,Indonesia
Bayannaoer Zhuoyue Building Materials Company,China
Bazhou Dongchen Industry and Trade Company,China
Bedrock Production,
Beijing Energy Holding Co Ltd,China
Beijing Guotai Xinhua Industrial Company,China
Beijing Jingneng Power Company,China
Beijing Lirui Investment Company,China
Beijing Sunshine Ruita Investment Consulting Company,China
Bin County Coal Company,China
Binxian Coal Company,China
Blackbrush,
Bluestone,
Bono Lithihi Investments Group,South Africa
Bosque Texas Oil,
Bulgarian Energy Holding EAD,Bulgaria
Bumi Resources,Indonesia
Burlington Resources,
CCI,
CKD Mines,Canada
CLP Holdings Ltd,China
CML Exploration,
CNOOC International,China
CNOOC Limited,China
CNOOC Oil Sands Canada,Canada
CNPC,
Canadian Natural Resources Ltd (CNRL),Canada
Changchun Jijun Trade Company,China
Chesapeake Operating,
Chevron Corp,United States
China COSCO Shipping Corp Ltd,China
China Chengtong Holdings Group,China
China Cinda Asset Management,China
China Cinda Asset Management Company,China
China Coal Xinji Energy Co Ltd,China
China Construction Bank,China
China Datang Corp,China
China Development Bank,China
China Energy Investment Corp Ltd,China
China Huadian Corp Ltd,China
China Huaneng Group Co Ltd,China
China Huarong Asset Management Company,China
China Import-Export Bank,China
China Investment Co,China
China Kingho Energy Group,China
China National Petroleum Corporation (CNPC),China
China Reform Holdings Company,China
China Securities Finance Corporation,China
China ZhenHua Oil Co Ltd,China
Coal India Ltd,India
Comstock Oil & Gas,
ConocoPhillips,United States
Contura Energy,United States
Cooperative KazMunayGaz,Kazakhstan
Covey Park Operating,
Crown Equipment Co.,
Delek Group Ltd,Israel
Devon Energy Corp,
Drummond Company,United States
EOG Resources Inc,
Eagleridge Operating,
El Toro Resources,
Electricity Generating PCL,
Elektroprivreda Srbije (EPS),
Elevation Resources,
Elion Resources Group Ltd,China
Encana Oil & Gas,
Endeavor Energy Resources LP,
Enervest Operating,
Eni SpA,Italy
Ensign Operating LLC,
Equinor ASA,Norway
Equinor Energy,
Erdenes MGL,Mongolia
Erdos Chunhui Forest Company,China
Erdos Jiuyuan Investment Company,China
Evraz PLC,United Kingdom
Exco Operating Co.,
Exxaro Resources Ltd,South Africa
Exxon Mobil Corp,United States
FDL Operating,
"Faulconer, Vernon E.",
Felderhoff Production,
Foresight Energy,United States
Fortune Resources,
Fude Life Insurance Company,China
Fugu State-Owned Asset Management and Operation Company,China
Fuse Energy,
Futura Resources,Australia
GCM Resources,United Kingdom
GHA Barnett,
GVK Group,India
Galp Energia SGPS S.A.,
Gazprom PJSC,Russia
Geosouthern Energy,
Glencore PLC,United Kingdom
Golden Energy Mines,Indonesia
Government of India,India
Government of North Korea,North Korea
Guangda Holding Company,China
Guangdong Hanjian Investment Co Ltd,China
Guangdong Hengjian Investment Holding Co Ltd,China
Guangdong Jinma Tourism Group,China
Guanghui Energy Holding Company,China
Guizhou Coalfield Geology Bureau,China
Guizhou Panjiang Coal and Electricity Group,China
Gujarat State Electricity Corporation,India
Gulftex Energy,
HD Mining International,Canada
HKSCC Nominees Limited,China
Harbour Energy PLC,United Kingdom
Hebei Construction & Investment Group Co Ltd,
Hebei Weiyuan Group,China
Hess Bakken Investments,
Hess Corporation,United States
Hillwood O & G Operating Co.,
Hongchuang (Shenzhen) Investment Center,
Huaihe Energy,China
Huayang New Material Technology Group Co Ltd,China
Hubei Yihua Chemical Industry Co Ltd,China
Huolinhe Coal Industry Group,China
ITOCHU Corp,Japan
Imperial Oil Resources Limited,Canada
Indexim Coalindo,Indonesia
Indian Oil Corp Ltd,India
Indika Energy Tbk PT,Indonesia
Indonesia Asahan Aluminium Persero PT,Indonesia
Industrial Development Corporation,South Africa
Industrial and Commercial Bank of China,China
Inner Mongolia Boyuan Holdings Group,China
Inner Mongolia Coal Field Geological Bureau,China
Inner Mongolia Guanglian Minzu Economic Development Company,China
Inner Mongolia Huineng Coal and Electricity Group,China
Inner Mongolia Kaiyuan Shiye Group,China
Inner Mongolia Mengtai Group Co Ltd,China
Inner Mongolia Ordos Investment Holding Group,China
Inner Mongolia Shengli Resource Group,China
Inner Mongolia Yitai Investment Co Ltd,China
Inpex Corp,Japan
Inpex Eagle Ford,
Integrated Energy Services Corporation,United States
Iraqi Oil Exploration Company,Iraq
JFE Steel,Japan
JSC Samruk-Kazyna,Kazakhstan
Jagged Peak Energy,
Jiangsu Yueda Group,China
Jiaxing Dejian Investment Partnership,China
Jilin Province Coal Industry Group,China
Jinchengtai Limited Liability Company Of Chemical Industry of Ordos City,China
Jindal Group,India
Jinneng Holding Group Co Ltd,China
Jiutai Energy,China
Jizhong Energy Group Co Ltd,China
Joint Resources JSC,Kazakhstan
Joint-Stock Company “Sovereign Wealth Fund “Samruk Kazyna”,
Junggar Juli Cultivation Company,China
Kailuan Group Ltd Liability Corp,China
Kazakhmys Corporation,Kazakhstan
Kolmar,Russia
Korea Gas Corporation (KOGAS),South Korea
Kuwait Petroleum Corp,Kuwait
LG International,South Korea
LUKOIL PJSC,Russia
LX International,South Korea
Lakota Energy,
Langfang Heyuan Investment Center,China
Lime Rock Resources,
Lu'an Chemical Group Co Ltd,China
Luen Mei Group,China
Lundin Energy AB,Sweden
MC Mining,South Africa
Magnolia Oil & Gas Operating,
Manshi Group,China
Marathon Oil Corp,
Matador Production Company,
Mccutchin Petroleum Corporation,
Merit Energy Company,
Mineralogy,
Minerals Development Company Botswana,Botswana
Ming Kei Energy Investment Company,China
Ministry of Finance of Uzbekistan,Uzbekistan
Missan Oil Company,Iraq
Mitsubishi Corp,Japan
Mitsui & Co. Ltd.,
Mozambique Rovuma Venture,
Mubadala Investment Company,United Arab Emirates
Murphy E&P. Company,
NMDC,India
NTPC Ltd,India
National Bank of the Republic of Kazakhstan,Kazakhstan
National Iranian Oil Company,Iran
National Oil Corporation (Libya),
National Thermal Power Corporation,India
Navajo Nation,United States
New Largo Employee & Community Trusts,
Ningxia State-Owned Assets Company,China
Ningxia State-Owned Capital Operation Group,China
Ningxia Wangwa Coal Industry Company,China
Nippon Steel & Sumitomo Metal,
Novatek,
OMV AG,Austria
OXY USA,
Occidental Permian,
Occidental Petroleum Corp,United States
Octo Coal,Russia
Oil and Natural Gas Corporation Ltd (ONGC),
Oil and Natural Gas Corporation of India,India
Ordos Energy Investment and Development Company,China
PAO NOVATEK,Russia
PC Venezuela LTD,Venezuela
PDVSA,Venezuela
POSCO Holdings Inc,South Korea
PPI,
PPL Corp,United States
PTT PLC,Thailand
Peabody Energy Corp,United States
Pembroke Resources,Australia
Pertamina Persero PT,Indonesia
Petoro AS,Norway
PetroChina,
Petroliam Nasional Berhad (Petronas),Malaysia
Petróleo Brasileiro SA – Petrobras,Brazil
Petróleo Brasileiro S.A.,Brazil
Petróleos Mexicanos (PEMEX),Mexico
Pioneer Natural Resources Co,
Pitts Energy Co.,
Polskie Górnictwo Naftowe i Gazownictwo SA (PGNiG),
Private Resources Limited,
Private individuals,
Pré-Sal Petróleo S.A.,Brazil
Public Power Corporation of Greece S.A,Greece
QCoal,Australia
QH Oil Investments LLC,Russia
QatarEnergy,Qatar
Qatargas,
R. Lacy Services,
RWE AG,Germany
Ramtex Energy,
Rashtriya Ispat Nigam (RINL),
Ratio Petroleum,Israel
Reliance Power Ltd,India
Repsol Oil & Gas,
Repsol SA,Spain
Resource Generation Australia,Australia
RioZim,Zimbabwe
Rki Energy Resources,
Rockcliff Energy Operating,
Rockdale Marcellus,
Rosetta Resources,
Rosneft,
Rosneftegaz AO,Russia
Rothe Investments,South Africa
Russian Coal,Russia
Russian Federation Agency for State Property Management,Russia
Russkaya Energiya,Russia
Rutek Alliance,Luxembourg
SM Energy Co,
Sabine Oil & Gas Corporation,
Saddle Operating,
Sage Natural Resources,
Samruk-Energo,Kazakhstan
Saudi Arabian Oil Company (Saudi Aramco),Saudi Arabia
Scout Energy Management,
Seriti,South Africa
Severstal-Resource,Russia
Shaanxi Coal and Chemical Industry Group Co Ltd,China
Shaanxi Financial Holding Group,China
Shaanxi Investment Group Co Ltd,China
Shaanxi Yanchang Petroleum Group Co Ltd,China
Shaanxi Youser Group,China
Shaanxi Yulin Energy Group Co Ltd,China
Shandong Energy Co Ltd,China
Shandong First Geological and Mineral Exploration Institute,China
Shandong Lutai Holding Group,China
Shanghai Chengrui Investment Company,China
Shanghai Huayi Group,China
Shanghua Investment Company,
Shanxi Boda Group,China
Shanxi Chuangrei New Energy Investment Company,China
Shanxi Coking Coal Group Co Ltd,China
Shanxi Dubao New Energy Group,China
Shanxi Huayang Group New Energy Company,China
Shanxi Juhuang Century Investment Company,China
Shanxi Provincial Coal Industry Agency Service Center,China
Shanxi Tangrong Investment Company,China
Shanxi Yuedian Energy,China
Shanxi Yujin Trading Company,China
Shanxi Zhongbo Real Estate Development Company,China
Shelby Boswell Operator,
Shell PLC,United Kingdom
Shendong Tianlong Group,China
Shenergy Group Co Ltd,China
Shenmu City State-Owned Assets Operation Co,China
Shenmu Coal Company,China
Shenmu Taide Energy Investment Company,China
Sheridan Production Company,
Shougang Group Co Ltd,China
Siberian Business Union-Coal (SBU),
Sindh Engro Coal Mining Company,Pakistan
Sinopec,China
Sinopec Group,China
Sinopec Oil Sands Partnership,Kazakhstan
Sojitz Corp,Japan
Sonatrach SPA,Algeria
Stanmore Resources,Australia
State Grid Corp of China,China
State Power Investment Corp (SPIC),
Steel Authority of India (SAIL),
Suncor,
Suncor Energy Inc,Canada
Surgutneftegas,
TEP Barnett USA,
Talbot Group,United States
Tanos Exploration,
Tatneft,
Teal Operating,
Tebian Electric Apparatus (TBEA),
Teck Resources Ltd,Canada
TerraCom Resources,Australia
Texxol Operating Company,
Thungela Resources Ltd,Australia
Tianjin Energy Investment Co Ltd,China
Tibet Hengyisheng Investment Company,China
Titan Infra Energy PT,Indonesia
TotalEnergies SE,France
Treadstone Energy,
Trinity Operating (USG),
Tuva Energy Industrial Company,Russia
U. S. Operating,
UPP Operating,
United Company RUSAL,Russia
Ural Mining Metallurgical Company,Russia
Urban Oil & Gas Group,
Uttar Pradesh Rajya Vidyut,India
Valence Operating Company,
Valiant Resources,Australia
Verdun Oil & Gas,
WCS Oil & Gas Corporation,
Weatherly Oil & Gas,
Wildhorse Resources,
Wutongshu Investment Platform Co.,China
XTO Energy,
Xin Jiang Guang Hui Industry Investment Group Co Ltd,China
Xinjiang Changyuan Water Group,China
Xinjiang Energy Group,China
Xinjiang Joinworld Company,China
Xinjiang Production and Construction Corps,China
Xinjiang Xinhua Hydropower Investment Company,China
Xin’ao Holding Investment Company,
Xuzhou Coal Mining Group,China
Yanchang Oil and Minerals Administration Hengshan Oil Drilling and Production Company,China
Yang Quan Coal Industry Group,China
Yangcheng County Yangtai Group Industrial Co Ltd,China
Yankuang Energy,China
Yichang Caiyuan Investment and Management Company,China
Yichang Xinfa Industry Investment Company,China
Yildirim Holding AS,Turkey
Yima Coal Industry Group,China
Yulin City Finance Investment Management Company,China
Yulin City Yuyang District Energy Investment Company,China
Yulin State-Owned Asset Operation and Management Company,China
Yulin State-Owned Capital Operation and Management Company,China
Yulin Yuyang Coal Company,China
Yulin Yuyang District Energy Investment Company,China
Yuling Mining Group,China
Zarvona Energy,
Zhejiang Provincial Energy Group Co Ltd,China
Zhejiang Shenglong Industrial Company,China
Zhejiang Xinhu Group Holding Company,China
