name,emissions_per_capita_tons_co2,emissions_thousand_tons_co2,gdp_millions_us_dollars,gdp_per_capita_us_dollars,population_in_millions,surface_thousand_km2,year_surface_thousand_km2
Algeria,3.3,143586,147689,3368,44.9,2382,2020
Argentina,3.6,164315,383067,8476,45.51,2796,2020
Australia,15.0,385156,1423473,55823,26.18,7692,2020
Azerbaijan,3.4,34325,42607,4202,10.36,87,2020
Bahrain,19.9,32733,33904,19925,1.47,1,2020
Bangladesh,0.5,92736,329484,2001,171.19,148,2020
Botswana,3.1,7495,15782,6711,2.63,582,2020
Brazil,1.9,428083,1444733,6797,215.31,8516,2020
Bulgaria,5.5,38778,69888,10058,6.78,110,2020
Canada,15.2,579620,1644037,43560,38.45,9985,2020
China,7.1,9985311,14722801,10229,1425.89,9600,2020
Colombia,1.5,77172,271347,5333,51.87,1142,2020
Denmark,4.9,29340,356085,61477,5.88,43,2020
Germany,7.8,653896,3846414,45909,83.37,358,2020
Greece,5.3,57491,188835,18117,10.39,132,2020
Guyana,3.4,2730,5471,6956,0.81,215,2020
India,1.7,2371890,2664749,1931,1417.17,3287,2020
Indonesia,2.2,596296,1058424,3870,275.5,1911,2020
Iran,7.0,588647,939316,11183,88.55,1631,2020
Iraq,3.5,139388,166757,4146,44.5,435,2020
Israel,6.7,61512,407101,47034,9.04,22,2020
Kazakhstan,11.1,207655,171082,9111,19.4,2725,2020
Kuwait,21.3,90028,105949,24809,4.27,18,2020
Libya,6.8,46534,29153,4243,6.81,1676,2020
Mexico,3.3,426938,1073439,8326,127.5,1964,2020
Mongolia,7.0,23062,13137,4007,3.4,1564,2020
Mozambique,0.2,8434,14029,449,32.97,799,2020
Nigeria,0.5,131777,429899,2085,218.54,924,2020
North Korea,11.3,54432,15847,618,26.07,121,2020
Norway,6.5,35504,362522,66871,5.43,324,2020
Pakistan,0.8,188418,257829,1167,235.82,796,2020
Poland,7.5,293253,596618,15764,39.86,313,2020
Qatar,30.7,87276,146401,50815,2.7,12,2020
Russia,11.4,1652097,1483498,10166,144.71,17098,2020
Saudi Arabia,14.4,499450,700118,20110,36.41,2207,2020
Serbia,6.5,45845,53335,7656,7.22,88,2020
South Africa,7.4,440028,302141,5094,59.89,1221,2020
Syria,1.4,23776,15572,890,22.13,185,2020
Tanzania,0.2,16043,64740,1115,65.5,947,2020
Turkmenistan,11.6,69582,42845,7104,6.43,488,2020
Türkiye,4.4,370198,720098,8538,85.34,784,2020
Ukraine,3.8,172311,155582,3557,39.7,604,2020
United Arab Emirates,18.2,179233,358869,36285,9.44,71,2020
United Kingdom,5.1,347620,2764198,40718,67.51,242,2020
United States,14.4,4821298,20893746,63123,338.29,9834,2020
Uzbekistan,3.3,112677,57707,1724,34.63,449,2020
Venezuela,3.2,91215,106359,3740,28.3,930,2020
Zimbabwe,0.8,13882,21787,1466,16.32,391,2020
