name,country,potential_gtco2,fuel_type,id,gem_source,latitude,longitude,source_for_lat_long,operators,parent_company,companies,start_year,multiple_unit,world_region,status_cb,status_gem,status_lvl_1,status_lvl_2
ACG (Azeri-Chirag-Guneshli Deep Water),Azerbaijan,1.660265695,Oil&Gas,OG0012912,https://www.gem.wiki/Azeri-Chirag-Guneshli_(ACG)_Deepwater_Oil_and_Gas_Complex_(Azerbaijan),40.21967,51.09767,GEM,Azerbaijan International Operating Company (AIOC),Azerbaijan (OCC) Limited (11.6%);BP P.L.C. (35.8%);Equinor ASA (8.6%);INPEX Corporation (11.0%);Others (33.0%),Azerbaijan (OCC) Limited (11.6%);BP PLC (35.8%);Equinor ASA (8.6%);Inpex Corp (11.0%);Others (33.0%),No start year available,Azeri-Chirag-Guneshli (ACG) Deepwater,Asia,operating,operating,operating,operating
Abqaiq,Saudi Arabia,1.59282777,Oil&Gas,OG0014119,https://www.gem.wiki/Abqaiq_Oil_Field_(Saudi_Arabia),26.1687,49.7841,GEM,Saudi Aramco,No informations on company (100.0%),Saudi Arabian Oil Company (Saudi Aramco) (100.0%),1946,Abqaiq,Asia,operating,operating,operating,operating
Afşin-Elbistan Coal Mine,Türkiye,4.08646,Coal,M0955,https://www.gem.wiki/Afşin-Elbistan_coal_mines,38.340685,37.082979,GEM,Afşin- Elbistan Elektrik Üretim ve Ticaret A.Ş,"Euas Electricity Generation Company (Elektrik Üretim A.Ş, EÜAŞ) (100.0%)",Electricity Generating PCL (100.0%),1984,Afşin-Elbistan Coal Mines,Asia,operating,operating,operating,operating
Agha Jari,Iran,1.563110231,Oil&Gas,OG0012187,https://www.gem.wiki/Aghajari_Oil_Field_(Iran),30.8312,49.7596,GEM,National Iranian South Oil Company,National Iranian Oil Company (100.0%),National Iranian Oil Company (100.0%),1939,Aghajari,Asia,operating,operating,operating,operating
Ahwaz Asmari,Iran,2.238284406,Oil&Gas,OG0012129,https://www.gem.wiki/Ahvaz-Asmari_Oil_Field_(Iran),31.30713343367864,48.81950446517341,GEM,Karun Oil and Gas Production Company,National Iranian Oil Company (100.0%),National Iranian Oil Company (100.0%),1954,Ahvaz-Asmari,Asia,operating,operating,operating,operating
Ahwaz Bangestan,Iran,1.433911709,Oil&Gas,OG0012143,https://www.gem.wiki/Ahvaz-Bangestan_Oil_Field_(Iran),31.275163815670638,48.877207702550194,GEM,Karun Oil and Gas Production Company,National Iranian Oil Company (100.0%),National Iranian Oil Company (100.0%),1954,Ahvaz-Bangestan,Asia,operating,operating,operating,operating
Al Khaleej Gas project,Qatar,1.135307349,Oil&Gas,OG0012459,https://www.gem.wiki/Al_Khalij_Oil_and_Gas_Field_(Qatar),25.92298,52.69973,GEM,TotalEnergies E&P-Qatar,TotalEnergies (40.0%);QatarEnergy (60.0%),TotalEnergies SE (40.0%);QatarEnergy (60.0%),1997,Al Khalij,Asia,operating,operating,operating,operating
Alpha North Coal Mine,Australia,2.542806,Coal,M2491,https://www.gem.wiki/Alpha_West_coal_project,-23.115171,146.332751,GEM,GVK Hancock,GVK Group (100.0%),GVK Group (100.0%),No start year available,Alpha West Coal Project,Oceania,not started,cancelled,cancelled,stopped
Anadarko Shelf_Oklahoma,United States,1.817826072,Oil&Gas,No informations available on GEM,No informations available on GEM,31.7908,-103.4136,Manual,None,No informations on company (100.0%),No informations on company (100.0%),No start year available,None,North America,operating,None,operating,operating
Angren Coal Mine,Uzbekistan,2.4038,Coal,M1083,https://www.gem.wiki/Angren_coal_mine,41.036101,70.180128,GEM,Uzbekugol,Ministry of Finance of Uzbekistan (100.0%),Ministry of Finance of Uzbekistan (100.0%),1948,Angren Coal Mine,Asia,not started,operating,operating,operating
Anjialing Open-Pit Mine,China,1.04461104,Coal,M0165,https://www.gem.wiki/Anjialing_open-pit_mine,39.449488,112.360569,GEM,China Coal Pingshuo Group,China Coal (57.0%);HKSCC Nominees Limited (30.0%);Others (13.0%),China Coal Xinji Energy Co Ltd (57.0%);HKSCC Nominees Limited (30.0%);Others (13.0%),2006,Anjialing Open-Pit Mine,Asia,operating,operating,operating,operating
Antaibao Surface Mine,China,1.19837388,Coal,M0166,https://www.gem.wiki/Antaibao_open-pit_mine,39.474754,112.311939,GEM,China Coal Pingshuo Group,China Coal (57.0%);HKSCC Nominees Limited (30.0%);Others (13.0%),China Coal Xinji Energy Co Ltd (57.0%);HKSCC Nominees Limited (30.0%);Others (13.0%),1987,Antaibao Surface Mine,Asia,operating,operating,operating,operating
Arctic LNG 2 T1-3,Russia,1.475579089,Oil&Gas,No informations available on GEM,No informations available on GEM,69.7,65.0,Manual,None,No informations on company (100.0%),No informations on company (100.0%),No start year available,None,Europe,not started,None,not started,not started
Area 1 LNG (T1&T2),Mozambique,1.006654597,Oil&Gas,OG0017497,https://www.gem.wiki/Area_4_Gas_Block_(Mozambique),-10.9158,41.1154,GEM,Mozambique Rovuma Venture,No informations on company (100.0%),Mozambique Rovuma Venture (100.0%),No start year available,Area 4,Africa,not started,operating,operating,operating
Area-1 Future Phases,Mozambique,1.022724356,Oil&Gas,OG0017496,https://www.gem.wiki/Area_1_Gas_Block_(Mozambique),-10.9704,40.8465,GEM,TotalEnergies,No informations on company (100.0%),TotalEnergies SE (100.0%),2023 (expected),Area 1,Africa,not started,in development,in development,not started
Arshanovsky Coal Mine,Russia,1.708476,Coal,M0771,https://www.gem.wiki/Arshanovsky_coal_mine,53.398991,91.095886,GEM,Razrez Arshanovsky,Rutek Alliance (100.0%),Rutek Alliance (100.0%),2015,Arshanovsky Coal Mine,Europe,operating,operating,operating,operating
Asab,United Arab Emirates,1.373231334,Oil&Gas,OG0012265,https://www.gem.wiki/Bu_HasaShahAsab_Oil_and_Gas_Concession_(United_Arab_Emirates),23.6139909852162,53.26762735057041,GEM,None,No informations on company (100.0%),No informations on company (100.0%),No start year available,Bu Hasa/Shah/Asab,Asia,operating,operating,operating,operating
Athabasca Oil Sands Project,Canada,1.355853264,Oil&Gas,OG0009302|OG0009619|OG0009314|OG0009322|OG0009330|OG0009627|OG0009332|OG0009628|OG0009337|OG0009365|OG0009620|OG0009409|OG0009423|OG0009425|OG0009440|OG0009456|OG0009596|OG0009626|OG0009630|OG0009622|OG0009623|OG0009532|OG0009535|OG0009537|OG0009624|OG0009616|OG0009558|OG0009563|OG0009570|OG0009625|OG0009629,"https://www.gem.wiki/Athabasca_Area_-_Scheme_10097GGG_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_10419GG_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_10423Y_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_10587S_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_10773EEE_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_10781P_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_10787R_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_10829K_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_10935AA_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_11387G_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_11475II_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_11715R_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_11888F_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_11910H_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_12218R_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_12471O_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_12572D_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_8512M_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_8535N_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_8591SSS_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_8623GGGG_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_8668FFF_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_8788P_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_8870KKKK_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_9241H_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_9404X_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_9426VV_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_9485FFF_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_9673Q_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_9752I_Oil_Sands_Project_(Alberta,_Canada)|https://www.gem.wiki/Athabasca_Area_-_Scheme_9756J_Oil_Sands_Project_(Alberta,_Canada)",55.529,-110.925,GEM,Canadian Natural Resources Limited (¹)|Husky Oil Operations Limited|Canadian Natural Resources Limited|Connacher Oil And Gas Limited|MEG Energy Corp.|Syncrude Canada Limited|Canadian Natural Resources Limited|Imperial Oil Resources Ventures Limited|Athabasca Oil Corporation|Harvest Operations Corp.|Canadian Natural Resources Limited|PetroChina Canada Ltd|Athabasca Oil Corporation|Japan Canada Oil Sands Limited|Deltastream Energy Corporation|Spur Petroleum Ltd|Cenovus Energy Inc.|Canadian Natural Upgrading Limited|Suncor Energy Inc.|Cenovus Energy Inc.|Cenovus Energy Inc.|Suncor Energy Inc.|Greenfire Hangingstone Operating Corporation|Suncor Energy Inc.|Fort Hills Energy Corporation|Canadian Natural Resources Limited|ConocoPhillips Canada Resources Corp.|CNOOC Petroleum North America ULC|Canadian Natural Resources Limited|Canadian Natural Resources Limited|Canadian Natural Upgrading Limited,None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|Suncor (58.7%);Imperial Oil Resources Limited (25.0%);Sinopec Oil Sands Partnership (9.0%);CNOOC Oil Sands Canada (7.2%);Others (0.09999999999999432%)|None (100.0%)|ExxonMobil Corporation (78.4%);Others (21.599999999999994%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|Canadian Natural Resources Limited (70.0%);Chevron Corporation (20.0%);Shell plc (10.0%)|Suncor Energy Inc. (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|Suncor Energy Inc. (54.1%);TotalEnergies (24.6%);Teck Resources (21.3%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|Canadian Natural Resources Limited (100.0%)|Canadian Natural Resources Limited (70.0%);Chevron Corporation (20.0%);Shell plc (10.0%),None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|Suncor Energy Inc (58.7%);Imperial Oil Resources Limited (25.0%);China Petrochemical Corporation (Sinopec Group) (9.0%);China National Offshore Oil Corp (CNOOC) (7.2%);Others (0.09999999999999432%)|None (100.0%)|Exxon Mobil Corp (78.4%);Others (21.599999999999994%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|Canadian Natural Resources Ltd (CNRL) (70.0%);Chevron Corp (20.0%);Shell PLC (10.0%)|Suncor Energy Inc (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|Suncor Energy Inc (54.1%);TotalEnergies SE (24.6%);Teck Resources Ltd (21.3%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|Canadian Natural Resources Ltd (CNRL) (100.0%)|Canadian Natural Resources Ltd (CNRL) (70.0%);Chevron Corp (20.0%);Shell PLC (10.0%),No start year available,Athabasca Area - Scheme 10097GGG Oil Sands|Athabasca Area - Scheme 10419GG Oil Sands|Athabasca Area - Scheme 10423Y Oil Sands|Athabasca Area - Scheme 10587S Oil Sands|Athabasca Area - Scheme 10773EEE Oil Sands|Athabasca Area - Scheme 10781P Oil Sands|Athabasca Area - Scheme 10787R Oil Sands|Athabasca Area - Scheme 10829K Oil Sands|Athabasca Area - Scheme 10935AA Oil Sands|Athabasca Area - Scheme 11387G Oil Sands|Athabasca Area - Scheme 11475II Oil Sands|Athabasca Area - Scheme 11715R Oil Sands|Athabasca Area - Scheme 11888F Oil Sands|Athabasca Area - Scheme 11910H Oil Sands|Athabasca Area - Scheme 12218R Oil Sands|Athabasca Area - Scheme 12471O Oil Sands|Athabasca Area - Scheme 12572D Oil Sands|Athabasca Area - Scheme 8512M Oil Sands|Athabasca Area - Scheme 8535N Oil Sands|Athabasca Area - Scheme 8591SSS Oil Sands|Athabasca Area - Scheme 8623GGGG Oil Sands|Athabasca Area - Scheme 8668FFF Oil Sands|Athabasca Area - Scheme 8788P Oil Sands|Athabasca Area - Scheme 8870KKKK Oil Sands|Athabasca Area - Scheme 9241H Oil Sands|Athabasca Area - Scheme 9404X Oil Sands|Athabasca Area - Scheme 9426VV Oil Sands|Athabasca Area - Scheme 9485FFF Oil Sands|Athabasca Area - Scheme 9673Q Oil Sands|Athabasca Area - Scheme 9752I Oil Sands|Athabasca Area - Scheme 9756J Oil Sands,North America,operating,operating,operating,operating
Austin Chalk Tight,United States,1.392828065,Oil&Gas,OG0014359|OG0016845|OG0016848|OG0015058|OG0016565|OG0014254|OG0015651|OG0016059|OG0015141|OG0014980|OG0016272|OG0014712|OG0016846|OG0014713|OG0016485|OG0014710|OG0014781|OG0014357|OG0014918|OG0015130|OG0015261|OG0015628|OG0015740,"https://www.gem.wiki/A.W.P._(Olmos)_-_Blackbrush_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Brookeland_(Austin_Chalk,_8800)_-_Zarvona_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Double_A_Wells,_N_(Austin_Chalk)_-_Zarvona_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Fort_Trinidad,_East_(Buda)_-_EOG_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Giddings_(Austin_Chalk,_Gas)_-_Verdun_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Hopewell_(Wilcox_4700)_-_Apache_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Sugarkane_(Austin_Chalk)_-_Marathon_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Sugarkane_(Austin_Chalk)_-_Repsol_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Tres_Encanto_(Escondido)_-_Escondido_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Lorenzo_(Austin_Chalk)_-_El_Toro_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Lorenzo_(Austin_Chalk)_-_SM_Energy_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Madisonville,_W._(Woodbine_A)_-_CML_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Magnolia_Springs_(Austin_Chalk)_-_Zarvona_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Pearsall_(Austin_Chalk)_-_CML_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Pearsall_(Austin_Chalk)_-_Trinity_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Pena_Creek_(Georgetown)_-_CML_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Sacatosa_(San_Miguel_#1_Sand)_-_ConocoPhillips_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Sugarkane_(Austin_Chalk)_-_Blackbrush_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Sugarkane_(Austin_Chalk)_-_Devon_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Sugarkane_(Austin_Chalk)_-_Equinor_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Sugarkane_(Austin_Chalk)_-_Gulftex_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Sugarkane_(Austin_Chalk)_-_Magnolia_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Sugarkane_(Austin_Chalk)_-_Murphy_Oil_and_Gas_Asset_(Texas,_United_States)",28.30015217,-98.7787202,GEM,Blackbrush|Zarvona Energy|Zarvona Energy|EOG Resources|Verdun Oil & Gas|Apache Co.|Marathon Oil Company|Repsol Oil & Gas|Escondido Resources|El Toro Resources|SM Energy Company|CML Exploration|Zarvona Energy|CML Exploration|Trinity Operating (USG)|CML Exploration|ConocoPhillips|Blackbrush|Devon Energy|Equinor Energy|Gulftex Energy|Magnolia Oil & Gas Operating|Murphy E&P. Company,None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%),Blackbrush (100.0%)|Zarvona Energy (100.0%)|Zarvona Energy (100.0%)|EOG Resources Inc (100.0%)|Verdun Oil & Gas (100.0%)|Apache Co. (100.0%)|Marathon Oil Corp (100.0%)|Repsol SA (100.0%)|Escondido Resources (100.0%)|El Toro Resources (100.0%)|SM Energy Co (100.0%)|CML Exploration (100.0%)|Zarvona Energy (100.0%)|CML Exploration (100.0%)|Trinity Operating (USG) (100.0%)|CML Exploration (100.0%)|ConocoPhillips (100.0%)|Blackbrush (100.0%)|Devon Energy Corp (100.0%)|Equinor ASA (100.0%)|Gulftex Energy (100.0%)|Magnolia Oil & Gas Operating (100.0%)|Murphy E&P. Company (100.0%),No start year available,"A.W.P. (Olmos) - Blackbrush|Brookeland (Austin Chalk, 8800) - Zarvona|Double A Wells, N (Austin Chalk) - Zarvona|Fort Trinidad, East (Buda) - EOG|Giddings (Austin Chalk, Gas) - Verdun|Hopewell (Wilcox 4700) - Apache|Sugarkane (Austin Chalk) - Marathon|Sugarkane (Austin Chalk) - Repsol|Tres Encanto (Escondido) - Escondido|Lorenzo (Austin Chalk) - El Toro|Lorenzo (Austin Chalk) - SM Energy|Madisonville, W. (Woodbine A) - CML|Magnolia Springs (Austin Chalk) - Zarvona|Pearsall (Austin Chalk) - CML|Pearsall (Austin Chalk) - Trinity|Pena Creek (Georgetown) - CML|Sacatosa (San Miguel #1 Sand) - ConocoPhillips|Sugarkane (Austin Chalk) - Blackbrush|Sugarkane (Austin Chalk) - Devon|Sugarkane (Austin Chalk) - Equinor|Sugarkane (Austin Chalk) - Gulftex|Sugarkane (Austin Chalk) - Magnolia|Sugarkane (Austin Chalk) - Murphy",North America,operating,operating,operating,operating
Azadegan,Iran,2.278016459,Oil&Gas,OG0012170,https://www.gem.wiki/Azadegan_North_Oil_Field_(Iran),31.1613,47.7945,GEM,Arvandan Oil and Gas Company,China National Petroleum Corporation (100.0%),China National Petroleum Corporation (CNPC) (100.0%),2016,Azadegan North,Asia,operating,operating,operating,operating
BIB Coal Mine,Indonesia,1.07342739,Coal,M0661,https://www.gem.wiki/Boneo_Indobara_coal_mine,-3.700239,115.559833,GEM,Boneo Indobara,Golden Energy Mines (100.0%),Golden Energy Mines (100.0%),2006,Boneo Indobara Coal Mine,Asia,operating,operating,operating,operating
Ba Leng Coal Mine,China,1.071360893,Coal,M0167,https://www.gem.wiki/Ba_Leng_coal_mine,38.474786,106.668299,GEM,Etuoke Qianqi Hengyuan Investment Industrial Company,Jinneng Group (100.0%),Jinneng Holding Group Co Ltd (100.0%),No start year available,Ba Leng Coal Mine,Asia,not started,proposed,proposed,not started
Bab,United Arab Emirates,4.197033055,Oil&Gas,No informations available on GEM,No informations available on GEM,24.7,54.8,Manual,None,No informations on company (100.0%),No informations on company (100.0%),No start year available,None,Asia,operating,None,operating,operating
Bab (Gasco),United Arab Emirates,1.674389775,Oil&Gas,No informations available on GEM,No informations available on GEM,24.000249,53.9994829,Manual,None,No informations on company (100.0%),No informations on company (100.0%),No start year available,None,Asia,operating,None,operating,operating
Baghdad East,Iraq,2.742460925,Oil&Gas,OG0011974,https://www.gem.wiki/East_Baghdad_Oil_Field_(Iraq),33.382,44.521,GEM,ZhenHua Oil Company,China ZhenHua Oil Co. (100.0%),China ZhenHua Oil Co Ltd (100.0%),No start year available,East Baghdad,Asia,operating,in development,in development,not started
Baijia Haizi Coal Mine,China,4.961658372,Coal,M0168,https://www.gem.wiki/Baijia_Haizi_coal_mine,38.356604,108.950826,GEM,Inner Mongolia Ordos Lianhai Coal Industry Company,Inner Mongolia Huineng Coal and Electricity Group (60.0%);Inner Mongolia Ordos Investment Holding Group (38.0%);Bayannaoer Zhuoyue Building Materials Company (1.0%);Others (1.0%),Inner Mongolia Huineng Coal and Electricity Group (60.0%);Inner Mongolia Ordos Investment Holding Group (38.0%);Bayannaoer Zhuoyue Building Materials Company (1.0%);Others (1.0%),No start year available,Baijia Haizi Coal Mine,Asia,not started,proposed,proposed,not started
Baishihu Surface Mine,China,1.2935604,Coal,M0170,https://www.gem.wiki/Baishihu_Surface_Mine,43.917059,94.670358,GEM,Yiwu Gunaghui Mining Company,Guanghui Energy Holding Company (94.0%);Xinjiang Guanghui Industry Investment Group (5.0%);Xinjiang Production and Construction Corps (1.0%),Guanghui Energy Holding Company (94.0%);Xin Jiang Guang Hui Industry Investment Group Co Ltd (5.0%);Xinjiang Production and Construction Corps (1.0%),2017,Baishihu Surface Mine,Asia,operating,operating,operating,operating
Baiyanghe Coal Mine,China,1.23986544,Coal,M0172,https://www.gem.wiki/Baiyanghe_coal_mine,44.048539,88.529268,GEM,Xinjiang Mingji Energy Company,Shandong Lutai Holding Group (75.0%);Ming Kei Energy Investment Company (25.0%),Shandong Lutai Holding Group (75.0%);Ming Kei Energy Investment Company (25.0%),No start year available,Baiyanghe Coal Mine,Asia,not started,proposed,proposed,not started
Baiyinhua No.3 Surface Mine,China,1.5792966,Coal,M0176,https://www.gem.wiki/Baiyinhua_No.3_Surface_Mine,44.897826,118.615908,GEM,Inner Mongolia Baiyinhua Mengdong Surface Coal Industry Company,State Power Investment Corporation (SPIC) (43.0%);Huolinhe Coal Industry Group (23.0%);Industrial and Commercial Bank of China (33.0%);Others (1.0%),State Power Investment Corp (SPIC) (43.0%);Huolinhe Coal Industry Group (23.0%);Industrial and Commercial Bank of China (33.0%);Others (1.0%),2007,Baiyinhua No.3 Surface Mine,Asia,operating,operating,operating,operating
