name,country,potential_gtco2,fuel_type,id,gem_source,latitude,longitude,source_for_lat_long,operators,parent_company,companies,start_year,multiple_unit,world_region,status_cb,status_gem,status_lvl_1,status_lvl_2
Shaybah,Saudi Arabia,4.268589672,Oil&Gas,OG0014115,https://www.gem.wiki/Shaybah_Oil_and_Gas_Field_(Saudi_Arabia),21.7237,53.6572,GEM,Saudi Aramco,No informations on company (100.0%),Saudi Arabian Oil Company (Saudi Aramco) (100.0%),1998,Shaybah,Asia,operating,operating,operating,operating
Shengli,China,1.50578136,Oil&Gas,OG0010833,https://www.gem.wiki/Shengli_Oil_Complex_(China),37.1771,118.4754,GEM,Shengli Oil Field Company,Sinopec Group (100.0%),China Petrochemical Corporation (Sinopec Group) (100.0%),1961,Shengli,Asia,operating,operating,operating,operating
Shengli East No.2 Coal Mine,China,4.5936618,Coal,M0336,https://www.gem.wiki/Shengli_East_No.2_open-pit_mine,44.06697,116.22348,GEM,Inner Mongolia Datang International Xilinhaote Mining Company,China Datang (35.34%);HKSCC Nominees Limited (32.9%);Tianjin Energy Investment Group (7.0%);Hebei Construction & Investment Group (6.93%);Beijing Energy Group (6.81%);Others (7.749999999999986%),China Datang Corp (35.34%);HKSCC Nominees Limited (32.9%);Tianjin Energy Investment Co Ltd (7.0%);Hebei Construction & Investment Group Co Ltd (6.93%);Beijing Energy Holding Co Ltd (6.81%);Others (7.749999999999986%),2010,Shengli East No.2 Coal Mine,Asia,operating,operating,operating,operating
Shengli No.1 Open-Pit Coal Mine,China,1.6129498,Coal,M0337,https://www.gem.wiki/Shengli_No.1_open-pit_mine,44.002945,116.00678,GEM,China Energy Beidian Shengli Energy,China Energy (46.0%);China Huaneng (26.0%);Others (28.0%),China Energy Investment Corp Ltd (46.0%);China Huaneng Group Co Ltd (26.0%);Others (28.0%),2013,Shengli No.1 Open-Pit Coal Mine,Asia,not started,operating,operating,operating
Shenhua Baorixile Surface Coal Mine,China,1.5660757,Coal,M0339,https://www.gem.wiki/Shenhua_Baorixile_Surface_Mine,49.391925,119.746017,GEM,China Energy Baorixile Energy Company,China Energy (39.0%);Guangda Holding Company (17.0%);China National Petroleum Corporation (9.0%);Changchun Jijun Trade Company (2.0%);Others (33.0%),China Energy Investment Corp Ltd (39.0%);Guangda Holding Company (17.0%);China National Petroleum Corporation (CNPC) (9.0%);Changchun Jijun Trade Company (2.0%);Others (33.0%),2009,Shenhua Baorixile Surface Coal Mine,Asia,operating,operating,operating,operating
Shenhua Bulianta Coal Mine,China,2.22313896,Coal,M0340,https://www.gem.wiki/Shenhua_Bulianta_Coal_Mine,39.354814,110.168084,GEM,China Shenhua Energy,China Energy (69.0%);HKSCC Nominees Limited (17.0%);Others (14.0%),China Energy Investment Corp Ltd (69.0%);HKSCC Nominees Limited (17.0%);Others (14.0%),2010,Shenhua Bulianta Coal Mine,Asia,operating,operating,operating,operating
Shenhua Heidaigou Surface Coal Mine,China,2.72080242,Coal,M0341,https://www.gem.wiki/Shenhua_Heidaigou_Surface_Mine,39.794309,111.254573,GEM,Shenhua Junggar Energy,China Energy (40.0%);China Cinda Asset Management Company (42.0%);Others (18.0%),China Energy Investment Corp Ltd (40.0%);China Cinda Asset Management (42.0%);Others (18.0%),1999,Shenhua Heidaigou Surface Coal Mine,Asia,operating,operating,operating,operating
Shicaocun Coal Mine,China,1.456378163,Coal,M0342,https://www.gem.wiki/Shicaocun_mine,37.943405,106.696881,GEM,China Energy Ningxia Coal Industry Company,China Energy (51.0%);Ningxia State-Owned Assets Company (49.0%),China Energy Investment Corp Ltd (51.0%);Ningxia State-Owned Assets Company (49.0%),2020,Shicaocun Coal Mine,Asia,operating,operating,operating,operating
Shigetai Coal Mine,China,1.19330253,Coal,M0343,https://www.gem.wiki/Shigetai_Coal_Mine,39.412064,110.13213,GEM,China Shenhua Energy,China Energy (69.0%);HKSCC Nominees Limited (17.0%);Others (14.0%),China Energy Investment Corp Ltd (69.0%);HKSCC Nominees Limited (17.0%);Others (14.0%),2006,Shigetai Coal Mine,Asia,operating,operating,operating,operating
Shilawusu Coal Mine,China,3.884098152,Coal,M0344,https://www.gem.wiki/Shilawusu_mine,39.018006,109.621986,GEM,Inner Mongolia Haosheng Coal Industry Company,Shandong Energy (77.0%);Shanghai Huayi Group (19.0%);Jiutai Energy (2.0%);Jinchengtai Limited Liability Company Of Chemical Industry of Ordos City (1.0%);Others (1.0%),Shandong Energy Co Ltd (77.0%);Shanghai Huayi Group (19.0%);Jiutai Energy (2.0%);Jinchengtai Limited Liability Company Of Chemical Industry of Ordos City (1.0%);Others (1.0%),2021,Shilawusu Coal Mine,Asia,not started,operating,operating,operating
