name,country,potential_gtco2,fuel_type,id,gem_source,latitude,longitude,source_for_lat_long,operators,parent_company,companies,start_year,multiple_unit,world_region,status_cb,status_gem,status_lvl_1,status_lvl_2
ACG (Azeri-Chirag-Guneshli Deep Water),Azerbaijan,1.660265695,Oil&Gas,OG0012912,https://www.gem.wiki/Azeri-Chirag-Guneshli_(ACG)_Deepwater_Oil_and_Gas_Complex_(Azerbaijan),40.21967,51.09767,GEM,Azerbaijan International Operating Company (AIOC),Azerbaijan (OCC) Limited (11.6%);BP P.L.C. (35.8%);Equinor ASA (8.6%);INPEX Corporation (11.0%);Others (33.0%),Azerbaijan (OCC) Limited (11.6%);BP P.L.C. (35.8%);Equinor ASA (8.6%);INPEX Corporation (11.0%);Others (33.0%),No start year available,None,Asia,operating,operating,operating,operating
Abqaiq,Saudi Arabia,1.59282777,Oil&Gas,OG0014119,https://www.gem.wiki/Abqaiq_Oil_Field_(Saudi_Arabia),26.1687,49.7841,GEM,Saudi Aramco,No informations on company (100.0%),Saudi Aramco (100.0%),1946,None,Asia,operating,operating,operating,operating
Afşin-Elbistan Coal Mine,Türkiye,4.08646,Coal,M0955,https://www.gem.wiki/Afşin-Elbistan_coal_mines,38.340685,37.082979,GEM,Afşin- Elbistan Elektrik Üretim ve Ticaret A.Ş,"Euas Electricity Generation Company (Elektrik Üretim A.Ş, EÜAŞ) (100.0%)","Euas Electricity Generation Company (Elektrik Üretim A.Ş, EÜAŞ) (100.0%)",1984,None,Asia,operating,operating,operating,operating
Agha Jari,Iran,1.563110231,Oil&Gas,OG0012187,https://www.gem.wiki/Aghajari_Oil_Field_(Iran),30.8312,49.7596,GEM,National Iranian South Oil Company,National Iranian Oil Company (100.0%),National Iranian Oil Company (100.0%),1939,None,Asia,operating,operating,operating,operating
Ahwaz Asmari,Iran,2.238284406,Oil&Gas,OG0012129,https://www.gem.wiki/Ahvaz-Asmari_Oil_Field_(Iran),31.3946737509152,48.74713671009528,GEM,Karun Oil and Gas Production Company,National Iranian Oil Company (100.0%),National Iranian Oil Company (100.0%),1954,None,Asia,operating,operating,operating,operating
Ahwaz Bangestan,Iran,1.433911709,Oil&Gas,OG0012143,https://www.gem.wiki/Ahvaz-Bangestan_Oil_Field_(Iran),31.257530391684178,48.75526913966645,GEM,Karun Oil and Gas Production Company,National Iranian Oil Company (100.0%),National Iranian Oil Company (100.0%),1954,None,Asia,operating,operating,operating,operating
Al Khaleej Gas project,Qatar,1.135307349,Oil&Gas,OG0012459,https://www.gem.wiki/Al_Khalij_Oil_and_Gas_Field_(Qatar),25.92298,52.69973,GEM,TotalEnergies E&P-Qatar,TotalEnergies (40.0%);QatarEnergy (60.0%),TotalEnergies (40.0%);QatarEnergy (60.0%),1997,None,Asia,operating,operating,operating,operating
Alpha North Coal Mine,Australia,2.542806,Coal,M2491,https://www.gem.wiki/Alpha_West_coal_project,-23.115171,146.332751,GEM,GVK Hancock,GVK Group (100.0%),GVK Group (100.0%),No start year available,None,Oceania,not started,cancelled,cancelled,stopped
Anadarko Shelf_Oklahoma,United States,1.817826072,Oil&Gas,OG0014193|OG0014194|OG0014195|OG0014196|OG0014197|OG0014198|OG0014199|OG0014200|OG0014201|OG0014202|OG0014203|OG0014204,"https://www.gem.wiki/Phantom_(Wolfcamp)_-_Anadarko_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Sandbar_(Bone_Spring)_-_Anadarko_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/Haley_(Lwr._Wolfcamp-Penn_Cons.)_-_Anadarko_Oil_and_Gas_Asset_(Texas,_United_States)|https://www.gem.wiki/TahitiCaeTong_(GC640)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States)|https://www.gem.wiki/King_Horn_Mt._(MC084)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States)|https://www.gem.wiki/Lucius_(KC875)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States)|https://www.gem.wiki/K2_(GC562)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States)|https://www.gem.wiki/Holstein_(GC644)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States)|https://www.gem.wiki/Hopkins_(GC627)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States)|https://www.gem.wiki/Heidelberg_(GC859)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States)|https://www.gem.wiki/Marlin_(VK915)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States)|https://www.gem.wiki/Friesian_(GC599)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States)",31.7366506,-103.5942519,GEM,Anadarko|Anadarko|Anadarko|Anadarko|Anadarko|Anadarko|Anadarko|Anadarko|Anadarko|Anadarko|Anadarko|Anadarko,None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%)|None (100.0%),Anadarko (100.0%)|Anadarko (100.0%)|Anadarko (100.0%)|Anadarko (100.0%)|Anadarko (100.0%)|Anadarko (100.0%)|Anadarko (100.0%)|Anadarko (100.0%)|Anadarko (100.0%)|Anadarko (100.0%)|Anadarko (100.0%)|Anadarko (100.0%),No start year available,Phantom (Wolfcamp) - Anadarko|Sandbar (Bone Spring) - Anadarko|Haley (Lwr. Wolfcamp-Penn Cons.) - Anadarko|Tahiti/Cae/Tong (GC640) - Anadarko|King/Horn Mt. (MC084) - Anadarko|Lucius (KC875) - Anadarko|K2 (GC562) - Anadarko|Holstein (GC644) - Anadarko|Hopkins (GC627) - Anadarko|Heidelberg (GC859) - Anadarko|Marlin (VK915) - Anadarko|Friesian (GC599) - Anadarko,North America,operating,operating,operating,operating
Angren Coal Mine,Uzbekistan,2.4038,Coal,M1083,https://www.gem.wiki/Angren_coal_mine,41.036101,70.180128,GEM,Uzbekugol,Ministry of Finance of Uzbekistan (100.0%),Ministry of Finance of Uzbekistan (100.0%),No start year available,None,Asia,not started,operating,operating,operating
