Bank,Country
ANZ,Australia
Agricultural Bank of China,China
BBVA,Spain
BNP Paribas,France
Santander,Spain
Bank of America,United States
Bank of China,China
Bank of Communications,China
Bank of Montreal,Canada
Barclays,United Kingdom
CaixaBank,Spain
CIBC,Canada
China CITIC Bank,China
China Construction Bank,China
China Everbright Bank,China
China Merchants Bank,China
China Minsheng Bank,China
Citi,United States
Commerzbank,Germany
Commonwealth Bank,Australia
Credit Suisse,Switzerland
Crédit Agricole,France
DZ Bank,Germany
Deutsche Bank,Germany
Goldman Sachs,United States
HSBC,United Kingdom
ING,Netherlands
Industrial Bank,China
ICBC,China
Intesa Sanpaolo,Italy
JPMorgan Chase,United States
KB Financial,South Korea
Lloyds,United Kingdom
MUFG,Japan
Mizuho,Japan
Morgan Stanley,United States
NatWest,United Kingdom
NAB,Australia
BPCE/Natixis,France
Nordea Bank,Finland
PNC,United States
Ping An Insurance Group,China
Postal Savings Bank of China,China
Rabobank,Netherlands
RBC,Canada
Scotiabank,Canada
Shanghai Pudong Development Bank,China
Société Générale,France
Standard Chartered,United Kingdom
State Bank of India,India
SMBC Group,Japan
TD,Canada
US Bancorp,United States
UBS,Switzerland
UniCredit,Italy
Wells Fargo,United States
Westpac,Australia
