name,website,headquarters_country,headquarters_address,ceo_name,board,supervisor,supervisor_website,shareholder_source,source,latitude,longitude,world_region,url_logo
China Everbright Bank,http://www.cebbank.com,China,"China Everbright Center, 25 Taipingqiao Avenue,Xicheng District, Beijing",Wang Jiang,http://www.cebbank.com/site/ceb_homepage33/investor_relations3/corporate_governance8/board_of_directors60/index.html,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,https://www.marketscreener.com/quote/stock/CHINA-EVERBRIGHT-BANK-COM-6588153/company/,https://www.banktrack.org/bank/china_everbright_bank,39.91756600000001,116.36433,Asia,https://www.banktrack.org/thumbimage.php?image=logo_21.jpg&amp
China Merchants Bank,http://english.cmbchina.com/,China,"China Merchants Bank Tower, No 7088, Shennan Boulevard,518040 Shenzhen",Miao Jianmin,http://english.cmbchina.com/CmbInfo/About/DetailInfo.aspx?guid=9f94ec0e-c264-496d-81d4-e39543da6f3e,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,https://www.marketscreener.com/quote/stock/CHINA-MERCHANTS-BANK-CO--6495751/company/,https://www.banktrack.org/bank/china_merchants_bank,22.5367764,114.0225421,Asia,https://www.banktrack.org/thumbimage.php?image=210118_logocmb_2_crop.png&amp
China Minsheng Bank,http://en.cmbc.com.cn/,China,"2 Fuxingmen Nei Street, Xicheng District,100031 Beijing",Zheng Wanchun,http://en.cmbc.com.cn/CMBCToday/AboutCMBC/ManagementTeam/index.htm,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,https://www.marketscreener.com/quote/stock/CHINA-MINSHENG-BANKING-CO-6493874/company/,https://www.banktrack.org/bank/china_minsheng_bank,39.90713,116.3724,Asia,https://www.banktrack.org/thumbimage.php?image=210119_logochinaminshengbank_crop.png&amp
Citi,http://www.citigroup.com,United States,"388 Greenwich Street,10013 New York",Jane Fraser,https://www.citigroup.com/citi/about/leaders/jane-fraser-bio.html,Federal Reserve,http://www.federalreserve.gov/,https://money.cnn.com/quote/shareholders/shareholders.html?symb=C&subView=institutional,https://www.banktrack.org/bank/citi,40.72067819999999,-74.0111516,North America,https://www.banktrack.org/thumbimage.php?image=291476910_5160382317360617_1465398894783742317_n_crop.jpg&amp
Commerzbank,https://www.commerzbank.com/,Germany,"Kaiserplatz,60261 Frankfurt am Main",Manfred Knof,https://www.commerzbank.com/en/hauptnavigation/konzern/management_1/vorstand/index.html,Bundesbank,http://www.bundesbank.de/,https://www.commerzbank.com/en/hauptnavigation/aktionaere/aktie/aktionaersstruktur/aktionaere.html,https://www.banktrack.org/bank/commerzbank,50.1109221,8.6821267,Europe,https://www.banktrack.org/thumbimage.php?image=commerzbank_logo_crop.png&amp
Commonwealth Bank,http://www.commbank.com.au,Australia,"11 Harbour Street,NSW 2000 Sydney",Matt Comyn,https://www.commbank.com.au/about-us/our-company/management/matt-comyn.html,Reserve Bank of Australia,http://www.rba.gov.au/,https://money.cnn.com/quote/shareholders/shareholders.html?symb=CMWAY&subView=institutional,https://www.banktrack.org/bank/commonwealth_bank,-33.8750672,151.2029098,Oceania,https://www.banktrack.org/thumbimage.php?image=commonwealthbanklogo_crop.jpg&amp
Credit Suisse,http://www.credit-suisse.com,Switzerland,"Paradeplatz 8,8070 Zurich",Ulrich Körner,https://www.credit-suisse.com/about-us/en/our-company/our-management/executive-board.html,FINMA,http://www.finma.ch/e/pages/default.aspx,https://www.marketscreener.com/quote/stock/CREDIT-SUISSE-GROUP-AG-9364979/company/,https://www.banktrack.org/bank/credit_suisse,47.3699337,8.538648199999999,Europe,https://www.banktrack.org/thumbimage.php?image=credit_suisse_logo_svg_crop.png&amp
Crédit Agricole,http://www.credit-agricole.com/en,France,"114, avenue de la République,92120 Montrouge",Philippe Brassac,https://www.credit-agricole.com/en/group/governance,Banque de France,http://www.banque-france.fr/,None,https://www.banktrack.org/bank/credit_agricole,48.8138775,2.3163947,Europe,https://www.banktrack.org/thumbimage.php?image=creditagricolelogo_2017_1.jpg&amp
DZ Bank,http://www.dzbank.com/,Germany,"Platz der Republik,60265 Frankfurt am Main Hessen",Uwe Fröhlich and Cornelius Riese,https://www.dzbank.com/content/dzbank/en/home/dz-bank/profile/corporate-management/board-of-managingdirectors.html,Federal Financial Supervisory Authority (BaFin),http://www.bafin.de,https://www.dzbank.com/content/dzbank/en/home/dz-bank/profile.html,https://www.banktrack.org/bank/dz_bank,50.1097299,8.6605531,Europe,https://www.banktrack.org/thumbimage.php?image=logo_6.png&amp
Danske Bank,http://www.danskebank.com,Denmark,"Holmens Kanal 2-12,1092 Copenhagen",Carsten Egeriis,https://danskebank.com/about-us/management,Danish FSA,http://www.finanstilsynet.dk/en.aspx,https://www.marketscreener.com/quote/stock/DANSKE-BANK-A-S-1412871/company/,https://www.banktrack.org/bank/danske_bank,55.6780883,12.5854902,Europe,https://www.banktrack.org/thumbimage.php?image=Danske Bank_logo.jpg&amp
