name,website,headquarters_country,headquarters_address,ceo_name,board,supervisor,supervisor_website,shareholder_source,source,latitude,longitude,world_region,url_logo
Rabobank,http://www.rabobank.nl,Netherlands,"Croeselaan 18,3521 CB Utrecht",Stefaan Decraene,https://www.rabobank.nl/over-ons/organisatie/onze-mensen/groepsdirectie/stefaan-decraene,De Nederlandsche Bank,http://www.dnb.nl,https://www.rabobank.com/nl/about-rabobank/cooperative/in-practice/index.html,https://www.banktrack.org/bank/rabobank,52.0864215,5.1092184,Europe,https://www.banktrack.org/thumbimage.php?image=rabobanklogo_crop.jpg&amp
SMBC Group,http://www.smbc.co.jp/global/index.html,Japan,"1-1-2, Marunouchi, Chiyoda-ku,100-0005 Tokyo",Makoto Takashima,https://www.smbc.co.jp/global/aboutus/profile/officers_02.html,Bank of Japan,http://www.boj.or.jp/en/,https://www.smfg.co.jp/english/investor/stock/capital_shares.html,https://www.banktrack.org/bank/sumitomo_mitsui_banking_corporation,35.68509299999999,139.7623949,Asia,https://www.banktrack.org/thumbimage.php?image=logo_sumitomo_0.jpg&amp
Santander,http://www.santander.com,Spain,"Santander Group City. Avda. de Cantabria s/n,28660 Boadilla del Monte, Madrid",Héctor Grisi,https://www.santander.com/en/shareholders-and-investors/corporate-governance/board-of-directors/mr-hector-grisi,Banco de España,http://www.bde.es/homee.htm,https://www.marketscreener.com/BANCO-SANTANDER-69308/company/,https://www.banktrack.org/bank/santander,40.3929411,-3.8571184,Europe,https://www.banktrack.org/thumbimage.php?image=download_1_crop.png&amp
Scotiabank,http://www.scotiabank.com,Canada,"44 King St. W.,M5H 1H1 Toronto",Brian J. Porter,"http://www.scotiabank.com/ca/en/0,,532,00.html",Superintendent of Financial Institutions (OSFI),http://www.osfi-bsif.gc.ca/,https://www.marketscreener.com/BANK-OF-NOVA-SCOTIA-1409234/company/,https://www.banktrack.org/bank/scotiabank,43.6488253,-79.37999959999999,North America,https://www.banktrack.org/thumbimage.php?image=scotiabank_logo_crop.jpg&amp
Shanghai Pudong Development Bank,http://www.spdb.com.cn,China,"NO.12 Zhongshan Dong Yi Road,200002 Shanghai",Wei Dong Pan,https://www.bloomberg.com/profile/person/16423667,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,https://www.marketscreener.com/quote/stock/SHANGHAI-PUDONG-DEVELOPME-6495772/company/,https://www.banktrack.org/bank/shanghai_pudong_development_bank,31.230416,121.473701,Asia,https://www.banktrack.org/thumbimage.php?image=Shanghai Pudong Development Bank.JPG&amp
Société Générale,http://www.societegenerale.com/,France,"29, boulevard Haussmann,75009 Paris",Frédéric Oudéa,https://www.societegenerale.com/en/societe-generale-group/governance/board-of-directors,Banque de France,http://www.banque-france.fr/,https://www.societegenerale.com/en/measuring-our-performance/information-and-publications/share-capital,https://www.banktrack.org/bank/societe_generale,48.8728288,2.3323932,Europe,https://www.banktrack.org/thumbimage.php?image=societe-generale-logo new.jpg&amp
Standard Chartered,http://www.standardchartered.com,United Kingdom,"1 Basinghall Avenue,EC2V 5DD London",Bill Winters,https://www.sc.com/en/people/bill-winters/,Bank of England,http://www.bankofengland.co.uk/,https://www.marketscreener.com/STANDARD-CHARTERED-4003394/company/,https://www.banktrack.org/bank/standard_chartered,51.5162078,-0.0903527,Europe,https://www.banktrack.org/thumbimage.php?image=Standard_Chartered_logo.png&amp
State Bank of India,https://sbi.co.in/,India,"Central Office, 8th Fl., Madame Cama Road 400 021,Mumbai",Dinesh Kumar Khara,https://sbi.co.in/web/about-us/board-of-directors,None,None,https://www.marketscreener.com/quote/stock/STATE-BANK-OF-INDIA-9058834/company/,https://www.banktrack.org/bank/state_bank_of_india,27.6648274,-81.5157535,Asia,https://www.banktrack.org/thumbimage.php?image=190124_logo_state_bank_of_india_crop.png&amp
TD,http://www.td.com,Canada,"12th Floor, 55 King St. West,ON M5K 1A2 Toronto",Bharat Masrani,https://www.td.com/about-tdbfg/corporate-information/executive-profiles/masrani.jsp,Bank of Canada,http://www.bank-banque-canada.ca/en,https://money.cnn.com/quote/shareholders/shareholders.html?symb=TD&subView=institutional,https://www.banktrack.org/bank/td_bank_financial_group,43.64821500000001,-79.3807846,North America,https://www.banktrack.org/thumbimage.php?image=td-logo.jpg&amp
UBS,http://www.ubs.com,Switzerland,"Bahnhofstrasse 45,CH 8098 Zurich",Sergio P. Ermotti,https://www.ubs.com/global/en/our-firm/governance/ubs-group-ag/group-executive-board.html,FINMA,http://www.finma.ch/e/pages/default.aspx,https://money.cnn.com/quote/shareholders/shareholders.html?symb=UBS&subView=institutional,https://www.banktrack.org/bank/ubs,47.3719897,8.5382646,Europe,https://www.banktrack.org/thumbimage.php?image=ubs-logo.jpeg&amp
US Bancorp,https://www.usbank.com/index.html,United States,"800 Nicolett Mall,55402 Minneapolis",Andrew J. Cecere,https://ir.usbank.com/management/andrew-cecere,Federal Reserve,http://www.federalreserve.gov/,https://www.nasdaq.com/symbol/usb/ownership-summary,https://www.banktrack.org/bank/us_bancorp,44.9755906,-93.2738748,North America,https://www.banktrack.org/thumbimage.php?image=US_Bancorp.gif&amp
UniCredit,http://www.unicreditgroup.eu,Italy,"Plazza Gae Aulenti 3 - Tower A,20154 Milan",Andrea Orcel,https://www.unicreditgroup.eu/en/governance/management/andrea-orcel.html,None,None,https://www.marketscreener.com/quote/stock/UNICREDIT-S-P-A-33364083/company/,https://www.banktrack.org/bank/unicredit,45.4832471,9.1869064,Europe,https://www.banktrack.org/thumbimage.php?image=unicreditbank_logo_crop.jpg&amp
Wells Fargo,http://www.wellsfargo.com/,United States,"420 Montgomery Street,CA 94104 San Francisco",Charles W. Scharf,https://www.wellsfargo.com/about/corporate/governance/scharf/,Federal Reserve,http://www.federalreserve.gov/,https://money.cnn.com/quote/shareholders/shareholders.html?symb=WFC&subView=institutional,https://www.banktrack.org/bank/wells_fargo,37.7933827,-122.4026176,North America,https://www.banktrack.org/thumbimage.php?image=wells_fargo-logo.gif&amp
Westpac,None,None,None,None,None,None,None,None,https://www.banktrack.org/bank/westpac,0.0,0.0,None,https://www.banktrack.org/thumbimage.php?image=westpac_0.jpg&amp
