name,headquarters_address,latitude,longitude,carbon_bomb_connected,url_logo,country,world_region
1849 Energy,None,0.0,0.0,Barnett Shale,None,None,None
A-Property,"Moscow, Russia",55.755826,37.6173,"Elga Coal Mine,Sugodinsk-Ogodzhinsky Coal Mine",None,Russia,Europe
AGL Energy Ltd,"200 George St, Sydney NSW 2000, Australia",-33.8625031,151.2077978,Loy Yang Coal Mine,None,Australia,Oceania
Abu Dhabi National Oil Company,"Al Mamoura A Building, Mohammed Bin Zayed City, Abu Dhabi, UAE",24.3477446,54.55326600000001,"Lower Zakum,Upper Zakum",https://www.adnoc.ae/-/media/Adnoc-v2/Images/Logo/adnoc-logo-updated.ashx?la=en&hash=7E6BA2973EF7B0D87F130C52C8D2FD97,United Arab Emirates,Asia
Adani Group,"Adani House, Near Mithakhali Circle, Navrangpura, Ahmedabad, Gujarat, India",23.0332566,72.566549,Carmichael Coal Project,None,India,Asia
Adaro Energy,"Menara Karya, 23rd Floor, Jl. H.R. Rasuna Said, Block X-5, Kav. 1-2, Jakarta 12950, Indonesia",-6.222582999999999,106.7355118,Tutupan Coal Mine,view-source:https://www.adaro.com/web/assets/common/images/logo-adaro-head.png,Indonesia,Asia
Africa Energy Corp.,"1900, 885 West Georgia Street, Vancouver, BC, Canada V6C 3E8",49.2837809,-123.1195319,Collingham Shale,https://africaenergycorp.com/site/templates/img/logo-home.png,Canada,North America
Aker BP ASA,"Oksenoyveien 10, Lysaker, Norway",59.9049698,10.6252488,Johan Sverdrup,https://en.wikipedia.org/wiki/Aker_ASA#/media/File:Aker_ASA.svg,Norway,Europe
Alliance Resource Partners LP,"1717 S Boulder Ave, Tulsa, OK 74119, USA",36.1376262,-95.9881529,Hamilton County Mine No.1,None,United States,North America
Amplify Energy Corp,None,0.0,0.0,Haynesville/Bossier Shale,None,None,None
Anadarko,None,0.0,0.0,Anadarko Shelf_Oklahoma,None,None,None
Anhui Xinji Coal and Electricity Group,"Beijing, China",39.904211,116.407395,"Kouzi East Coal Mine,Liuzhuang Coal Mine",None,China,Asia
Arch Resources Inc,"One City Place Drive, Suite 300, St. Louis, MO 63141, USA",38.6726015,-90.4415002,Black Thunder Coal Mine,None,United States,North America
Arrowhead Productions,None,0.0,0.0,Barnett Shale,None,None,None
