name,headquarters_address,latitude,longitude,carbon_bomb_connected,url_logo,country,world_region
Asian American Continental Coal Company,"Beijing, China",39.904211,116.407395,Gaohe Coal Mine,None,China,Asia
Azerbaijan (OCC) Limited,None,0.0,0.0,ACG (Azeri-Chirag-Guneshli Deep Water),None,None,None
BHP Billiton,None,0.0,0.0,Austin Chalk Tight,None,None,None
BHP Group Ltd,"171 Collins Street, Melbourne, Victoria 3000, Australia",-37.8154778,144.9682824,"Blackwater Coal Mine,Goonyella-Riverside Coal Mine,Peak Downs Coal Mine,Red Hill Coal Project,Saraji East Coal Mine",https://www.bhp.com/-/media/project/bhp1ip/bhp1ip-en/bhp-orange.png?iar=0&hash=337742FC8FA64974B77D26E658467170,Australia,Oceania
BP PLC,"1 St. James's Square, London, SW1Y 4PD, United Kingdom",51.507727,-0.1346114,"ACG (Azeri-Chirag-Guneshli Deep Water),Haynesville/Bossier Shale,Johan Sverdrup,Rumaila North & South,Samotlorneftegaz (TNK-BP)",https://www.bp.com/apps/settings/wcm/designs/refresh/bp/images/navigation/bp-logo.svg,United Kingdom,Europe
BPX Operating,None,0.0,0.0,Austin Chalk Tight,None,None,None
BRG Lone Star,None,0.0,0.0,Barnett Shale,None,None,None
BXP Operating,None,0.0,0.0,Austin Chalk Tight,None,None,None
Basra Oil Company,"Basra, Iraq",30.5257657,47.77379699999999,"Basrah Gas project,Halfayah,Majnoon,Nahr bin Umar,Ratawi,Rumaila North & South,Zubair",https://en.wikipedia.org/wiki/Basra_Oil_Company#/media/File:Coat_of_arms_of_Iraq.svg,Iraq,Asia
Bayan Resources Tbk PT,"Menara Bidakara 2, Jl. Jend. Gatot Subroto Kav. 71-73, Jakarta, Indonesia",-6.240633700000001,106.8409182,Pakar North Coal Mine,None,Indonesia,Asia
Bayannaoer Zhuoyue Building Materials Company,"Beijing, China",39.904211,116.407395,Baijia Haizi Coal Mine,None,China,Asia
Bazhou Dongchen Industry and Trade Company,"Beijing, China",39.904211,116.407395,Talike District No. 2 Coal Mine,None,China,Asia
Bedrock Production,None,0.0,0.0,Barnett Shale,None,None,None
Beijing Energy Holding Co Ltd,"Beijing, China",39.904211,116.407395,"Gaojialiang No.1 Coal Mine,Hongqingliang Coal Mine,Shengli East No.2 Coal Mine",https://www.bjei.com/Uploads/image/20200916/5f61c8f1747c4.png,China,Asia
Beijing Guotai Xinhua Industrial Company,"Beijing, China",39.904211,116.407395,Wucaiwan No.1 Coal Mine,None,China,Asia
Beijing Jingneng Power Company,"Beijing, China",39.904211,116.407395,Suancigou Coal Mine,None,China,Asia
Beijing Lirui Investment Company,"Beijing, China",39.904211,116.407395,Hongshaquan No.1 Coal Mine,None,China,Asia
Beijing Sunshine Ruita Investment Consulting Company,"Beijing, China",39.904211,116.407395,Wenjiazhuang Coal Mine,None,China,Asia
Bin County Coal Company,"Beijing, China",39.904211,116.407395,Yadian Coal Mine,http://www.bx-mt.com/storage/settings/December2019/v5lBG4ZumNOSgfAVI6ku.png,China,Asia
Binxian Coal Company,"Beijing, China",39.904211,116.407395,Dafosi Coal Mine,None,China,Asia
Blackbrush,None,0.0,0.0,Austin Chalk Tight,None,None,None
Bluestone,None,0.0,0.0,Barnett Shale,None,None,None
Bono Lithihi Investments Group,"Le Cap, South Africa",-33.9248685,18.4240553,Bernice-Cygnus Coal Mine,None,South Africa,Africa
Bosque Texas Oil,None,0.0,0.0,Woodford Shale,None,None,None
Bulgarian Energy Holding EAD,"16 Veslets St., 1000 Sofia, Bulgaria",42.6997732,23.3257998,Maritsa Coal Mines,None,Bulgaria,Europe
Bumi Resources,"Bakrie Tower, 3rd Floor, Rasuna Epicentrum, Jl. H.R. Rasuna Said, Jakarta, Indonesia",-6.219212,106.8344885,KPC Operation Coal Mine,http://www.bumiresources.com/assets/img/full-logo.png,Indonesia,Asia
Burlington Resources,None,0.0,0.0,"Austin Chalk Tight,Eagle Ford Shale",None,None,None
CCI,None,0.0,0.0,Haynesville/Bossier Shale,None,None,None
CKD Mines,"Ottawa, Canada",45.4215296,-75.69719309999999,Gething Coal Mine,None,Canada,North America
CLP Holdings Ltd,"8/F, Devon House, Taikoo Place, 979 King's Road, Quarry Bay, Hong Kong",22.2872229,114.2110848,Yallourn,https://www.clpgroup.com/content/dam/clp-group/system/images/site/logo-clp-dark-new.png,China,Asia
CML Exploration,None,0.0,0.0,Austin Chalk Tight,None,None,None
CNOOC International,"Floor 10, CNOOC Building, 20 Chaoyangmenwai Dajie, Chaoyang District, Beijing, China",39.91807,116.43901,Greater Turbot (Stabroek),https://www.cnooc.com.cn/picture/0/1903232138094441392.png,China,Asia
CNOOC Limited,"Floor 10, CNOOC Building, 20 Chaoyangmenwai Dajie, Chaoyang District, Beijing, China",39.91807,116.43901,"Libra,Mero (Libra NW)",https://www.cnooc.com.cn/picture/0/1903232138094441392.png,China,Asia
CNOOC Oil Sands Canada,"2500, 500 4 Ave SW, Calgary, AB T2P 2V6, Canada",51.04987879999999,-114.07204,"Athabasca Oil Sands Project,Syncrude Mildred Lake/Aurora",https://www.cnooc.com.cn/picture/0/1903232138094441392.png,Canada,North America
CNPC,None,0.0,0.0,Changqing,None,None,None
Canadian Natural Resources Ltd (CNRL),"2100, 855 - 2 Street SW, Calgary, AB, Canada T2P 4J8",51.0452615,-114.069437,"Athabasca Oil Sands Project,Collingham Shale",https://www.cnrl.com/assets/img/layout/cnrl-colour.svg,Canada,North America
Changchun Jijun Trade Company,"Beijing, China",39.904211,116.407395,Shenhua Baorixile Surface Coal Mine,None,China,Asia
Chesapeake Operating,None,0.0,0.0,Austin Chalk Tight,None,None,None
Chevron Corp,"6001 Bollinger Canyon Rd, San Ramon, CA 94583, USA",37.7589028,-121.9598973,"Athabasca Oil Sands Project,Haynesville/Bossier Shale,Karachaganak,Leviathan,Tengiz",None,United States,North America
China COSCO Shipping Corp Ltd,"No. 358, Dong Da Ming Road, Hongkou District, Shanghai, China",31.24589,121.49222,Kouzi East Coal Mine,None,China,Asia
China Chengtong Holdings Group,"1 Fuxingmenwai Street, Xicheng District, Beijing, China",39.90735,116.34525,Dananhu No. 7 Coal Mine,http://www.cctgroup.com.cn/cctgroup/resource/cms/2017/10/logo.png,China,Asia
China Cinda Asset Management,"1 Financial Street, Xicheng District, Beijing, China",39.9072426,116.3565767,"Dingji Coal Mine,Guqiao Coal Mine",https://www.cinda.com.cn/resource/830/846/897/36117/36145/39057/39085/1431334955940382854857.gif,China,Asia
China Cinda Asset Management Company,"No. 8 Financial Street, Xicheng District, Beijing, China",39.9072426,116.3565767,"Pangpangta Coal Mine,Shenhua Heidaigou Surface Coal Mine,Sihe Coal Mine,Tongxin Coal Mine,Zhangji Coal Mine,Zhong Yu Coal Mine",https://www.cinda.com.cn/resource/830/846/897/36117/36145/39057/39085/1431334955940382854857.gif,China,Asia
China Coal Xinji Energy Co Ltd,"No. 130, Yulan Road, High-tech Zone, Yulin, Shaanxi Province, China",37.7301063,110.1686347,"Anjialing Open-Pit Mine,Antaibao Surface Mine,Dahaize Coal Mine,Dananhu No. 7 Coal Mine,Hongqingliang Coal Mine,Hulusu Coal Mine,Kouzi East Coal Mine,Liuzhuang Coal Mine,Menkeqing Coal Mine,Muduchaideng Coal Mine,Nalin River No.2 Coal Mine,Pingshuo East Coal Mine,Shaqu No.1 Coal Mine,Wangjialing Coal Mine",https://xinji.chinacoal.com/picture/0/7c2cf20011814c9dac0f444ff36e4b96.png,China,Asia
China Construction Bank,"No. 25, Financial Street, Xicheng District, Beijing, China",39.9072426,116.3565767,Pangpangta Coal Mine,None,China,Asia
China Datang Corp,"No. 9, Fuxingmenwai Street, Xicheng District, Beijing, China",39.90735,116.34525,"Longwanggou Coal Mine,Shengli East No.2 Coal Mine,Tashan Coal Mine",http://www.china-cdt.com/dtwz/dtwz_site/main/images/logo.jpg,China,Asia
China Development Bank,"No. 17 Financial Street, Xicheng District, Beijing, China",39.9072426,116.3565767,"Hongliulin Coal Mine,Mengcun Coal Mine,Sihe Coal Mine,Tambey Zone (Yamal Megaproject),Xiaozhuang Coal Mine",None,China,Asia
China Energy Investment Corp Ltd,"8 Fuxingmenwai Street, Xicheng District, Beijing, China",39.90735,116.34525,"Baode Coal Mine,Buertai Coal Mine,Chagannur No.1 Coal Mine,Chahasu Coal Mine,Daliuta Coal Mine,Dananhu No. 7 Coal Mine,Dananhu No.1 Coal Mine,Dananhu West No.2 Coal Mine,Gaotouyao Coal Mine,Guojiawan Coal Mine,Guqiao Coal Mine,Haerwusu Surface Mine,Halagou Coal Mine,Huangyuchuan Coal Mine,Huojitu Well Of Daliuta Coal Mine,Jinjie Coal Mine,Kouzi East Coal Mine,Lijiahao Coal Mine,Liuzhuang Coal Mine,Meihuajing Coal Mine,Ningxia Hongliu Coal Mine,Qingshuiying Coal Mine,Sandaogou Coal Mine,Shahaiji No.1 Coal Mine,Shajihai No.2 Coal Mine,Shangwan Coal Mine,Shengli No.1 Open-Pit Coal Mine,Shenhua Baorixile Surface Coal Mine,Shenhua Bulianta Coal Mine,Shenhua Heidaigou Surface Coal Mine,Shicaocun Coal Mine,Shigetai Coal Mine,Taran Gaole Coal Mine,Tongxin Coal Mine,Weijiamao Open Pit Mine,Wudong Coal Mine,Xiwan Surface Coal Mine,Yangchangwan No.1 Well Coal Mine,Zaoquan Coal Mine,Zhangji Coal Mine,Zhundong Surface Mine",https://www.ceic.com/xhtml/newchn/images/logo.png,China,Asia
China Huadian Corp Ltd,"6 Fuxingmenwai Street, Xicheng District, Beijing, China",39.90735,116.34525,"Buliangou Coal Mine,Changcheng No.3 Coal Mine,Xiaojiawa Coal Mine,Xiaojihan Coal Mine",https://en.wikipedia.org/wiki/China_Huadian_Corporation#/media/File:China_Huadian_Corporation(CHD)_logo.svg,China,Asia
China Huaneng Group Co Ltd,"6 Fuxingmenwai Street, Xicheng District, Beijing, China",39.90735,116.34525,"Gaotouyao Coal Mine,Hetaoyu Coal Mine,Shengli No.1 Open-Pit Coal Mine,Weijiamao Open Pit Mine,Xinzhuang Coal Mine,Yimin Surface Coal Mine,Yuwang No.1 Coal Mine",https://www.chng.com.cn/cms-chng-theme/images/logo.png,China,Asia
China Huarong Asset Management Company,"8 Financial Street, Xicheng District, Beijing, China",39.9072426,116.3565767,Chagannur No.1 Coal Mine,None,China,Asia
China Import-Export Bank,"30-31F, China EXIM Building, 30 Fuxingmennei Street, Xicheng District, Beijing, China",39.9057834,116.3642259,Tambey Zone (Yamal Megaproject),None,China,Asia
China Investment Co,"Beijing, China",39.904211,116.407395,Tambey Zone (Yamal Megaproject),None,China,Asia
China Kingho Energy Group,"No. 1, Qiyi Street, Urumqi, Xinjiang, China",43.8266299,87.61688,Qinghua No.7 Coal Mine,None,China,Asia
China National Petroleum Corporation (CNPC),"9 Dongzhimen North Street, Dongcheng District, Beijing, China",39.9448999,116.42551,"Azadegan,Halfayah,Libra,Lower Zakum,Mero (Libra NW),Qurna West,Rumaila North & South,Shenhua Baorixile Surface Coal Mine,Tambey Zone (Yamal Megaproject)",http://www.cnpc.com.cn/cnpc/xhtml/images/logo.png,China,Asia
China Reform Holdings Company,"Beijing, China",39.904211,116.407395,Dananhu No. 7 Coal Mine,https://www.crhc.cn/lib/template/static/images/logo.png,China,Asia
China Securities Finance Corporation,"12F, Bldg. A, Fufengmenwai Street, Xicheng District, Beijing, China",39.90710989999999,116.37415,Weijiamao Open Pit Mine,None,China,Asia
China ZhenHua Oil Co Ltd,"28 Xuanwumenwai Street, Xicheng District, Beijing, China",39.90710989999999,116.37415,Baghdad East,None,China,Asia
Coal India Ltd,"Coal Bhawan, Premise No-04 MAR, Plot No-AF-III, Action Area-1A, Newtown, Rajarhat, Kolkata, West Bengal, India",22.5841333,88.4512901,"Balaram Coal Mine,Dipka Coal Mine,Gevra Coal Mine,Integrated Belpahar, Lakhanpur, Lilari Coal Mine,Kaniha Coal Mine,Kusmunda Coal Mine,Lakhanpur Coal Mine,Rajmahal Coal Mine,Siarmal Coal Mine,Zambezi Coal Mine",https://www.coalindia.in/static/images/logo.af6a33b31873.png,India,Asia
Comstock Oil & Gas,None,0.0,0.0,Haynesville/Bossier Shale,None,None,None
ConocoPhillips,"925 N Eldridge Pkwy, Houston, TX 77079, USA",29.7828141,-95.618465,"QatarGas 1 LNG T1-T3,QatarGas LNG T12-T13 (NFE-South),Troll",https://fr.wikipedia.org/wiki/ConocoPhillips#/media/Fichier:ConocoPhillips_Logo.svg,United States,North America
Contura Energy,"340 Martin Luther King Jr Blvd, Bristol, TN 37620, USA",36.5910455,-82.1824523,Cumberland Coal Mine,https://alphametresources.com/wp-content/uploads/2022/01/Alpha_Full-Logo_RGB-1.png,United States,North America
Cooperative KazMunayGaz,"19 Kabanbay Batyr Ave., Nur-Sultan, Kazakhstan",51.1315976,71.4119486,Kashagan,https://www.kmg.kz/local/templates/main/assets/img/animate-logo.svg,Kazakhstan,Asia
Covey Park Operating,None,0.0,0.0,Haynesville/Bossier Shale,None,None,None
Crown Equipment Co.,None,0.0,0.0,Barnett Shale,None,None,None
Delek Group Ltd,"18 Giborei Israel St., Netanya, Israel",32.082057,34.8434887,Leviathan,https://www.delek-group.com/wp-content/uploads/2017/09/delek-logo.png,Israel,Asia
Devon Energy Corp,None,0.0,0.0,"Austin Chalk Tight,Barnett Shale,Eagle Ford Shale",None,None,None
Drummond Company,"PO Box 10246, Birmingham, AL 35202, USA",33.52,-86.8,"El Descanso Coal Mine,Pribbenow Coal Mine",https://dxh5c3.p3cdn1.secureserver.net/wp-content/themes/drummondco/assets/images/logo.png,United States,North America
EOG Resources Inc,None,0.0,0.0,"Austin Chalk Tight,Barnett Shale",None,None,None
Eagleridge Operating,None,0.0,0.0,Barnett Shale,None,None,None
El Toro Resources,None,0.0,0.0,Austin Chalk Tight,None,None,None
Electricity Generating PCL,None,0.0,0.0,Afşin-Elbistan Coal Mine,None,None,None
Elektroprivreda Srbije (EPS),None,0.0,0.0,Kolubara Mine Complex,None,None,None
Elevation Resources,None,0.0,0.0,Barnett Shale,None,None,None
Elion Resources Group Ltd,"Beijing, China",39.904211,116.407395,Huangyuchuan Coal Mine,None,China,Asia
Encana Oil & Gas,None,0.0,0.0,Austin Chalk Tight,None,None,None
Endeavor Energy Resources LP,None,0.0,0.0,Barnett Shale,None,None,None
Enervest Operating,None,0.0,0.0,Barnett Shale,None,None,None
Eni SpA,"Piazzale Enrico Mattei, 1, 00144 Rome, Italy",41.8270511,12.4715209,"Basrah Gas project,Karachaganak,Kashagan,South Pars (Phases 4-5) dry gas,Zubair",https://fr.wikipedia.org/wiki/Eni#/media/Fichier:Eni_SpA_(logo).svg,Italy,Europe
Ensign Operating LLC,None,0.0,0.0,Eagle Ford Shale,None,None,None
Equinor ASA,"Forusbeen 50, 4035 Stavanger, Norway",58.8904932,5.7186889,"ACG (Azeri-Chirag-Guneshli Deep Water),Johan Sverdrup,Shtokman,Troll",https://en.wikipedia.org/wiki/Equinor#/media/File:Equinor.svg,Norway,Europe
Equinor Energy,None,0.0,0.0,Austin Chalk Tight,None,None,None
Erdenes MGL,"Ulaanbaatar 14240, Mongolia",47.88639879999999,106.9057439,Tavan Tolgoi Coal Mine,None,Mongolia,Asia
Erdos Chunhui Forest Company,"Beijing, China",39.904211,116.407395,Hongshuliang Coal Mine,None,China,Asia
Erdos Jiuyuan Investment Company,"Beijing, China",39.904211,116.407395,Inner Mongolia Erlintu Coal Mine,None,China,Asia
Evraz PLC,"16th Floor, 29 Ludgate Hill, London, EC4M 7NX, United Kingdom",51.5137753,-0.1017615,Raspadskaya Coal Mine,"data:image/svg+xml;base64,PHN2ZyB3aWR0aD0iMjA2IiBoZWlnaHQ9IjMyIiB2aWV3Qm94PSIwIDAgMjA2IDMyIiBmaWxsPSJub25lIiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciPgo8ZyBjbGlwLXBhdGg9InVybCgjY2xpcDBfMjYxOV81Nzk5KSI+CjxwYXRoIGQ9Ik0zMi4xODc1IDBIMFY2LjM5Nzg1SDMyLjE4NzVWMFoiIGZpbGw9IiNGQ0I1M0IiLz4KPHBhdGggZD0iTTMyLjE4NzUgMTIuNzk1N0gwVjE5LjE5MzZIMzIuMTg3NVYxMi43OTU3WiIgZmlsbD0iI0Y1N0YyOSIvPgo8cGF0aCBkPSJNMzIuMTg3NSAyNS41OTE0SDBWMzEuOTg5MkgzMi4xODc1VjI1LjU5MTRaIiBmaWxsPSIjRTMyMjEzIi8+CjxwYXRoIGQ9Ik0xNzguODM0IDBWNi4zODcxOUgxOTYuNjIzTDE3OC44NDQgMjUuNTkxNFYzMS45ODkzSDIwNlYyNS41OTE0SDE4Ny45NTRMMjA2IDYuMzk3ODVWMEgxNzguODM0WiIgZmlsbD0iYmxhY2siLz4KPHBhdGggZD0iTTE1OC45OTYgNi4zOTc4NUwxNjQuMDgxIDE5LjE4MjlIMTUzLjg5OUwxNTguOTk2IDYuMzk3ODVaTTE1NC4wNiAwTDE0MS43IDMxLjk4OTNIMTQ5LjA4MkwxNTEuNDk2IDI1LjU4MDdMMTY2LjQ4NCAyNS41OTE0TDE2OC44OTkgMzEuOTk5OUgxNzYuMjM3TDE2My4xNjkgMEgxNTQuMDZaIiBmaWxsPSJibGFjayIvPgo8cGF0aCBkPSJNMTAwLjQwNCAwTDkwLjk2MTkgMjMuMDMyM0w4MS45NzA4IDBINzMuOTc3Nkw4Ny40OTY0IDMxLjk4OTNIOTQuNTAyNUwxMDcuOTM1IDBIMTAwLjQwNFoiIGZpbGw9ImJsYWNrIi8+CjxwYXRoIGQ9Ik00NS4wNTE4IDBWMzEuOTg5M0g3MS40NjdWMjUuNTkxNEw1MS41MTA3IDI1LjU4MDhWMTkuMTkzNkg3MS40NjdWMTIuNzg1SDUxLjUxMDdWNi40MDg1Mkw3MS40NjcgNi4zODcxOVYwSDQ1LjA1MThaIiBmaWxsPSJibGFjayIvPgo8cGF0aCBkPSJNMTMxLjQ3NSAxOC41OTY1QzEzNS40MTMgMTcuMTU3IDEzNy44NyAxMy41NzQyIDEzNy44NyA5LjUwMDg5QzEzNy44NyA0LjI5NzMgMTMzLjQ3MSAwLjAxMDc0MjIgMTI4LjI2NyAwLjAxMDc0MjJIMTIzLjMxSDExMC41MVYzMkgxMTYuOTQ4VjE5LjE2MTZIMTI0LjU0NEwxMzEuNzY1IDMxLjk2OEgxMzkuNDlMMTMxLjQ3NSAxOC41OTY1Wk0xMjcuOTY3IDEyLjgwNjRIMTE2Ljk0OFY2LjUwNDU2SDEyNy45NjdDMTI5LjcxNiA2LjUwNDU2IDEzMS4xMzIgNy45MTIwOSAxMzEuMTMyIDkuNjUwMTdDMTMxLjEzMiAxMS4zODgzIDEyOS43MTYgMTIuODA2NCAxMjcuOTY3IDEyLjgwNjRaIiBmaWxsPSJibGFjayIvPgo8L2c+CjxkZWZzPgo8Y2xpcFBhdGggaWQ9ImNsaXAwXzI2MTlfNTc5OSI+CjxyZWN0IHdpZHRoPSIyMDYiIGhlaWdodD0iMzIiIGZpbGw9IndoaXRlIi8+CjwvY2xpcFBhdGg+CjwvZGVmcz4KPC9zdmc+Cg==",United Kingdom,Europe
Exco Operating Co.,None,0.0,0.0,Haynesville/Bossier Shale,None,None,None
Exxaro Resources Ltd,"The ConneXXion, 263B, West Avenue, Die Hoewes, Centurion, South Africa",-25.8532822,28.1895192,Grootegeluk Coal Mine,https://www.exxaro.com/img/logo_light.svg,South Africa,Africa
Exxon Mobil Corp,"5959 Las Colinas Blvd, Irving, TX 75039, USA",32.889883,-96.950202,"Athabasca Oil Sands Project,Greater Turbot (Stabroek),Kashagan,Qatargas 2 LNG T4-T5,Qurna West,Tengiz,Upper Zakum",https://corporate.exxonmobil.com/-/media/global/icons/logos/exxonmobillogocolor2x.png,United States,North America
FDL Operating,None,0.0,0.0,Barnett Shale,None,None,None
"Faulconer, Vernon E.",None,0.0,0.0,Barnett Shale,None,None,None
Felderhoff Production,None,0.0,0.0,Barnett Shale,None,None,None
Foresight Energy,"One Metropolitan Square, Suite 2600, St. Louis, MO 63102, USA",38.6275525,-90.1900027,MC #1 Coal Mine,https://www.foresight.com/wp-content/uploads/2015/10/foresight_energy-logo.jpg,United States,North America
Fortune Resources,None,0.0,0.0,Haynesville/Bossier Shale,None,None,None
Fude Life Insurance Company,"Beijing, China",39.904211,116.407395,Dalaihushuo Coal Mine,None,China,Asia
Fugu State-Owned Asset Management and Operation Company,"Beijing, China",39.904211,116.407395,Guojiawan Coal Mine,None,China,Asia
Fuse Energy,None,0.0,0.0,Barnett Shale,None,None,None
Futura Resources,"Canberra, Australia",-35.2809368,149.1300092,Wilton and Fairhill Coal Projects,None,Australia,Oceania
GCM Resources,"7th Floor, 33 Cavendish Square, London, W1G 0PW, United Kingdom",51.5160119,-0.1441297,Phulbari Coal Mine,http://www.gcmplc.com/sites/default/files/inline-images/logo.jpg,United Kingdom,Europe
GHA Barnett,None,0.0,0.0,Barnett Shale,None,None,None
GVK Group,"GVK Lounge, Terminal 2, Chhatrapati Shivaji International Airport, Mumbai, Maharashtra 400099, India",19.0965534,72.87503219999999,Alpha North Coal Mine,None,India,Asia
Galp Energia SGPS S.A.,None,0.0,0.0,Lula (X-Tupi),None,None,None
Gazprom PJSC,"16 Nametkina Street, Moscow, Russia",55.6603845,37.5588141,"Bovanenkovo Zone (Yamal Megaproject),Gazprom dobycha Nadym,Gazprom dobycha Orenburg,Gazprom dobycha Yamburg,Leningradskoye (Kara Sea),SeverEnergia Project,Shtokman,South Pars (Phases 2-3) dry gas,Urengoyskoye",https://en.wikipedia.org/wiki/Gazprom#/media/File:Gazprom-Logo.svg,Russia,Europe
Geosouthern Energy,None,0.0,0.0,Austin Chalk Tight,None,None,None
Glencore PLC,"50 Berkeley Street, London W1J 8HD, United Kingdom",51.5078621,-0.143068,"Cerrejón Coal Mine,Hunter Valley North Coal Mine,Hunter Valley South Coal Mine,Paardekop Coal Mine,Valeria Coal Mine",https://www.glencore.com/.resources/gc/webresources/img/Glencore_logo.svg,United Kingdom,Europe
Golden Energy Mines,"Sinar Mas Land Plaza Tower II, 7th floor Jl. M.H. Thamrin No. 51, Jakarta, Indonesia",-6.1900923,106.8236452,BIB Coal Mine,https://www.goldenenergymines.com/wp-content/themes/gems/images/gems-logo.png,Indonesia,Asia
Government of India,"New Delhi, India",28.6139391,77.2090212,"Banhardih,Kerandari BC",https://en.wikipedia.org/wiki/Government_of_India#/media/File:Emblem_of_India.svg,India,Asia
Government of North Korea,"Pyongyang, North Korea",39.0737987,125.8197642,Saebyol Coal Mining Complex,https://en.wikipedia.org/wiki/Government_of_North_Korea#/media/File:Emblem_of_North_Korea.svg,North Korea,Asia
Guangda Holding Company,"Beijing, China",39.904211,116.407395,Shenhua Baorixile Surface Coal Mine,None,China,Asia
Guangdong Hanjian Investment Co Ltd,"Beijing, China",39.904211,116.407395,Qingchunta Coal Mine,None,China,Asia
Guangdong Hengjian Investment Holding Co Ltd,"Beijing, China",39.904211,116.407395,"Gaotouyao Coal Mine,Weijiamao Open Pit Mine",https://www.gdhjtz.com/uploadfiles/2020/10/20201009102249504.png?MjAyMDA5MDPmgZLlgaXmjqfogqHmoIfor4blrprnqL8oMSkucG5n,China,Asia
Guangdong Jinma Tourism Group,"Beijing, China",39.904211,116.407395,Shangyuquan Coal Mine,None,China,Asia
Guanghui Energy Holding Company,"No.199, Kezhu Road, Guangzhou Science City, Guangzhou, China",23.15775,113.43803,Baishihu Surface Mine,None,China,Asia
Guizhou Coalfield Geology Bureau,"Beijing, China",39.904211,116.407395,West Well of Faer Second Coal Mine,None,China,Asia
Guizhou Panjiang Coal and Electricity Group,"Guiyang, Guizhou, China",26.6475899,106.63019,West Well of Faer Second Coal Mine,None,China,Asia
Gujarat State Electricity Corporation,"Vidyut Bhavan, Race Course, Vadodara, Gujarat, India",22.3103945,73.16358699999999,Gare Pelma Sector II,None,India,Asia
Gulftex Energy,None,0.0,0.0,Austin Chalk Tight,None,None,None
HD Mining International,"Ottawa, Canada",45.4215296,-75.69719309999999,Murray River Coal Mine,None,Canada,North America
HKSCC Nominees Limited,"8/F, Two Exchange Square, 8 Connaught Place, Central, Hong Kong",22.2837763,114.1582256,"Anjialing Open-Pit Mine,Antaibao Surface Mine,Baode Coal Mine,Buertai Coal Mine,Daliuta Coal Mine,Haerwusu Surface Mine,Halagou Coal Mine,Huojitu Well Of Daliuta Coal Mine,Lijiahao Coal Mine,Pingshuo East Coal Mine,Shangwan Coal Mine,Shengli East No.2 Coal Mine,Shenhua Bulianta Coal Mine,Shigetai Coal Mine,Tashan Coal Mine,Wangjialing Coal Mine,Yuwang No.1 Coal Mine",https://www.hkex.com.hk/Market/home/media_20230505200119/logo_main.png?_20220126T073114Z,China,Asia
Harbour Energy PLC,"60-61 Threadneedle Street, London EC2R 8HP, United Kingdom",51.5142169,-0.0865174,East Natuna (x-Natuna D-Alpha),https://www.harbourenergy.com/media/0uhaqtns/harbour-energy-logo.jpg,United Kingdom,Europe
Hebei Construction & Investment Group Co Ltd,None,0.0,0.0,"Chahasu Coal Mine,Shengli East No.2 Coal Mine,Yuwang No.1 Coal Mine",None,None,None
Hebei Weiyuan Group,"Beijing, China",39.904211,116.407395,Wangjiata Coal Mine,None,China,Asia
Hess Bakken Investments,None,0.0,0.0,Bakken Shale,None,None,None
Hess Corporation,"1185 Avenue of the Americas, New York, NY 10036, USA",40.7578513,-73.98233809999999,Greater Turbot (Stabroek),None,United States,North America
