Carbon_bomb_name,Country,Company
ACG (Azeri-Chirag-Guneshli Deep Water),Azerbaijan,Azerbaijan (OCC) Limited
ACG (Azeri-Chirag-Guneshli Deep Water),Azerbaijan,BP PLC
ACG (Azeri-Chirag-Guneshli Deep Water),Azerbaijan,Equinor ASA
ACG (Azeri-Chirag-Guneshli Deep Water),Azerbaijan,Inpex Corp
Abqaiq,Saudi Arabia,Saudi Arabian Oil Company (Saudi Aramco)
Afşin-Elbistan Coal Mine,Turkey,Electricity Generating PCL
Agha Jari,Iran,National Iranian Oil Company
Ahwaz Asmari,Iran,National Iranian Oil Company
Ahwaz Bangestan,Iran,National Iranian Oil Company
Al Khaleej Gas project,Qatar,No informations on company
Alpha North Coal Mine,Australia,No informations on company
Anadarko Shelf_Oklahoma,United States,No informations on company
Angren Coal Mine,Uzbekistan,Ministry of Finance of Uzbekistan
Anjialing Open-Pit Mine,China,HKSCC Nominees Limited
Anjialing Open-Pit Mine,China,China Coal Xinji Energy Co Ltd
Antaibao Surface Mine,China,China Coal Xinji Energy Co Ltd
Antaibao Surface Mine,China,HKSCC Nominees Limited
Arctic LNG 2 T1-3,Russia,No informations on company
Area 1 LNG (T1&T2),Mozambique,TotalEnergies SE
Area-1 Future Phases,Mozambique,TotalEnergies SE
Arshanovsky Coal Mine,Russia,Rutek Alliance
Asab,United Arab Emirates,No informations on company
Athabasca Oil Sands Project,Canada,Teck Resources Ltd
Athabasca Oil Sands Project,Canada,TotalEnergies SE
Athabasca Oil Sands Project,Canada,Shell PLC
Athabasca Oil Sands Project,Canada,Chevron Corp
Athabasca Oil Sands Project,Canada,Exxon Mobil Corp
Athabasca Oil Sands Project,Canada,Canadian Natural Resources Ltd (CNRL)
Athabasca Oil Sands Project,Canada,China Petrochemical Corporation (Sinopec Group)
Athabasca Oil Sands Project,Canada,Imperial Oil Resources Limited
Athabasca Oil Sands Project,Canada,Suncor Energy Inc
Athabasca Oil Sands Project,Canada,
Athabasca Oil Sands Project,Canada,China National Offshore Oil Corp (CNOOC)
Austin Chalk Tight,United States,SM Energy Co
Austin Chalk Tight,United States,Murphy E&P. Company
Austin Chalk Tight,United States,Magnolia Oil & Gas Operating
Austin Chalk Tight,United States,Gulftex Energy
Austin Chalk Tight,United States,Equinor ASA
Austin Chalk Tight,United States,Devon Energy Corp
Austin Chalk Tight,United States,ConocoPhillips
Austin Chalk Tight,United States,Trinity Operating (USG)
Austin Chalk Tight,United States,CML Exploration
Austin Chalk Tight,United States,El Toro Resources
Austin Chalk Tight,United States,Escondido Resources
Austin Chalk Tight,United States,Repsol SA
Austin Chalk Tight,United States,Marathon Oil Corp
Austin Chalk Tight,United States,APA Corp
Austin Chalk Tight,United States,Verdun Oil & Gas
Austin Chalk Tight,United States,EOG Resources Inc
Austin Chalk Tight,United States,Zarvona Energy
Austin Chalk Tight,United States,Blackbrush
Azadegan,Iran,China National Petroleum Corporation (CNPC)
BIB Coal Mine,Indonesia,Golden Energy Mines
Ba Leng Coal Mine,China,Jinneng Holding Group Co Ltd
Bab,United Arab Emirates,No informations on company
Bab (Gasco),United Arab Emirates,No informations on company
Baghdad East,Iraq,China ZhenHua Oil Co Ltd
Baijia Haizi Coal Mine,China,Bayannaoer Zhuoyue Building Materials Company
Baijia Haizi Coal Mine,China,Inner Mongolia Ordos Investment Holding Group
Baijia Haizi Coal Mine,China,Inner Mongolia Huineng Coal and Electricity Group
Baishihu Surface Mine,China,Guanghui Energy Holding Company
Baishihu Surface Mine,China,Xin Jiang Guang Hui Industry Investment Group Co Ltd
Baishihu Surface Mine,China,Xinjiang Production and Construction Corps
Baiyanghe Coal Mine,China,Shandong Lutai Holding Group
Baiyanghe Coal Mine,China,Ming Kei Energy Investment Company
Baiyinhua No.3 Surface Mine,China,Huolinhe Coal Industry Group
Baiyinhua No.3 Surface Mine,China,Industrial and Commercial Bank of China
Baiyinhua No.3 Surface Mine,China,State Power Investment Corp (SPIC)
Bakken Shale,United States,White Rock Oil & Gas
Bakken Shale,United States,Murex Petroleum Corp
Bakken Shale,United States,Koda Resources Operating
Bakken Shale,United States,Zavanna
Bakken Shale,United States,Hess Corporation
Bakken Shale,United States,Kraken Oil & Gas LLC
Bakken Shale,United States,Crescent Point Energy Corp
Bakken Shale,United States,Slawson Exploration Company
Bakken Shale,United States,Enerplus Corp
Bakken Shale,United States,Exxon Mobil Corp
Bakken Shale,United States,Marathon Oil Corp
Bakken Shale,United States,Petro-Hunt
Bakken Shale,United States,Continental Resources Inc/OK
Bakken Shale,United States,EOG Resources Inc
Bakken Shale,United States,Hunt Consolidated Inc
Bakken Shale,United States,ConocoPhillips
Balaram Coal Mine,India,Coal India Ltd
Baltimore Canyon Offshore,United States,No informations on company
Banhardih,India,Government of India
Bankui,India,No informations on company
Baode Coal Mine,China,China Energy Investment Corp Ltd
Baode Coal Mine,China,HKSCC Nominees Limited
Barail Shale,India,No informations on company
Barnett Shale,United States,White Knight Production
Barnett Shale,United States,Oakridge Oil And Gas
Barnett Shale,United States,Bedrock Production
Barnett Shale,United States,BRG Lone Star
Barnett Shale,United States,Eagleridge Operating
Barnett Shale,United States,EOG Resources Inc
Barnett Shale,United States,"Faulconer, Vernon E."
Barnett Shale,United States,GHA Barnett
