Bank,Company,2016,2017,2018,2019,2020,2021,2022,Grand Total
Agricultural Bank of China,State Grid Corp of China,772010000.0,29883804.454319432,262563880.38352907,865502160.1716462,1386568998.526739,3751992456.469884,2610956250.0,9679477550.006119
Agricultural Bank of China,China National Petroleum Corporation (CNPC),1900240000.0,86893800.0,785830000.0,2171800000.0,2599569000.0,849640000,2011351500.0,10405324300.0
Agricultural Bank of China,China Huadian Corp Ltd,935007190.1320859,720308545.6893791,234571274.06390092,1036903909.2109859,1020666598.0,420034378.0104617,518929216.38808054,4886421111.494894
Agricultural Bank of China,Beijing Energy Holding Co Ltd,180670027.91251063,0.0,330439315.23058826,1108988.0327326248,113903261.5431573,208475357.67307,366444662.8046913,1201041613.1967502
Agricultural Bank of China,Shandong Energy Co Ltd,0.0,419672877.41347903,395703355.59052515,298483925.49100834,324739613.0011844,341024188.02976465,256735246.54250848,2036359206.06847
Agricultural Bank of China,China Energy Investment Corp Ltd,1831431159.8593824,290328206.5217468,9620957.873978332,175843086.4085154,372897364.721854,112030436.54388325,253677495.0,3045828706.9293604
Agricultural Bank of China,China Huaneng Group Co Ltd,647517420.0,227740570.0,197373735.35558262,346033457.5754889,66807727.920555905,168663095.581531,210299655.69597816,1864435662.1291366
Agricultural Bank of China,Jinneng Holding Group Co Ltd,119965447.06870425,141933714.6393593,263134722.50040883,253504650.0,561987197.4160701,0,147719102.55774936,1488244834.1822917
Agricultural Bank of China,China Datang Corp,166200146.61050296,108634494.14386648,0.0,0.0,165390120.0,376056555,115958986.42,932240302.1743695
Agricultural Bank of China,Shenergy Group Co Ltd,0.0,0.0,0.0,85285281.64606926,0.0,0,111789000.0,197074281.64606926
Agricultural Bank of China,Guangdong Hengjian Investment Holding Co Ltd,65334420.0,340647562.5,0.0,40972320.03,117162800.0,385347420,80687340.0,1030151862.53
Agricultural Bank of China,Hebei Construction & Investment Group Co Ltd,0.0,46298288.241549045,69659242.35739508,159917750.42442635,53537250.0,0,0.0,329412531.0233705
Agricultural Bank of China,Huayang New Material Technology Group Co Ltd,152045000.0,183138000.0,79348500.0,0.0,144426000.0,0,0.0,558957500.0
Agricultural Bank of China,China ZhenHua Oil Co Ltd,247660875.0,0.0,0.0,0.0,0.0,0,0.0,247660875.0
Agricultural Bank of China,Inner Mongolia Mengtai Group Co Ltd,0.0,0.0,0.0,43558611.5,0.0,0,0.0,43558611.5
Agricultural Bank of China,Inpex Corp,0.0,455769230.0,0.0,0.0,0.0,0,0.0,455769230.0
Agricultural Bank of China,Shaanxi Yanchang Petroleum Group Co Ltd,298623507.1867472,0.0,402339115.93600357,455787398.82367337,557166567.4496047,0,0.0,1713916589.3960288
Agricultural Bank of China,Jizhong Energy Group Co Ltd,0.0,0.0,138819530.0,50074518.16,0.0,0,0.0,188894048.16
Agricultural Bank of China,Shougang Group Co Ltd,1622303.169886687,0.0,0.0,0.0,0.0,0,0.0,1622303.169886687
Agricultural Bank of China,Lu'an Chemical Group Co Ltd,96181628.4,0.0,43181700.0,0.0,46587551.4,0,0.0,185950879.8
Agricultural Bank of China,Zhejiang Provincial Energy Group Co Ltd,0.0,81634500.0,99652140.0,102522240.0,260637480.0,100998585,0.0,645444945.0
Agricultural Bank of China,Hubei Yihua Chemical Industry Co Ltd,10218036.92,0.0,0.0,0.0,0.0,0,0.0,10218036.92
ANZ,Inpex Corp,600000000.0,455769230.0,0.0,0.0,1050875000.0,0,1505600000.0,3612244230.0
ANZ,Glencore PLC,0.0,45843750.0,66119984.57588445,111677419.44,154693338.07504827,0,46412903.24,424747395.33093274
ANZ,BHP Group Ltd,0.0,0.0,0.0,57500000.0,2857142.88,0,0.0,60357142.88
ANZ,Exxon Mobil Corp,400000000.0,0.0,0.0,0.0,0.0,0,0.0,400000000.0
ANZ,Zhejiang Provincial Energy Group Co Ltd,0.0,50000000.0,0.0,0.0,0.0,0,0.0,50000000.0
ANZ,Shell PLC,0.0,0.0,0.0,388000000.0,0.0,0,0.0,388000000.0
ANZ,AGL Energy Ltd,0.0,0.0,0.0,116841312.68554688,0.0,0,0.0,116841312.68554688
ANZ,State Grid Corp of China,75434668.71594647,171496615.25697762,78708623.79805605,0.0,0.0,33273705.658871196,0.0,358913613.4298513
ANZ,TotalEnergies SE,0.0,0.0,0.0,0.0,341250503.2317707,0,0.0,341250503.2317707
Bank of America,ConocoPhillips,1026605000.0,1939416664.0,828571429.0,0.0,166666667.0,0,813636364.0,4774896124.0
Bank of America,Inpex Corp,0.0,0.0,0.0,0.0,0.0,0,110000000.0,110000000.0
Bank of America,Delek Group Ltd,0.0,0.0,0.0,0.0,0.0,0,59741850.0,59741850.0
Bank of America,Glencore PLC,39741920.0,86804279.94755727,87953771.4714256,111677419.44,254210712.59242278,46934346.17471515,46412903.24,673735352.8661208
Bank of America,POSCO Holdings Inc,0.0,0.0,42425706.4479359,76366271.60628462,63808262.4976956,0,0.0,182600240.55191612
Bank of America,Adani Group,0.0,22556390.842105262,0.0,101782844.41060668,21531100.42105263,39074960.21052632,0.0,184945295.8842909
Bank of America,QatarEnergy,0.0,0.0,0.0,0.0,0.0,944444445,0.0,944444445.0
Bank of America,Chevron Corp,738025553.0,849999334.0,800000000.0,100000000.0,2171428570.0,0,0.0,4659453457.0
Bank of America,Petróleo Brasileiro SA – Petrobras,2310704459.658327,259999994.8,0.0,368484703.67723346,1232873264.61,656465299.3448865,0.0,4828527722.090447
Bank of America,China Huaneng Group Co Ltd,165000000.0,0.0,0.0,0.0,0.0,0,0.0,165000000.0
Bank of America,China National Petroleum Corporation (CNPC),0.0,0.0,0.0,0.0,133333333.0,0,0.0,133333333.0
Bank of America,State Grid Corp of China,0.0,141032511.96588898,78708623.79805605,0.0,0.0,0,0.0,219741135.76394504
Bank of America,Petróleos Mexicanos (PEMEX),2137016800.0,175500000.27,800000000.0,1010076888.73,337121861.60440904,1464430438.6269908,0.0,5924145989.2314
Bank of America,Evraz PLC,0.0,0.0,0.0,334268.2063579558,0.0,0,0.0,334268.2063579558
Bank of America,Repsol SA,0.0,0.0,0.0,0.0,299934623.9643085,113365880.55449331,0.0,413300504.5188018
Bank of America,ITOCHU Corp,0.0,44166668.0,0.0,0.0,0.0,0,0.0,44166668.0
Bank of America,Equinor ASA,0.0,0.0,333333000.0,0.0,1818187917.0,298899358.7219936,0.0,2450420275.7219934
