Name,Country,Potential emissions (Gt CO2),Fuel,Latitude,Longitude,Partial_match
Western Gulf Province_Texas,United States,5.061653121234896,Oil&Gas,,,False
Woodford Shale,United States,3.377142984689252,Oil&Gas,,,False
North Antelope Rochelle Coal Mine,United States,2.9242268999999994,Coal,,,False
MC #1 Coal Mine,United States,2.8775617199999997,Coal,,,False
PRB Tight Oil,United States,2.770946452861687,Oil&Gas,,,False
Chukchi Sea Offshore,United States,2.53927748672,Oil&Gas,,,False
Meramec Shale,United States,2.4395776108206624,Oil&Gas,,,False
Permian Conventional_Texas,United States,2.061829878097165,Oil&Gas,,,False
North Slope Onshore,United States,2.0359511588,Oil&Gas,,,False
Cumberland Coal Mine,United States,1.8939676799999998,Coal,,,False
Anadarko Shelf_Oklahoma,United States,1.8178260724192359,Oil&Gas,,,False
Baltimore Canyon Offshore,United States,1.6485116991200002,Oil&Gas,,,False
Austin Chalk Tight,United States,1.3928280650692542,Oil&Gas,,,False
Barnett Shale,United States,1.3608799636973585,Oil&Gas,,,False
Black Thunder Coal Mine,United States,1.3580400329999998,Coal,,,False
Beaufort Sea Offshore,United States,1.25481059912,Oil&Gas,,,False
Hamilton County Mine No.1,United States,1.1847792923999998,Coal,,,False
Gulf Coast Centre Offshore,United States,1.10620091296,Oil&Gas,,,False
Youngs Creek Coal Mine,United States,1.08842976,Coal,,,False
West Florida Offshore,United States,1.06926148888,Oil&Gas,,,False
Angren Coal Mine,Uzbekistan,2.4038000000000004,Coal,,,False
Orinoco Joint Ventures,Venezuela,6.703396161976542,Oil&Gas,,,False
La Luna Shale,Venezuela,1.0905220150267299,Oil&Gas,,,False
Sengwe Colliery,Zimbabwe,1.0,Coal,,,False
