Carbon_bomb_name,Country,Company
Bakken Shale,United States,Koda Resources Operating
Bakken Shale,United States,White Rock Oil & Gas
Bakken Shale,United States,Cobra Oil & Gas
Bakken Shale,United States,Newfield Production Company
Bakken Shale,United States,Whiting Oil & Gas Corporation
Bakken Shale,United States,Lime Rock Resources
Bakken Shale,United States,Slawson Exploration Company
Bakken Shale,United States,Hess Bakken Investments
Bakken Shale,United States,Bruin E&P Operating
Bakken Shale,United States,EOG Resources Inc
Bakken Shale,United States,Crescent Point Energy Corp
Bakken Shale,United States,XTO Energy
Bakken Shale,United States,Liberty Resources
Bakken Shale,United States,Continental Resources
Bakken Shale,United States,Petro-Hunt
Bakken Shale,United States,Oasis Petroleum
Bakken Shale,United States,Kraken Operating
Bakken Shale,United States,Hunt Oil Company
Bakken Shale,United States,Resource Energy Can-Am
Bakken Shale,United States,Rimrock Oil & Gas Williston
Bakken Shale,United States,Petroshale (US) Inc.
Bakken Shale,United States,EP Energy Corp
Bakken Shale,United States,Petro Harvester Operating Company
Bakken Shale,United States,SHD Oil & Gas
Bakken Shale,United States,Marathon Oil Corp
Bakken Shale,United States,WPX Energy Williston
Balaram Coal Mine,India,Coal India Ltd
Baltimore Canyon Offshore,United States,No informations on company
Banhardih,India,Government of India
Bankui,India,No informations on company
Baode Coal Mine,China,China Energy Investment Corp Ltd
Baode Coal Mine,China,HKSCC Nominees Limited
Barail Shale,India,Oil India Ltd
Barnett Shale,United States,Scout Energy Management
Barnett Shale,United States,Hillwood O & G Operating Co.
Barnett Shale,United States,White Knight Production
Barnett Shale,United States,Lakota Energy
Barnett Shale,United States,Merit Energy Company
Barnett Shale,United States,Texxol Operating Company
Barnett Shale,United States,Oakridge Oil And Gas
Barnett Shale,United States,Ridge Oil Company
Barnett Shale,United States,Felderhoff Production
Barnett Shale,United States,1849 Energy
Barnett Shale,United States,Mccutchin Petroleum Corporation
Barnett Shale,United States,Fuse Energy
Barnett Shale,United States,EOG Resources Inc
Barnett Shale,United States,Stephens & Johnson Operating Co.
Barnett Shale,United States,"Faulconer, Vernon E."
Barnett Shale,United States,FDL Operating
Barnett Shale,United States,Bluestone
Barnett Shale,United States,UPP Operating
Barnett Shale,United States,TEP Barnett USA
Barnett Shale,United States,Lime Rock Resources
Barnett Shale,United States,Arrowhead Productions
Barnett Shale,United States,Layline Energy
Barnett Shale,United States,Petrobal Omega 1
Barnett Shale,United States,NBX Energy
Barnett Shale,United States,Citation Oil & Gas Corp
Barnett Shale,United States,North Texas Oil & Gas
Barnett Shale,United States,Brazos River Exploration
Barnett Shale,United States,Bedrock Production
Barnett Shale,United States,Kinder Morgan Production Co.
Barnett Shale,United States,Hunt Oil Company
Barnett Shale,United States,Crown Equipment Co.
Barnett Shale,United States,GHA Barnett
Barnett Shale,United States,XTO Energy
Barnett Shale,United States,Apache Co.
Barnett Shale,United States,Delta Oil & Gas
Barnett Shale,United States,Basa Resources Inc
Barnett Shale,United States,Devon Energy Corp
Barnett Shale,United States,Eagleridge Operating
Barnett Shale,United States,Saddle Operating
Barnett Shale,United States,Endeavor Energy Resources LP
Barnett Shale,United States,BRG Lone Star
Barnett Shale,United States,Sage Natural Resources
Barnett Shale,United States,Enervest Operating
Barnett Shale,United States,Clearly Petroleum
Barzan,Qatar,Qatargas
Basrah Gas project,Iraq,Eni SpA
Basrah Gas project,Iraq,Korea Gas Corporation (KOGAS)
Basrah Gas project,Iraq,Missan Oil Company
Basrah Gas project,Iraq,Basra Oil Company
Beaufort Sea Offshore,United States,No informations on company
Beisky-Zapadniy Coal Mine,Russia,Private individuals
Bernice-Cygnus Coal Mine,South Africa,TerraCom Resources
Bernice-Cygnus Coal Mine,South Africa,Bono Lithihi Investments Group
Berri,Saudi Arabia,Saudi Arabian Oil Company (Saudi Aramco)
Black Thunder Coal Mine,United States,Arch Resources Inc
Blackwater Coal Mine,Australia,BHP Group Ltd
Blackwater Coal Mine,Australia,Mitsubishi Corp
Bogatyr Coal Mine,Kazakhstan,Samruk-Energo
Bogatyr Coal Mine,Kazakhstan,United Company RUSAL
Boikarabelo Coal Mine,South Africa,Resource Generation Australia
Boli Coal Mine,China,Shanxi Huayang Group New Energy Company
Boli Coal Mine,China,Shanxi Chuangrei New Energy Investment Company
Borly Coal Mines,Kazakhstan,Kazakhmys Corporation
Bovanenkovo Zone (Yamal Megaproject),Russia,Gazprom PJSC
Bowland Shale,United Kingdom,No informations on company
Bu Hasa,United Arab Emirates,No informations on company
Buertai Coal Mine,China,HKSCC Nominees Limited
Buertai Coal Mine,China,China Energy Investment Corp Ltd
Buliangou Coal Mine,China,Inner Mongolia Mengtai Group Co Ltd
Buliangou Coal Mine,China,China Huadian Corp Ltd
Buzios (x-Franco),Brazil,Petróleo Brasileiro SA – Petrobras
Buzios (x-Franco),Brazil,Petróleo Brasileiro S.A.
Byerwen Coal Mine,Australia,QCoal
Byerwen Coal Mine,Australia,JFE Steel
Cambrian/Silurian Marine Shale,China,No informations on company
Campos Offshore,Brazil,No informations on company
Candeias Shale,Brazil,Enauta Energia SA
Candeias Shale,Brazil,Petróleo Brasileiro SA – Petrobras
Candeias Shale,Brazil,Petróleo Brasileiro S.A.
Candeias Shale,Brazil,Geopark Ltd
Candeias Shale,Brazil,PetroRio S.A.
Candeias Shale,Brazil,Guindastes Brasil
Carboniferous Shale,Kazakhstan,Exxon Mobil Corp
Carboniferous Shale,Kazakhstan,Cooperative KazMunayGaz
Carboniferous Shale,Kazakhstan,Sinopec Group
Carboniferous Shale,Kazakhstan,National Bank of the Republic of Kazakhstan
Carboniferous Shale,Kazakhstan,
Carboniferous Shale,Kazakhstan,JSC Samruk-Kazyna
Carboniferous Shale,Kazakhstan,Joint-Stock Company “Sovereign Wealth Fund “Samruk Kazyna”
Carboniferous Shale,Kazakhstan,LUKOIL PJSC
Carboniferous Shale,Kazakhstan,Chevron Corp
Carboniferous Shale,Kazakhstan,Eni SpA
Carboniferous Shale,Kazakhstan,Shell PLC
Carboniferous Shale,Kazakhstan,China National Petroleum Corporation (CNPC)
Carmichael Coal Project,Australia,Adani Group
Central Arabian Offshore,Bahrain,No informations on company
Central Arabian Offshore,Iran,No informations on company
Central Arabian Offshore,Saudi Arabia,No informations on company
Central Arabian Onshore,Saudi Arabia,No informations on company
Central Arabian Onshore,Qatar,No informations on company
Central Arabian Onshore,Kuwait,No informations on company
Central Arabian Onshore,Iraq,No informations on company
Central Uplift Onshore Xinjiang Uygur Autonomous Region,China,No informations on company
Cerrejón Coal Mine,Colombia,Glencore PLC
Chagannur No.1 Coal Mine,China,Jizhong Energy Group Co Ltd
Chagannur No.1 Coal Mine,China,China Huarong Asset Management Company
Chagannur No.1 Coal Mine,China,China Energy Investment Corp Ltd
Chahasu Coal Mine,China,China Energy Investment Corp Ltd
Chahasu Coal Mine,China,Hebei Construction & Investment Group Co Ltd
Changcheng No.3 Coal Mine,China,State Grid Corp of China
Changcheng No.3 Coal Mine,China,Shandong Energy Co Ltd
Changcheng No.3 Coal Mine,China,China Huadian Corp Ltd
Changqing,China,CNPC
Chirodzi Coal Mine,Mozambique,Jindal Group
Christina Lake,Canada,No informations on company
Chukchi Sea Offshore,United States,No informations on company
Collingham Shale,South Africa,TotalEnergies SE
Collingham Shale,South Africa,QatarEnergy
Collingham Shale,South Africa,Canadian Natural Resources Ltd (CNRL)
Collingham Shale,South Africa,Africa Energy Corp.
Collingham Shale,South Africa,
Cumberland Coal Mine,United States,Contura Energy
DJ Basin Tight Oil,United States,Whiting Oil & Gas Corporation
DJ Basin Tight Oil,United States,Bison Oil & Gas
DJ Basin Tight Oil,United States,Bayswater Operating
DJ Basin Tight Oil,United States,PDC Energy Inc
DJ Basin Tight Oil,United States,Highpoint Operating Corp.
DJ Basin Tight Oil,United States,Noble Energy
DJ Basin Tight Oil,United States,Extraction Oil & Gas
DJ Basin Tight Oil,United States,Confluence
DJ Basin Tight Oil,United States,Great Western Operating Co.
DJ Basin Tight Oil,United States,Bonanza Creek Energy
DJ Basin Tight Oil,United States,Petro Operating Company
DJ Basin Tight Oil,United States,Verdad Resources
DJ Basin Tight Oil,United States,Crestone Peak Resources
DJ Basin Tight Oil,United States,North Silo Resources
DJ Basin Tight Oil,United States,Helis Oil & Gas Company
DJ Basin Tight Oil,United States,Kaiser Francis Oil Co
DJ Basin Tight Oil,United States,Samson Exploration
DJ Basin Tight Oil,United States,EOG Resources Inc
DJ Basin Tight Oil,United States,Kerr Mcgee Oil & Gas Onshore
Dafosi Coal Mine,China,Shaanxi Coal and Chemical Industry Group Co Ltd
Dafosi Coal Mine,China,Binxian Coal Company
Dafosi Coal Mine,China,Shaanxi Investment Group Co Ltd
Dahaize Coal Mine,China,China Coal Xinji Energy Co Ltd
Dalaihushuo Coal Mine,China,Fude Life Insurance Company
Dalaihushuo Coal Mine,China,Tibet Hengyisheng Investment Company
Dalaihushuo Coal Mine,China,Jilin Province Coal Industry Group
Daliuta Coal Mine,China,China Energy Investment Corp Ltd
Daliuta Coal Mine,China,HKSCC Nominees Limited
Dananhu No. 7 Coal Mine,China,China Reform Holdings Company
Dananhu No. 7 Coal Mine,China,China Chengtong Holdings Group
Dananhu No. 7 Coal Mine,China,China Coal Xinji Energy Co Ltd
Dananhu No. 7 Coal Mine,China,China Energy Investment Corp Ltd
Dananhu No.1 Coal Mine,China,China Energy Investment Corp Ltd
Dananhu West No.2 Coal Mine,China,China Energy Investment Corp Ltd
Daqing,China,No informations on company
Dingji Coal Mine,China,Huaihe Energy
Dingji Coal Mine,China,China Cinda Asset Management
Dipka Coal Mine,India,Coal India Ltd
Dolphin,Qatar,Occidental Petroleum Corp
Dolphin,Qatar,Mubadala Investment Company
Dolphin,Qatar,TotalEnergies SE
Dongzhouyao Coal Mine,China,Jinneng Holding Group Co Ltd
Dovletabad-Donmez,Turkmenistan,No informations on company
Duvernay,Canada,No informations on company
Eagle Ford Shale,United States,Teal Operating
Eagle Ford Shale,United States,XTO Energy
Eagle Ford Shale,United States,Pioneer Natural Resources Co
Eagle Ford Shale,United States,Rosetta Resources
Eagle Ford Shale,United States,Devon Energy Corp
Eagle Ford Shale,United States,Burlington Resources
Eagle Ford Shale,Mexico,No informations on company
Eagle Ford Shale,United States,Ensign Operating LLC
East Natuna (x-Natuna D-Alpha),Indonesia,Harbour Energy PLC
East Natuna (x-Natuna D-Alpha),Indonesia,Kuwait Petroleum Corp
East Natuna (x-Natuna D-Alpha),Indonesia,Petroliam Nasional Berhad (Petronas)
East Natuna (x-Natuna D-Alpha),Indonesia,PTT PLC
East Natuna (x-Natuna D-Alpha),Indonesia,Pertamina Persero PT
Eastern Gas Program,Russia,Novatek
El Descanso Coal Mine,Colombia,Drummond Company
El Sharara,Libya,OMV AG
El Sharara,Libya,TotalEnergies SE
El Sharara,Libya,Repsol SA
El Sharara,Libya,National Oil Corporation (Libya)
Elegest Coal Mine,Russia,Tuva Energy Industrial Company
Elga Coal Mine,Russia,A-Property
Ensham Coal Mine,Australia,Thungela Resources Ltd
Ensham Coal Mine,Australia,LX International
Erkovetskiy Coal Mine,Russia,Russian Coal
Fengjiata Coal Mine,China,Shaanxi Investment Group Co Ltd
Fengjiata Coal Mine,China,Shaanxi Coal and Chemical Industry Group Co Ltd
Fording River,Canada,Teck Resources Ltd
GAM Coal Mine,Indonesia,Titan Infra Energy PT
GAM Coal Mine,Indonesia,LG International
Gachsaran,Iran,National Iranian Oil Company
Galilee Coal Mine,Australia,Mineralogy
Gaohe Coal Mine,China,Lu'an Chemical Group Co Ltd
Gaohe Coal Mine,China,Asian American Continental Coal Company
Gaojiabao Coal Mine,China,Shandong Energy Co Ltd
Gaojialiang No.1 Coal Mine,China,Beijing Energy Holding Co Ltd
Gaojialiang No.1 Coal Mine,China,Ordos Energy Investment and Development Company
Gaojialiang No.1 Coal Mine,China,Shougang Group Co Ltd
Gaotouyao Coal Mine,China,Guangdong Hengjian Investment Holding Co Ltd
Gaotouyao Coal Mine,China,China Energy Investment Corp Ltd
Gaotouyao Coal Mine,China,China Huaneng Group Co Ltd
Gare Pelma Sector II,India,Gujarat State Electricity Corporation
Garzweiler Coal Mine,Germany,RWE AG
Gazprom dobycha Nadym,Russia,Gazprom PJSC
Gazprom dobycha Orenburg,Russia,Gazprom PJSC
Gazprom dobycha Yamburg,Russia,Gazprom PJSC
Gething Coal Mine,Canada,CKD Mines
Gevra Coal Mine,India,Coal India Ltd
Ghawar Ain Dar N,Saudi Arabia,Saudi Arabian Oil Company (Saudi Aramco)
Ghawar Ain Dar S,Saudi Arabia,Saudi Arabian Oil Company (Saudi Aramco)
Ghawar Haradh,Saudi Arabia,Saudi Arabian Oil Company (Saudi Aramco)
Ghawar Hawiyah,Saudi Arabia,Saudi Arabian Oil Company (Saudi Aramco)
Ghawar Shedgum,Saudi Arabia,Saudi Arabian Oil Company (Saudi Aramco)
Ghawar Uthmaniyah,Saudi Arabia,Saudi Arabian Oil Company (Saudi Aramco)
Goldwyer Shale,Australia,No informations on company
Goonyella-Riverside Coal Mine,Australia,BHP Group Ltd
Goonyella-Riverside Coal Mine,Australia,Mitsubishi Corp
Gorgon LNG T1-T3,Australia,No informations on company
Greater Burgan,Kuwait,No informations on company
Greater Liza (Liza),Guyana,No informations on company
Greater Soutpansberg Coal Project,South Africa,Rothe Investments
Greater Soutpansberg Coal Project,South Africa,MC Mining
Greater Turbot (Stabroek),Guyana,Exxon Mobil Corp
Greater Turbot (Stabroek),Guyana,Hess Corporation
Greater Turbot (Stabroek),Guyana,CNOOC International
Grootegeluk Coal Mine,South Africa,Exxaro Resources Ltd
Gulf Coast Centre Offshore,United States,No informations on company
Gulf Deepwater Offshore,Mexico,No informations on company
Guojiatan Coal Mine,China,Shaanxi Yulin Energy Group Co Ltd
Guojiawan Coal Mine,China,Shaanxi Coal and Chemical Industry Group Co Ltd
Guojiawan Coal Mine,China,Fugu State-Owned Asset Management and Operation Company
Guojiawan Coal Mine,China,China Energy Investment Corp Ltd
Guqiao Coal Mine,China,Huaihe Energy
Guqiao Coal Mine,China,China Cinda Asset Management
Guqiao Coal Mine,China,China Energy Investment Corp Ltd
Haerwusu Surface Mine,China,China Energy Investment Corp Ltd
Haerwusu Surface Mine,China,HKSCC Nominees Limited
Halagou Coal Mine,China,China Energy Investment Corp Ltd
Halagou Coal Mine,China,HKSCC Nominees Limited
Halfayah,Iraq,Basra Oil Company
Halfayah,Iraq,Petroliam Nasional Berhad (Petronas)
Halfayah,Iraq,TotalEnergies SE
Halfayah,Iraq,China National Petroleum Corporation (CNPC)
Hambach Coal Mine,Germany,RWE AG
Hamilton County Mine No.1,United States,Alliance Resource Partners LP
Hanglaiwan Coal Mine,China,Shaanxi Youser Group
Hanglaiwan Coal Mine,China,Shaanxi Yanchang Petroleum Group Co Ltd
Harmaliyah,Saudi Arabia,No informations on company
Hassi Messaoud,Algeria,Sonatrach SPA
Hassi R'Mel (Domestic),Algeria,Sonatrach SPA
Haynesville/Bossier Shale,United States,Vine Oil & Gas
Haynesville/Bossier Shale,United States,Sklar Exploration Company
Haynesville/Bossier Shale,United States,BPX (WSF Operating)
Haynesville/Bossier Shale,United States,Exco Operating Co.
Haynesville/Bossier Shale,United States,Indigo Minerals
Haynesville/Bossier Shale,United States,EGH Operating
Haynesville/Bossier Shale,United States,CCI
Haynesville/Bossier Shale,United States,BPX (KCS Resources)
Haynesville/Bossier Shale,United States,Goodrich Petroleum Co.
Haynesville/Bossier Shale,United States,Blue Dome
Haynesville/Bossier Shale,United States,Chesapeake Operating
Haynesville/Bossier Shale,United States,R. Lacy Services
Haynesville/Bossier Shale,United States,Petroquest Energy
Haynesville/Bossier Shale,United States,KJ Energy
Haynesville/Bossier Shale,United States,Harleton Oil & Gas
Haynesville/Bossier Shale,United States,CRD Operating
Haynesville/Bossier Shale,United States,Comstock Oil & Gas
Haynesville/Bossier Shale,United States,Weatherly Oil & Gas
Haynesville/Bossier Shale,United States,"Comstock Oil & Gas, LP"
Haynesville/Bossier Shale,United States,Tellurian Operating
Haynesville/Bossier Shale,United States,TMR Exploration
Haynesville/Bossier Shale,United States,Ellora Energy
Haynesville/Bossier Shale,United States,Shelby Boswell Operator
Haynesville/Bossier Shale,United States,Lime Rock Resources
Haynesville/Bossier Shale,United States,Sonerra Resources Corporation
Haynesville/Bossier Shale,United States,BRG Lone Star
Haynesville/Bossier Shale,United States,Chevron Corp
Haynesville/Bossier Shale,United States,East Texas Exploration
Haynesville/Bossier Shale,United States,Palmer Petroleum
Haynesville/Bossier Shale,United States,Highmark Energy
Haynesville/Bossier Shale,United States,Brooks Petroleum
Haynesville/Bossier Shale,United States,Three Sisters Petroleum
Haynesville/Bossier Shale,United States,Empresa Operating
Haynesville/Bossier Shale,United States,XTO Energy
Haynesville/Bossier Shale,United States,RFE Operating
Haynesville/Bossier Shale,United States,Covey Park Operating
Haynesville/Bossier Shale,United States,Sheridan Production Company
Haynesville/Bossier Shale,United States,Sabine Oil & Gas Corporation
Haynesville/Bossier Shale,United States,BP PLC
Haynesville/Bossier Shale,United States,Merit Energy Company
Haynesville/Bossier Shale,United States,Valence Operating Company
Haynesville/Bossier Shale,United States,New Century Exploration
Haynesville/Bossier Shale,United States,Dallas Production
Haynesville/Bossier Shale,United States,Aethon Energy
Haynesville/Bossier Shale,United States,Amplify Energy Corp
Haynesville/Bossier Shale,United States,Tanos Exploration
Haynesville/Bossier Shale,United States,Trivium Operating
Haynesville/Bossier Shale,United States,Titan Rock E&P
Haynesville/Bossier Shale,United States,GEP Haynesville
Haynesville/Bossier Shale,United States,Ensight IV Energy
Haynesville/Bossier Shale,United States,Rockcliff Energy Operating
Haynesville/Bossier Shale,United States,Verado Energy
Haynesville/Bossier Shale,United States,Brookston Energy
Haynesville/Bossier Shale,United States,Breitburn Operating
Haynesville/Bossier Shale,United States,Brix Operating
Haynesville/Bossier Shale,United States,BPX Operating
Haynesville/Bossier Shale,United States,Pine Wave Energy Partners Operating
Haynesville/Bossier Shale,United States,Trinity Operating (USG)
Hetaoyu Coal Mine,China,China Huaneng Group Co Ltd
Hongliulin Coal Mine,China,Shaanxi Yulin Energy Group Co Ltd
Hongliulin Coal Mine,China,China Development Bank
Hongliulin Coal Mine,China,Shaanxi Coal and Chemical Industry Group Co Ltd
Hongliulin Coal Mine,China,Shenmu City State-Owned Assets Operation Co
Hongqinghe Coal Mine,China,Inner Mongolia Yitai Investment Co Ltd
Hongqinghe Coal Mine,China,Inner Mongolia Guanglian Minzu Economic Development Company
Hongqinghe Coal Mine,China,Inner Mongolia Coal Field Geological Bureau
Hongqingliang Coal Mine,China,Shanxi Zhongbo Real Estate Development Company
Hongqingliang Coal Mine,China,Beijing Energy Holding Co Ltd
Hongqingliang Coal Mine,China,Shougang Group Co Ltd
Hongqingliang Coal Mine,China,China Coal Xinji Energy Co Ltd
Hongshaquan No.1 Coal Mine,China,Yima Coal Industry Group
Hongshaquan No.1 Coal Mine,China,Beijing Lirui Investment Company
Hongshuliang Coal Mine,China,Erdos Chunhui Forest Company
Hongshuliang Coal Mine,China,Junggar Juli Cultivation Company
Hongshuliang Coal Mine,China,Inner Mongolia Shengli Resource Group
Hongshuliang Coal Mine,China,Kailuan Group Ltd Liability Corp
Horizon Oil Sands Project,Canada,No informations on company
Huangling No.2 Coal Mine,China,Shaanxi Coal and Chemical Industry Group Co Ltd
Huangling No.2 Coal Mine,China,Jiangsu Yueda Group
Huangling No.2 Coal Mine,China,Industrial and Commercial Bank of China
Huangyuchuan Coal Mine,China,China Energy Investment Corp Ltd
Huangyuchuan Coal Mine,China,Elion Resources Group Ltd
Hulusu Coal Mine,China,Shenergy Group Co Ltd
Hulusu Coal Mine,China,China Coal Xinji Energy Co Ltd
Hulusu Coal Mine,China,Sinopec
Hulusu Coal Mine,China,Manshi Group
Hunter Valley North Coal Mine,Australia,Glencore PLC
Hunter Valley North Coal Mine,Australia,Yankuang Energy
Hunter Valley South Coal Mine,Australia,Yankuang Energy
Hunter Valley South Coal Mine,Australia,Glencore PLC
Huojitu Well Of Daliuta Coal Mine,China,China Energy Investment Corp Ltd
Huojitu Well Of Daliuta Coal Mine,China,HKSCC Nominees Limited
Hutton Coal Mine,Australia,Valiant Resources
Inaglinskaya-2 Mine,Russia,Kolmar
Indexim Coalindo Coal Mine,Indonesia,Indexim Coalindo
Inner Mongolia Erlintu Coal Mine,China,Shenmu Taide Energy Investment Company
Inner Mongolia Erlintu Coal Mine,China,Erdos Jiuyuan Investment Company
Inner Mongolia Erlintu Coal Mine,China,Shendong Tianlong Group
Inner Mongolia Erlintu Coal Mine,China,Inner Mongolia Huineng Coal and Electricity Group
Inner Mongolia Erlintu Coal Mine,China,Inner Mongolia Kaiyuan Shiye Group
"Integrated Belpahar, Lakhanpur, Lilari Coal Mine",India,Coal India Ltd
Irati Shale,Brazil,No informations on company
Jiangjun Gebi No.2 Coal Mine,China,Tebian Electric Apparatus (TBEA)
Jiangjun Gebi No.2 Coal Mine,China,Xinjiang Joinworld Company
Jinjie Coal Mine,China,China Energy Investment Corp Ltd
Jinjie Coal Mine,China,State Grid Corp of China
Jinjitan Coal Mine,China,Shaanxi Yanchang Petroleum Group Co Ltd
Jinjitan Coal Mine,China,Shandong Energy Co Ltd
Jinjitan Coal Mine,China,Jiaxing Dejian Investment Partnership
Johan Sverdrup,Norway,Equinor ASA
Johan Sverdrup,Norway,Lundin Energy AB
Johan Sverdrup,Norway,Petoro AS
Johan Sverdrup,Norway,Aker BP ASA
Johan Sverdrup,Norway,BP PLC
Johan Sverdrup,Norway,TotalEnergies SE
KPC Operation Coal Mine,Indonesia,Bumi Resources
Kaniha Coal Mine,India,Coal India Ltd
Karachaganak,Kazakhstan,LUKOIL PJSC
Karachaganak,Kazakhstan,Chevron Corp
Karachaganak,Kazakhstan,Joint-Stock Company “Sovereign Wealth Fund “Samruk Kazyna”
Karachaganak,Kazakhstan,Shell PLC
Karachaganak,Kazakhstan,Eni SpA
Kashagan,Kazakhstan,JSC Samruk-Kazyna
Kashagan,Kazakhstan,Cooperative KazMunayGaz
Kashagan,Kazakhstan,Eni SpA
Kashagan,Kazakhstan,Exxon Mobil Corp
Kashagan,Kazakhstan,Shell PLC
Kearl,Canada,No informations on company
Kerandari BC,India,Government of India
Khafji,Kuwait,Saudi Arabian Oil Company (Saudi Aramco)
Khafji,Kuwait,Kuwait Petroleum Corp
Khurais project,Saudi Arabia,Saudi Arabian Oil Company (Saudi Aramco)
Khursaniyah,Saudi Arabia,Saudi Arabian Oil Company (Saudi Aramco)
