New_project;Carbon_Bomb_Name;Country;Potential_GtCO2;Fuel_type;GEM_ID;GEM_source;Latitude;Longitude;Operators;Owners;Parent_Company;Multiple_unit_concerned
True;Carmichael Coal Project;Australia;2.1068964;Coal;M0023;https://www.gem.wiki/Carmichael_Coal_Project;-22.073611;146.329722;Adani Mining;Adani Mining;Adani Group;
True;Valeria Coal Mine;Australia;2.03280264;Coal;M0108;https://www.gem.wiki/Valeria_coal_project;-23.470142;148.033559;Valeria Coal Holdings;Glencore;Glencore;
True;Wilton and Fairhill Coal Projects;Australia;1.867404;Coal;M0118;https://www.gem.wiki/Wilton_and_Fairhill_coal_project;-23.41261;148.576971;Futura Resources, Sojitz Coal;Futura Resources (50%), Sojitz (50%);Futura Resources (50%), Sojitz (50%);
True;Galilee Coal Mine;Australia;1.81629;Coal;M0041;https://www.gem.wiki/Galilee_Coal_Project;-23.498536;145.94229;Waratah Coal;Waratah Coal;Mineralogy;
True;Hutton Coal Mine;Australia;1.68599904;Coal;M0051;https://www.gem.wiki/Hutton_coking_coal_project;-25.951645;148.961201;Valiant Resources;Valiant Resources;Valiant Resources;
True;Olive Downs Coal Mine;Australia;1.37120808;Coal;M0086;https://www.gem.wiki/Olive_Downs_coal_mine;-22.2204628;148.4033203;Pembroke Resources;Pembroke Resources;Pembroke Resources;
True;Saraji East Coal Mine;Australia;1.33919544;Coal;M0097;https://www.gem.wiki/Saraji_East_coal_mine;-22.371371;148.299848;Queensland Coal, BHP Mitsubishi Alliance (BMA);BHP (50%), Mitsubishi Corporation (50%);BHP (50%), Mitsubishi Corporation (50%);
True;Phulbari Coal Mine;Bangladesh;1.39606896;Coal;M0124;https://www.gem.wiki/Phulbari_coal_mine;25.9468733;89.5532405;Global Coal Management Resources (GCM);Global Coal Management Resources (GCM);GCM Resources;
True;Project Motheo;Botswana;2.179548;Coal;M0129;https://www.gem.wiki/Morupule_coal_mine;-22.515137;27.024339;Bothakga Burrow, Basil Read Mining;Minerals Development Company Botswana;Minerals Development Company Botswana;
False;Maritsa Coal Mines;Bulgaria;2.5191824;Coal;M3701;https://www.gem.wiki/Troyanovo_3_Coal_Mine;42.1677;26.0376;Mini Maritsa Iztok EAD;Bulgarian Energy Holding;Bulgarian Energy Holding;
False;Fording River;Canada;1.034808588;Coal;M0142;https://www.gem.wiki/Fording_River_Operations;50.19284;-114.86473;Teck Coal;Teck Resources;Teck Resources;
True;Murray River Coal Mine;Canada;8.4833496;Coal;M0152;https://www.gem.wiki/Murray_River;53.5226333;-118.8403882;HD Mining;HD Mining;HD Mining International;
True;Gething Coal Mine;Canada;2.0808216;Coal;M0144;https://www.gem.wiki/Gething_coal_mine;56.038803;-122.305087;CKD Mines;CKD Mines;CKD Mines;
False;Qingshuiying Coal Mine;China;1.82806932;Coal;M0311;https://www.gem.wiki/Qingshuiying_Coal_Mine_(Phase_1_Project);38.125694;106.728935;Shenhua Ningxia Coal Group;National Energy Investment Group (51%), Ningxia State-Owned Capital Operation Group (49%);China Energy (51%), Ningxia State-Owned Capital Operation Group (49%);
False;Sijiazhuang Coal Mine;China;1.559805723;Coal;M0348;https://www.gem.wiki/Sijiazhuang_Coal_Mine;37.585557;113.621388;Yangquan Coal Industry Group;Yangquan Coal Industry Group;Huayang New Material Technology Group;
False;Shangyuquan Coal Mine;China;1.428774072;Coal;M0327;https://www.gem.wiki/Shangyuquan_Coal_Mine;39.256901;111.22119;Shanxi Luneng Hequ Electricity & Coal Development Company;Guangdong Jinma Tourism Group (70%), Shanxi Jinneng Group (30%);Guangdong Jinma Tourism Group (70%), Jinneng Group (30%);
False;Shaqu No.1 Coal Mine;China;1.38630624;Coal;M0335;https://www.gem.wiki/Shaqu_No.1_Mine;37.411799;110.861439;Huajin Coking Coal Company;China Coal (28%), Shanxi Coking Coal Group (51%), Others (21%);China Coal (28%), Shanxi Coking Coal Group (51%), Others (21%);
False;Shahaiji No.1 Coal Mine;China;1.1959332;Coal;M0321;https://www.gem.wiki/Shahaiji_No.1_coal_mine;46.553039;86.205922;State Grid Energy Hefeng Coal Power Company;China Energy Investment Corporation;China Energy;
