Bank,Company,2016,2017,2018,2019,2020,2021,2022,Grand Total
ANZ,AGL Energy Ltd,0,0,0,116841313,0,0,0,116841313.0
ANZ,TotalEnergies SE,0,0,0,0,341250503,0,0,341250503.0
ANZ,State Power Investment Corp (SPIC),97656855,0,50934519,0,0,0,0,148591374.0
ANZ,State Grid Corp of China,75434669,171496615,78708624,0,0,33273706,0,358913614.0
ANZ,Shell PLC,0,0,0,388000000,0,0,0,388000000.0
ANZ,Oil and Natural Gas Corporation Ltd (ONGC),0,0,0,166666667,0,0,0,166666667.0
ANZ,Inpex Corp,600000000,455769230,0,0,1050875000,0,1505600000,3612244230.0
ANZ,Zhejiang Provincial Energy Group Co Ltd,0,50000000,0,0,0,0,0,50000000.0
ANZ,Exxon Mobil Corp,400000000,0,0,0,0,0,0,400000000.0
ANZ,China Petrochemical Corporation (Sinopec Group),90000000,270833333,0,0,0,0,0,360833333.0
ANZ,CLP Holdings Ltd,0,50448238,0,0,125325606,70598950,117515970,363888764.0
ANZ,BP PLC,0,158041681,0,0,241230051,0,0,399271732.0
ANZ,BHP Group Ltd,0,0,0,57500000,2857143,0,0,60357143.0
ANZ,Glencore PLC,0,45843750,66119985,111677419,154693338,0,46412903,424747395.0
Agricultural Bank of China,Jinneng Holding Group Co Ltd,119965447,141933715,263134723,253504650,561987198,0,147719103,1488244835.0
Agricultural Bank of China,Jizhong Energy Group Co Ltd,0,0,138819530,50074518,0,0,0,188894048.0
Agricultural Bank of China,Lu'an Chemical Group Co Ltd,96181628,0,43181700,0,46587551,0,0,185950880.0
Agricultural Bank of China,Shaanxi Yanchang Petroleum Group Co Ltd,298623507,0,402339116,455787399,557166567,0,0,1713916589.0
Agricultural Bank of China,Shandong Energy Co Ltd,0,419672877,395703356,298483926,324739613,341024188,256735247,2036359206.0
Agricultural Bank of China,State Grid Corp of China,772010000,29883804,262563880,865502160,1386568999,3751992456,2610956250,9679477550.0
Agricultural Bank of China,Shougang Group Co Ltd,1622303,0,0,0,0,0,0,1622303.0
Agricultural Bank of China,State Power Investment Corp (SPIC),465251051,320206560,319147338,1335657984,1161139866,514130902,490780124,4606313823.0
Agricultural Bank of China,TBEA Co Ltd,2304645,0,0,0,6412926,0,0,8717571.0
Agricultural Bank of China,Zhejiang Provincial Energy Group Co Ltd,0,81634500,99652140,102522240,260637480,100998585,0,645444945.0
Agricultural Bank of China,Inpex Corp,0,455769230,0,0,0,0,0,455769230.0
Agricultural Bank of China,Shenergy Group Co Ltd,0,0,0,85285282,0,0,111789000,197074282.0
Agricultural Bank of China,Inner Mongolia Mengtai Group Co Ltd,0,0,0,43558612,0,0,0,43558612.0
Agricultural Bank of China,Huayang New Material Technology Group Co Ltd,152045000,183138000,79348500,0,144426000,0,0,558957500.0
Agricultural Bank of China,Beijing Energy Holding Co Ltd,180670028,0,330439315,1108988,113903261,208475358,366444663,1201041613.0
Agricultural Bank of China,Hebei Construction & Investment Group Co Ltd,0,46298288,69659242,159917750,53537250,0,0,329412531.0
Agricultural Bank of China,Guangdong Hengjian Investment Holding Co Ltd,65334420,340647563,0,40972320,117162800,385347420,80687340,1030151863.0
Agricultural Bank of China,China ZhenHua Oil Co Ltd,247660875,0,0,0,0,0,0,247660875.0
Agricultural Bank of China,China Petrochemical Corporation (Sinopec Group),648101001,226666660,133333400,133333334,942744230,356597000,301818000,2742593625.0
Agricultural Bank of China,China National Petroleum Corporation (CNPC),1900240000,86893800,785830000,2171800000,2599569000,849640000,2011351500,10405324300.0
Agricultural Bank of China,China National Offshore Oil Corp (CNOOC),0,0,0,136363636,816039976,0,0,952403612.0
Agricultural Bank of China,China Huaneng Group Co Ltd,647517420,227740570,197373735,346033458,66807728,168663096,210299656,1864435663.0
Agricultural Bank of China,China Huadian Corp Ltd,935007190,720308546,234571274,1036903909,1020666598,420034378,518929217,4886421111.0
Agricultural Bank of China,China Energy Investment Corp Ltd,1831431160,290328207,9620958,175843086,372897364,112030436,253677495,3045828707.0
Agricultural Bank of China,China Datang Corp,166200147,108634494,0,0,165390120,376056555,115958986,932240302.0
