Bank,Company,2016,2017,2018,2019,2020,2021,2022,Grand Total
Agricultural Bank of China,Hubei Yihua Chemical Industry Co Ltd,10218037,0,0,0,0,0,0,10218037.0
BBVA,Petróleos Mexicanos (PEMEX),1057016800,1012500000,814878756,1293687644,561869769,0,301259319,5041212289.0
BBVA,Pioneer Natural Resources Co,0,0,0,0,54166667,0,0,54166667.0
BBVA,RWE AG,0,0,0,165629642,0,0,0,165629642.0
BBVA,Repsol SA,331621000,54479000,0,0,299934624,113365881,0,799400505.0
BBVA,Petroquimica Comodoro Rivadavia SA,0,0,0,0,2649017,5808684,3580803,12038504.0
BBVA,Tecpetrol International SA,0,175000000,0,0,0,0,0,175000000.0
BBVA,TotalEnergies SE,0,0,0,198838847,382334334,0,0,581173181.0
BBVA,Unit Corp,0,0,0,0,201338388,0,0,201338388.0
BBVA,YPF SA,338062500,0,0,0,13577539,4025906,0,355665945.0
BBVA,SM Energy Co,244980209,0,83333333,0,0,0,0,328313542.0
BBVA,Pan American Energy Group SL,0,0,0,0,0,5158343,0,5158343.0
BBVA,PrimeEnergy Resources Corp,0,0,0,0,0,300000000,0,300000000.0
BBVA,Kinder Morgan Inc,46875000,0,0,0,0,0,0,46875000.0
BBVA,Aethon Energy Management LLC,0,0,0,0,0,83333333,0,83333333.0
BBVA,Callon Petroleum Co,0,20833333,0,0,0,0,0,20833333.0
BBVA,China Huadian Corp Ltd,0,0,0,0,45454545,0,0,45454545.0
BBVA,China Petrochemical Corporation (Sinopec Group),0,270833333,0,133333334,0,0,0,404166667.0
BBVA,Diamondback Energy Inc,0,0,250000000,0,0,0,0,250000000.0
BBVA,Occidental Petroleum Corp,161207214,0,0,0,0,0,0,161207214.0
BBVA,Galp Energia SGPS SA,102483293,0,0,0,94249676,0,0,196732969.0
BBVA,Glencore PLC,39741920,45843750,66119985,139222820,154693338,50166508,46412903,542201224.0
BBVA,Hilcorp Energy Co,0,0,0,0,0,125147238,0,125147238.0
BBVA,Eni SpA,0,0,0,134538075,0,0,0,134538075.0
BNP Paribas,Mitsubishi Corp,0,0,0,0,0,22675740,0,22675740.0
BNP Paribas,Mubadala Investment Co PJSC,31616667,0,60704000,0,361333334,62569700,0,516223700.0
BNP Paribas,Murphy Oil Corp,240178571,225892857,0,0,0,0,0,466071428.0
BNP Paribas,OMV AG,0,0,269166615,213177078,125689355,0,0,608033048.0
BNP Paribas,POSCO Holdings Inc,0,0,42425706,76366272,63808262,0,0,182600241.0
BNP Paribas,PPL Corp,0,0,81000000,0,0,0,0,81000000.0
BNP Paribas,Pampa Energia SA,0,0,0,0,0,0,5199203,5199203.0
BNP Paribas,Pertamina Persero PT,364285714,145833334,150000000,0,0,271428571,233333333,1164880952.0
BNP Paribas,Petróleo Brasileiro SA – Petrobras,0,0,1372809081,484149856,503750000,459525710,0,2820234646.0
BNP Paribas,Petróleos Mexicanos (PEMEX),0,1023172590,946316820,1040000000,561869769,0,0,3571359179.0
BNP Paribas,RWE AG,0,0,0,165629642,0,0,0,165629642.0
BNP Paribas,Repsol SA,0,54479000,0,0,299934624,113365881,0,467779505.0
BNP Paribas,Kuwait Petroleum Corp,0,0,0,142857143,0,0,0,142857143.0
BNP Paribas,Shell PLC,1335858749,0,0,2218085000,4565867688,0,0,8119811437.0
BNP Paribas,State Power Investment Corp (SPIC),0,0,0,36506377,0,0,0,36506377.0
BNP Paribas,TotalEnergies SE,513467333,588400626,118360000,331529578,3896924456,409208870,3004482058,8862372921.0
BNP Paribas,YPF SA,0,0,0,0,0,7482187,4313471,11795658.0
BNP Paribas,Petroliam Nasional Berhad (Petronas),0,0,69000000,0,133778571,0,0,202778571.0
BNP Paribas,Saudi Arabian Oil Company (Saudi Aramco),0,214285714,1400000000,1427632384,2083333333,1761904761,740563741,7627719933.0
BNP Paribas,Kinder Morgan Inc,46875000,0,0,0,0,0,0,46875000.0
BNP Paribas,Inpex Corp,0,455769230,0,0,1050875000,0,1690600000,3197244230.0
BNP Paribas,AGL Energy Ltd,0,0,0,116841313,0,0,0,116841313.0
BNP Paribas,Abu Dhabi National Oil Company (ADNOC),0,0,0,357142857,0,0,0,357142857.0
BNP Paribas,Adani Group,0,0,0,49809160,0,0,0,49809160.0
BNP Paribas,Aker BP ASA,705454700,1036363636,50000000,696969697,662878787,430887393,833333333,4415887546.0
BNP Paribas,Korea Gas Corporation (KOGAS),0,133333334,0,100000000,58054500,100000000,51131200,442519034.0
BNP Paribas,BP PLC,1031959794,489412395,441769159,473570567,11263265581,138808353,319729142,14158514990.0
BNP Paribas,CLP Holdings Ltd,0,0,0,0,35313766,0,0,35313766.0
BNP Paribas,Chevron Corp,650525553,0,0,0,571428570,0,0,1221954123.0
BNP Paribas,BHP Group Ltd,0,0,0,57500000,2857143,0,0,60357143.0
BNP Paribas,Delek Group Ltd,0,0,0,249811865,0,78066208,0,327878073.0
BNP Paribas,Eni SpA,562902996,950000000,282857002,6632220000,790418869,944122129,548272543,10710793539.0
BNP Paribas,Equinor ASA,333003000,0,0,0,568187917,298899359,0,1200090276.0
BNP Paribas,Exxon Mobil Corp,0,0,0,0,636120000,0,0,636120000.0
BNP Paribas,Galp Energia SGPS SA,102483293,115601370,0,0,94249676,0,0,312334339.0
BNP Paribas,Glencore PLC,85627248,45843750,101599889,139222820,154693338,0,0,526987045.07504827
BNP Paribas,ITOCHU Corp,0,44166668,0,0,0,0,0,44166668.0
BNP Paribas,Indonesia Asahan Aluminium Persero PT,0,0,207593795,0,302741254,68116782,0,578451831.0
BNP Paribas,China Petrochemical Corporation (Sinopec Group),0,0,0,133333334,0,0,0,133333334.0
BPCE/Natixis,Mitsui & Co Ltd,0,0,0,0,286666667,0,0,286666667.0
BPCE/Natixis,Mubadala Investment Co PJSC,0,94850000,60704000,0,108400000,0,0,263954000.0
BPCE/Natixis,Petróleos Mexicanos (PEMEX),640000000,78084000,0,0,0,0,0,718084000.0
BPCE/Natixis,Kinder Morgan Inc,123798077,0,0,0,0,0,0,123798077.0
BPCE/Natixis,Saudi Arabian Oil Company (Saudi Aramco),0,0,0,165666250,0,500000000,0,665666250.0
BPCE/Natixis,Shell PLC,0,0,0,388000000,433608000,0,0,821608000.0
BPCE/Natixis,TotalEnergies SE,113333333,279909029,0,0,382334334,0,84096733,859673429.0
BPCE/Natixis,Repsol SA,0,0,0,92681667,123600262,113365881,0,329647810.0
BPCE/Natixis,Glencore PLC,0,0,0,0,0,22666667,0,22666667.0
BPCE/Natixis,Comstock Resources Inc,0,0,141666667,0,0,0,0,141666667.0
BPCE/Natixis,Eni SpA,0,266750000,0,0,0,500000000,184523809,951273809.0
BPCE/Natixis,Aker BP ASA,0,0,0,0,454545454,133333334,0,587878788.0
BPCE/Natixis,Ascent Resources LLC,0,500000000,362500000,333333333,0,0,0,1195833333.0
BPCE/Natixis,Chesapeake Energy Corp,0,106000000,54285700,0,60000000,0,0,220285700.0
BPCE/Natixis,Gazprom PJSC,0,0,0,0,200000000,0,0,200000000.0
BPCE/Natixis,Delek Group Ltd,199849492,0,0,0,0,0,0,199849492.0
BPCE/Natixis,EN+ Group International PJSC,0,8968092,2255183,7359110,0,0,0,18582385.0
BPCE/Natixis,China National Offshore Oil Corp (CNOOC),0,0,145000000,0,0,0,0,145000000.0
Bank of America,Korea Gas Corporation (KOGAS),0,133333334,0,100000000,0,0,62500000,295833334.0
Bank of America,Petroliam Nasional Berhad (Petronas),0,0,0,0,1080000000,648000000,0,1728000000.0
Bank of America,Peabody Energy Corp,0,0,0,108000000,0,0,0,108000000.0
Bank of America,PPL Corp,308768697,152351505,0,462259527,0,550746806,0,1474126535.0
Bank of America,POSCO Holdings Inc,0,0,42425706,76366272,63808262,0,0,182600241.0
Bank of America,Occidental Petroleum Corp,1159548889,333333333,1245000000,8254413847,667500000,356000000,0,12015796069.0
Bank of America,Nippon Steel Corp,0,28028257,0,0,0,265325920,0,293354177.0
Bank of America,Murphy Oil Corp,240178571,225892857,228571429,78571429,0,78571429,160000000,1011785715.0
Bank of America,Mubadala Investment Co PJSC,31616667,0,0,0,108400000,0,81300000,221316667.0
Bank of America,Mitsui & Co Ltd,0,0,0,0,0,0,41666667,41666667.0
Bank of America,Petróleo Brasileiro SA – Petrobras,2310704460,259999995,0,368484704,1232873264,656465300,0,4828527722.0
Bank of America,Matador Resources Co,66141665,0,175000000,0,0,0,112000000,353141665.0
Bank of America,Legacy Reserves Inc,0,0,0,187500000,0,0,0,187500000.0
Bank of America,Kraken Oil & Gas LLC,0,0,0,0,0,0,86940000,86940000.0
Bank of America,National Fuel Gas Co,166666667,100000000,247500000,0,209820417,162500000,333333333,1219820417.0
Bank of America,Petróleos Mexicanos (PEMEX),2137016800,175500000,800000000,1010076889,337121862,1464430439,0,5924145989.0
Bank of America,RWE AG,0,0,0,165629642,604040344,0,0,769669986.0
Bank of America,QatarEnergy,0,0,0,0,0,944444445,0,944444445.0
Bank of America,YPF SA,0,450750000,0,0,0,0,0,450750000.0
Bank of America,Vermilion Energy Inc,0,37500000,0,0,0,0,50000000,87500000.0
Bank of America,TotalEnergies SE,1124768118,0,0,268527887,691823895,0,0,2085119900.0
Bank of America,Teck Resources Ltd,53822917,0,0,0,0,0,0,53822917.0
Bank of America,Suncor Energy Inc,0,0,0,0,0,125000000,0,125000000.0
Bank of America,State Power Investment Corp (SPIC),18084603,116985089,0,0,94380062,85000000,0,314449754.0
Bank of America,State Grid Corp of China,0,141032512,78708624,0,0,0,0,219741136.0
Bank of America,Southwestern Energy Co,632140000,331250000,577306147,285714286,61478175,475145510,231818182,2594852301.0
Bank of America,SilverBow Resources Inc,0,0,0,0,0,0,96875000,96875000.0
Bank of America,Shell PLC,0,0,0,388000000,1354590001,0,0,1742590001.0
Bank of America,Saudi Arabian Oil Company (Saudi Aramco),0,0,0,1177632384,533333333,0,526278027,2237243744.0
Bank of America,SM Energy Co,302480209,0,83333333,0,0,80000000,0,465813542.0
Bank of America,Repsol SA,0,0,0,0,299934624,113365881,0,413300505.0
Bank of America,Range Resources Corp,0,0,0,0,134523810,75000000,269841270,479365080.0
Bank of America,Kinder Morgan Inc,153846154,178571429,694805195,0,125000000,371666667,441666667,1965556112.0
Bank of America,Pioneer Natural Resources Co,403650000,0,500000000,0,905347222,371527777,0,2180524999.0
Bank of America,Inpex Corp,0,0,0,0,0,0,110000000,110000000.0
Bank of America,Mitsubishi Corp,0,20000000,0,0,0,0,0,20000000.0
Bank of America,Hunt Consolidated Inc,0,0,0,0,140790642,0,0,140790642.0
Bank of America,China Petrochemical Corporation (Sinopec Group),200000001,226666660,133333400,133333334,230769230,200000000,0,1124102625.0
Bank of America,China National Petroleum Corporation (CNPC),0,0,0,0,133333333,0,0,133333333.0
Bank of America,China Huaneng Group Co Ltd,165000000,0,0,0,0,0,0,165000000.0
Bank of America,Chevron Corp,738025553,849999334,800000000,100000000,2171428570,0,0,4659453457.0
Bank of America,Chesapeake Energy Corp,339392000,83333333,333333333,375000000,233775244,444753178,222222222,2031809310.0
Bank of America,Canadian Natural Resources Ltd (CNRL),0,500000000,0,0,366666667,0,0,866666667.0
Bank of America,Callon Petroleum Co,0,60833333,0,2500000000,0,81250000,417857143,3059940476.0
Bank of America,CNX Resources Corp,0,0,57142857,0,602333333,244444444,45454545,949375179.0
Bank of America,ITOCHU Corp,0,44166668,0,0,0,0,0,44166668.0
Bank of America,BHP Group Ltd,0,0,0,57500000,2857143,0,0,60357143.0
Bank of America,Antero Resources Corp,0,0,0,0,0,195714285,0,195714285.0
Bank of America,Aethon Energy Management LLC,0,0,0,0,0,83333333,0,83333333.0
Bank of America,Adani Group,0,22556391,0,101782844,21531100,39074960,0,184945296.0
Bank of America,Abu Dhabi National Oil Company (ADNOC),0,124778465,0,0,0,278705598,0,403484063.0
Bank of America,APA Corp,0,0,511111111,83333333,104166667,0,335155909,1033767020.0
Bank of America,Comstock Resources Inc,213750000,97857142,141666667,0,155610714,272666667,214285714,1095836904.0
Bank of America,ConocoPhillips,1026605000,1939416664,828571429,0,166666667,0,813636364,4774896124.0
Bank of America,BP PLC,1031959794,489412395,316667300,791666667,2488656567,314768877,0,5433131601.0
Bank of America,Delek Group Ltd,0,0,0,0,0,0,59741850,59741850.0
Bank of America,Continental Resources Inc/OK,0,166666667,375000000,0,166666667,395454540,122083333,1225871207.0
Bank of America,Hilcorp Energy Co,0,0,140790642,0,0,125147238,0,265937880.0
Bank of America,Gulfport Energy Corp,290578566,0,0,0,0,0,0,290578566.0
Bank of America,Geopark Ltd,0,0,0,0,0,50000000,0,50000000.0
Bank of America,Exxon Mobil Corp,3233333000,0,833333333,2650000000,7502786665,1111111111,0,15330564109.0
Bank of America,Evraz PLC,0,0,0,334268,0,0,0,334268.0
Bank of America,Equinor ASA,0,0,333333000,0,1818187917,298899359,0,2450420276.0
Bank of America,Glencore PLC,39741920,86804280,87953772,111677419,254210713,46934346,46412903,673735353.0
Bank of America,Endeavor Energy Resources LP,0,125000000,0,71428571,85714286,0,150000000,432142857.0
Bank of America,Earthstone Energy Inc,0,0,0,0,0,0,419444444,419444444.0
Bank of America,EQT Corp,0,611123067,0,200000000,428184982,76923076,344444444,1660675569.0
Bank of America,EN+ Group International PJSC,0,27272727,0,0,0,0,0,27272727.0
Bank of America,Discovery Natural Resources LLC,0,0,175500000,10125000,0,0,0,185625000.0
Bank of America,Diamondback Energy Inc,0,0,500000000,1259250000,125000000,449285715,264285714,2597821429.0
Bank of America,Eni SpA,280875000,0,282857002,140000000,0,663007957,293740888,1660480847.0
Bank of America,Devon Energy Corp,139466250,107661196,490476190,514285715,175000000,0,0,1426889351.0
Bank of China,Shaanxi Yanchang Petroleum Group Co Ltd,286305552,0,214982592,421660323,148327172,149806958,0,1221082596.0
Bank of China,Shaanxi Investment Group Co Ltd,0,0,109514550,109098750,0,0,23558550,242171850.0
Bank of China,Shaanxi Coal and Chemical Industry Group Co Ltd,130064130,286650146,126832243,170185316,2191310978,0,0,2905042813.0
Bank of China,Saudi Arabian Oil Company (Saudi Aramco),172222222,0,0,1343298634,533333333,214285714,526278027,2789417930.0
Bank of China,Lu'an Chemical Group Co Ltd,147643454,117708973,201693909,71947666,0,0,49820991,588814994.0
Bank of China,Pertamina Persero PT,0,0,0,0,0,0,325925926,325925926.0
Bank of China,Kailuan Group Ltd Liability Corp,0,0,69276600,97665300,0,0,0,166941900.0
Bank of China,Shaanxi Yulin Energy Group Co Ltd,0,0,0,0,73900397,0,0,73900397.0
Bank of China,Petróleo Brasileiro SA – Petrobras,0,0,0,0,0,459525710,379166667,838692377.0
Bank of China,Shandong Energy Co Ltd,1251212760,242906950,585612129,395938793,146447355,93067958,66380651,2781566595.0
Bank of China,Tianjin Energy Investment Co Ltd,0,0,15601064,0,23065308,0,0,38666372.0
Bank of China,Shell PLC,0,0,0,388000000,0,0,0,388000000.0
Bank of China,Shenergy Group Co Ltd,0,0,54802125,0,131360729,0,0,186162854.0
Bank of China,Shenmu City State-Owned Assets Operation Co,0,0,0,177089,0,0,0,177089.0
Bank of China,State Grid Corp of China,680808801,504657512,78708624,499637000,2338229043,385195885,1309728000,5796964865.0
Bank of China,State Power Investment Corp (SPIC),1098519738,757913232,1550143704,1173982096,1342727476,749121580,333151596,7005559419.0
Bank of China,TBEA Co Ltd,2225790,0,0,0,6412926,0,7497733,16136448.0
Bank of China,Xin Jiang Guang Hui Industry Investment Group Co Ltd,0,0,0,0,11665187,0,0,11665187.0
Bank of China,Zhejiang Provincial Energy Group Co Ltd,0,109871640,227820600,53233200,0,154307790,0,545233230.0
Bank of China,Jizhong Energy Group Co Ltd,1165296847,0,797597530,749913345,371633212,0,0,3084440933.0
Bank of China,Shanxi Coking Coal Group Co Ltd,205104060,380885922,325916275,497878676,0,0,0,1409784933.0
Bank of China,Jinneng Holding Group Co Ltd,217965352,0,270041320,838075275,608558372,384012605,295966376,2614619299.0
Bank of China,China ZhenHua Oil Co Ltd,114730875,0,0,0,0,0,0,114730875.0
Bank of China,Inner Mongolia Yitai Investment Co Ltd,0,0,203570750,182647750,0,0,0,386218500.0
Bank of China,Abu Dhabi National Oil Company (ADNOC),0,0,0,0,0,0,249975157,249975157.0
Bank of China,BHP Group Ltd,0,0,0,57500000,2857143,0,0,60357143.0
Bank of China,Beijing Energy Holding Co Ltd,106111281,1502643,131093921,1105052,1448416,1573221,0,242834534.0
Bank of China,CLP Holdings Ltd,0,0,0,0,0,0,117515970,117515970.0
Bank of China,China COSCO Shipping Corp Ltd,0,0,0,2878203,0,0,0,2878203.0
Bank of China,China Datang Corp,818759212,0,0,0,0,55965509,109605840,984330561.0
Bank of China,China Energy Investment Corp Ltd,431943680,1238257639,196619727,367959101,381468182,249791213,95760320,2961799863.0
Bank of China,China Huadian Corp Ltd,457711348,147224498,1208761129,1170726193,424029610,821606339,312630780,4542689899.0
Bank of China,China Huaneng Group Co Ltd,629182455,305874830,827056416,659216551,740232881,555839446,466884652,4184287230.0
Bank of China,China National Offshore Oil Corp (CNOOC),0,0,145000000,136363636,177651419,0,1689797304,2148812359.0
Bank of China,China Coal Xinji Energy Co Ltd,0,0,72789500,0,0,0,0,72789500.0
Bank of China,China Petrochemical Corporation (Sinopec Group),1049999001,497499993,133333400,276190477,586756730,1357227500,0,3901007101.0
Bank of China,Inpex Corp,60000000,230769230,0,0,0,0,59000000,349769230.0
Bank of China,EN+ Group International PJSC,0,8968092,0,3679555,0,0,0,12647647.0
Bank of China,Eni SpA,0,500000000,0,0,0,0,0,500000000.0
Bank of China,Gazprom PJSC,258649375,0,0,0,0,0,0,258649375.0
Bank of China,Guangdong Hanjian Holding Co Ltd,0,28037036,12022983,0,8917317,0,0,48977337.0
Bank of China,Guangdong Hengjian Investment Holding Co Ltd,37367500,158850959,0,133222248,296018172,9501770,8759106,643719755.0
Bank of China,Hebei Construction & Investment Group Co Ltd,0,0,0,72203750,21737384,0,115340250,209281384.0
Bank of China,Huayang New Material Technology Group Co Ltd,153325000,123488000,150300850,107156250,285710000,0,0,819980100.0
Bank of China,China National Petroleum Corporation (CNPC),2963474715,1053268800,1969464286,2249227500,1617341111,117075750,117819750,10087671912.0
Bank of Communications,Lu'an Chemical Group Co Ltd,49881199,95972842,48903301,24131188,45778625,0,25620208,290287362.0
Bank of Communications,Saudi Arabian Oil Company (Saudi Aramco),344444444,0,0,0,0,0,0,344444444.0
Bank of Communications,Shaanxi Coal and Chemical Industry Group Co Ltd,356175390,385994625,121821661,0,45765822,245003850,161973350,1316734698.0
Bank of Communications,Shaanxi Investment Group Co Ltd,0,133702650,0,44695500,45600300,69664950,45396000,339059400.0
Bank of Communications,Shaanxi Yanchang Petroleum Group Co Ltd,584929059,0,0,628684696,839430867,300546064,413451589,2767042275.0
Bank of Communications,Zhejiang Provincial Energy Group Co Ltd,82097010,50000000,42670260,0,0,0,0,174767270.0
Bank of Communications,Shenergy Group Co Ltd,169169640,108642046,114161397,80815410,0,453803488,106332000,1032923981.0
Bank of Communications,State Grid Corp of China,0,0,380208750,435955500,918116500,2031069250,3266220250,7031570250.0
Bank of Communications,State Power Investment Corp (SPIC),219304522,351688948,268212363,34158168,127647854,153202780,272570625,1426785259.0
Bank of Communications,Kailuan Group Ltd Liability Corp,0,68227200,54793649,56089733,0,0,22442550,201553132.0
Bank of Communications,Shandong Energy Co Ltd,0,147254461,144189267,144124702,158801552,356518780,80916760,1031805522.0
Bank of Communications,Jizhong Energy Group Co Ltd,281068168,459593214,614195648,1002368366,283710284,0,0,2640935680.0
Bank of Communications,Inner Mongolia Yitai Investment Co Ltd,151888000,0,0,0,0,0,0,151888000.0
Bank of Communications,Inpex Corp,0,0,0,0,0,0,70000000,70000000.0
Bank of Communications,Jinneng Holding Group Co Ltd,0,131967579,639756099,610885403,642530410,0,0,2025139492.0
Bank of Communications,Beijing Energy Holding Co Ltd,151623266,0,795212,0,61930124,0,0,214348602.0
Bank of Communications,China Energy Investment Corp Ltd,36455250,91844749,0,231113384,344789891,208796869,10220070,923220212.0
Bank of Communications,China Huaneng Group Co Ltd,0,0,0,0,0,399977289,179352537,579329826.0
Bank of Communications,China National Offshore Oil Corp (CNOOC),299428000,0,0,136363636,66666667,0,0,502458303.0
Bank of Communications,China Huadian Corp Ltd,303005277,212567605,276601062,0,197272905,205908001,456432076,1651786926.0
Bank of Communications,China Petrochemical Corporation (Sinopec Group),0,270833333,133333400,142857143,586756730,356436000,0,1490216606.0
Bank of Communications,Guangdong Hengjian Investment Holding Co Ltd,4119357,0,0,0,0,0,0,4119357.0
Bank of Communications,Hebei Construction & Investment Group Co Ltd,115023750,0,0,0,0,19603875,0,134627625.0
Bank of Communications,Huayang New Material Technology Group Co Ltd,190156500,295196500,78864500,272117875,231463500,0,0,1067798875.0
Bank of Communications,China National Petroleum Corporation (CNPC),0,0,0,0,658431000,463440000,0,1121871000.0
Bank of Montreal,PPL Corp,0,0,0,0,67500000,0,0,67500000.0
Bank of Montreal,HG Energy II Production Holdings LLC,0,368980980,0,0,0,0,0,368980980.0
Bank of Montreal,Hilcorp Energy Co,0,0,140790642,0,0,0,0,140790642.0
Bank of Montreal,Glencore PLC,39741920,45843750,66119985,111677419,254210713,0,46412903,564006690.0
Bank of Montreal,Kinder Morgan Inc,0,0,409090909,0,250000000,371666667,391666667,1422424243.0
Bank of Montreal,Legacy Reserves Inc,0,0,0,187500000,0,0,0,187500000.0
Bank of Montreal,Matador Resources Co,66141665,104360000,175000000,0,0,0,0,345501665.0
Bank of Montreal,Peabody Energy Corp,0,87500000,80000000,108000000,0,0,0,275500000.0
Bank of Montreal,Suncor Energy Inc,257929000,0,0,0,0,0,0,257929000.0
Bank of Montreal,Pioneer Natural Resources Co,154699869,308008333,0,0,176388889,0,0,639097091.0
Bank of Montreal,Range Resources Corp,0,0,0,0,134523810,0,0,134523810.0
Bank of Montreal,Sabinal Energy Operating LLC,0,0,0,175988302,0,0,0,175988302.0
Bank of Montreal,Southwestern Energy Co,32812500,500000000,92455954,166666667,22589286,0,181818182,996342589.0
Bank of Montreal,Teck Resources Ltd,157162917,144676000,62004000,0,160177000,0,0,524019917.0
Bank of Montreal,Vermilion Energy Inc,0,37500000,0,0,0,0,0,37500000.0
Bank of Montreal,Enerplus Corp,88834400,0,0,0,0,251897016,182500000,523231416.0
Bank of Montreal,Petroliam Nasional Berhad (Petronas),0,0,19985525,0,0,0,0,19985525.0
Bank of Montreal,Endeavor Energy Resources LP,0,125000000,250000000,196428571,85714286,0,0,657142857.0
Bank of Montreal,Arch Resources Inc,0,85607143,42571429,0,0,0,0,128178572.0
Bank of Montreal,EQT Corp,0,312500000,0,200000000,317101648,0,0,829601648.0
Bank of Montreal,EXCO Resources Inc,0,0,0,54166667,0,0,0,54166667.0
Bank of Montreal,APA Corp,212475000,0,0,83333333,104166667,0,0,399975000.0
Bank of Montreal,Aethon Energy Management LLC,48750000,0,0,72320272,193750000,0,250000000,564820272.0
Bank of Montreal,Aker BP ASA,0,0,0,446969697,150000000,250980393,0,847950090.0
Bank of Montreal,Amplify Energy Corp,0,0,416160000,0,0,0,0,416160000.0
Bank of Montreal,Ascent Resources LLC,0,500000000,362500000,333333333,0,0,0,1195833333.0
Bank of Montreal,Callon Petroleum Co,0,20833333,0,0,0,0,0,20833333.0
Bank of Montreal,Canadian Natural Resources Ltd (CNRL),380907500,0,0,0,152341400,0,0,533248900.0
Bank of Montreal,Antero Resources Corp,0,0,0,0,35714286,0,0,35714286.0
Bank of Montreal,Chevron Corp,0,0,0,300000000,0,0,0,300000000.0
Bank of Montreal,Comstock Resources Inc,0,97857142,841666667,1500000000,155610714,0,0,2595134523.0
Bank of Montreal,ConocoPhillips,0,0,228571429,0,0,0,0,228571429.0
