New_project,Project Name,Country_x,Potential emissions (GtCO2),Fuel,Unit ID,Wiki URL,Latitude,Longitude,Operator,Owner,Parent,Unit_concerned
False,Upper Zakum,United Arab Emirates,6.44038252,Oil&Gas,OG0012322,https://www.gem.wiki/Upper_Zakum_Oil_Field_(United_Arab_Emirates),24.853,53.662,ADNOC Offshore,Abu Dhabi National Oil Company (60%);ExxonMobil (28%);INPEX Corporation (12%),Abu Dhabi National Oil Company (60%);ExxonMobil Corporation (28%);INPEX Corporation (12%),
False,Bu Hasa,United Arab Emirates,4.915778525,Oil&Gas,,,,,,,,
False,Bab,United Arab Emirates,4.197033055,Oil&Gas,,,,,,,,
False,Lower Zakum,United Arab Emirates,2.434419542,Oil&Gas,OG0012287,https://www.gem.wiki/Lower_Zakum_Oil_Field_(United_Arab_Emirates),24.853,53.662,ADNOC Offshore,Abu Dhabi National Oil Company (60%);ONGC (10%);INPEX Corporation (10%);CNPC (6%);Other (14%),Abu Dhabi National Oil Company (60%);Oil and Natural Gas Corporation (ONGC) (10%);INPEX Corporation (10%);China National Petroleum Corporation (6%);Other (14%),
False,Umm Shaif/Nasr,United Arab Emirates,1.939252733,Oil&Gas,OG0012319,https://www.gem.wiki/Umm_Shaif_Oil_Field_(United_Arab_Emirates),25.262,53.283,ADNOC Offshore,Abu Dhabi National Oil Company (60%);Eni S.P.A. (10%);TotalEnergies (20%);CNPC (6%);CNOOC Limited (4%),Abu Dhabi National Oil Company (60%);Eni S.P.A. (10%);TotalEnergies (20%);China National Petroleum Corporation (6%);CNOOC Limited (4%),
False,Bab (Gasco),United Arab Emirates,1.674389775,Oil&Gas,,,,,,,,
False,Asab,United Arab Emirates,1.373231334,Oil&Gas,OG0012265,https://www.gem.wiki/Bu_HasaShahAsab_Oil_and_Gas_Concession_(United_Arab_Emirates),23.517,53.238,,,,
False,Asab,United Arab Emirates,1.373231334,Oil&Gas,OG0012265,https://www.gem.wiki/Bu_HasaShahAsab_Oil_and_Gas_Concession_(United_Arab_Emirates),23.517,53.238,,,,
False,Vaca Muerta Shale,Argentina,5.177782001,Oil&Gas,,,,,,,,
True,Goldwyer Shale,Australia,4.468806417,Oil&Gas,,,,,,,,
False,Gorgon LNG T1-T3,Australia,1.931000175,Oil&Gas,,,,,,,,
True,Velkerri Shale,Australia,1.058031183,Oil&Gas,,,,,,,,
False,ACG (Azeri-Chirag-Guneshli Deep Water),Azerbaijan,1.660265695,Oil&Gas,OG0012912,https://www.gem.wiki/Azeri-Chirag-Guneshli_(ACG)_Deepwater_Oil_and_Gas_Complex_(Azerbaijan),40.21967,51.09767,Azerbaijan International Operating Company (AIOC),"Azerbaijan (OCC) Limited (11.6%);BP Exploration (Caspian Si) Limited (35.8%);Statoil Absheron AS (8.6%);INPEX Southwest Caspian Sea, Ltd. (11%);other (33%)",Azerbaijan (OCC) Limited (11.6%);BP P.L.C. (35.8%);Equinor ASA (8.6%);INPEX Corporation (11%),
True,Central Arabian Offshore,Bahrain,1.411444785,Oil&Gas,,,,,,,,
True,Santos Offshore,Brazil,4.339841028,Oil&Gas,,,,,,,,
True,Llandovery Shale,Brazil,4.273465065,Oil&Gas,,,,,,,,
False,Buzios (x-Franco),Brazil,3.638233141,Oil&Gas,OG0000072,https://www.gem.wiki/Búzios_Oil_and_Gas_Field_(Brazil),-24.657,-42.498,Petrobras,Petrobras (100%),Petrobras (100%);Petróleo Brasileiro S.A. (100%),
True,Irati Shale,Brazil,2.695278585,Oil&Gas,,,,,,,,
False,Lula (X-Tupi),Brazil,2.545775174,Oil&Gas,OG0000452,https://www.gem.wiki/Tupi_Oil_and_Gas_Field_(Brazil),-25.398,-42.839,Petrobras,Petrobras (67.2%);Shell (23%);Galp (9.2%);PPSA (0.6%),"Petrobras (67.2%);Petróleo Brasileiro S.A. (67.2%);Shell plc (23%);Galp Energia, SGPS, S.A. (9.2%);Pré-Sal Petróleo S.A. (0.6%)",
True,Parnaiba Onshore,Brazil,1.998572969,Oil&Gas,,,,,,,,
True,Libra,Brazil,1.891731555,Oil&Gas,OG0000253,https://www.gem.wiki/Libra_Oil_Field_(Brazil),,,,Petrobras (40%);Shell (20%);TotalEnergies (20%);CNOOC Limited (10%);CNPC (10%),Petrobras (40%);Petróleo Brasileiro S.A. (40%);Shell plc (20%);TotalEnergies (20%);CNOOC Limited (10%);China National Petroleum Corporation (10%),
True,Candeias Shale,Brazil,1.641797865,Oil&Gas,OG0000092,https://www.gem.wiki/Candeias_Oil_and_Gas_Field_(Brazil),-12.715,-38.542,Petrobras,Petrobras (100%),Petrobras (100%);Petróleo Brasileiro S.A. (100%),
True,Campos Offshore,Brazil,1.560951299,Oil&Gas,,,,,,,,
False,Mero (Libra NW),Brazil,1.287024055,Oil&Gas,OG0000253,https://www.gem.wiki/Libra_Oil_Field_(Brazil),,,,Petrobras (40%);Shell (20%);TotalEnergies (20%);CNOOC Limited (10%);CNPC (10%),Petrobras (40%);Petróleo Brasileiro S.A. (40%);Shell plc (20%);TotalEnergies (20%);CNOOC Limited (10%);China National Petroleum Corporation (10%),
False,Montney Play,Canada,13.6884891,Oil&Gas,OG0011911,"https://www.gem.wiki/Northern_Montney_Oil_and_Gas_Field_(British_Columbia,_Canada)",55.99399,-120.841521,,,,
False,"Spirit River (Notikewin, Falher, Wilrich)",Canada,2.976203115,Oil&Gas,,,,,,,,
False,Horizon Oil Sands Project,Canada,1.989790706,Oil&Gas,,,,,,,,
False,Kearl,Canada,1.901181774,Oil&Gas,,,,,,,,
False,Duvernay,Canada,1.871369296,Oil&Gas,,,,,,,,
False,Athabasca Oil Sands Project,Canada,1.355853264,Oil&Gas,OG0009624,"https://www.gem.wiki/Athabasca_Area_-_Scheme_9241H_Oil_Sands_Project_(Alberta,_Canada)",57.414,-111.54,Fort Hills Energy Corporation,Suncor Energy (54.1%);TotalEnergies E&P Canada Ltd. (24.6%);Teck Resources Limited (21.3%),Suncor Energy Inc. (54.1%);TotalEnergies (24.6%);Teck Resources (21.3%),
False,Christina Lake,Canada,1.232128944,Oil&Gas,,,,,,,,
False,Liard Shale,Canada,1.201818384,Oil&Gas,,,,,,,,
