Carbon_Bomb_Name,Parent_Company,percentage
Christina Lake,nan,
Liard Shale,nan,
Syncrude Mildred Lake/Aurora,Suncor (58.7%),7
Longmaxi Shale,nan,
Changqing,nan,
Daqing,nan,
Cambrian/Silurian Marine Shale,nan,
Longmaxi Shale (Sichuan/Changyu),nan,
Tarim (CNPC),nan,
Southeast Uplift Onshore Heilongjiang Province,nan,
Shengli,Sinopec Group,
Oil shale China,nan,
Xinjiang (CNPC),nan,
Central Uplift Onshore Xinjiang Uygur Autonomous Region,nan,
La Luna Shale,nan,
Tannezuft Shale,nan,
Hassi R'Mel (Domestic),Sonatrach SPA,100
Hassi Messaoud,Sonatrach SPA,100
Bowland Shale,nan,
Kronprins Christian Offshore,nan,
Greater Turbot (Stabroek),nan,
Greater Liza (Liza),nan,
East Natuna (x-Natuna D-Alpha),nan,
Leviathan,nan,
Barail Shale,nan,
Rumaila North & South,nan,
Qurna West,nan,
Baghdad East,China ZhenHua Oil Co.,
Central Arabian Onshore,nan,
Majnoon,Basra Oil Company,100
Zubair,nan,
Qurna West-2,nan,
Halfayah,nan,
Nahr bin Umar,Basra Oil Company,100
Ratawi,Basra Oil Company,100
Basrah Gas project,nan,
Marun,National Iranian Oil Company,100
Azadegan,China National Petroleum Corporation,100
Ahwaz Asmari,National Iranian Oil Company,100
Central Arabian Offshore,nan,
Gachsaran,National Iranian Oil Company,100
Agha Jari,National Iranian Oil Company,100
Ahwaz Bangestan,National Iranian Oil Company,100
Pazanan,National Iranian Oil Company,100
South Pars (Phases 9-10) dry gas,nan,
Kish Gas Project,National Iranian Oil Company,100
Pars Southwest,nan,
South Pars (Phases 4-5) dry gas,nan,
Mansouri Bangestan,National Iranian Oil Company,100
South Pars (Phases 22-24),nan,
South Pars (Phases 20-21),National Iranian Oil Company,100
South Pars (Phases 2-3) dry gas,nan,
Greater Burgan,nan,
Project Kuwait,nan,
Central Arabian Onshore,nan,
Kashagan,nan,
Tengiz,nan,
Carboniferous Shale,nan,
Karachaganak,nan,
Sirte Shale,nan,
El Sharara,nan,
Eagle Ford Shale,nan,
Gulf Deepwater Offshore,nan,
Ku-Maloob-Zaap Project,nan,
Yucatan Platform Offshore,['Petroleos Mexicanos',
Yucatan Platform Offshore,nan,
Yucatan Platform Offshore,'Petroleos Mexicanos'],
MZLNG Joint Development (T1-T2),nan,
Area-1 Future Phases,nan,
Area 1 LNG (T1&T2),nan,
NLNG Base Project,nan,
Troll,nan,
Johan Sverdrup,nan,
Khafji,nan,
Sembar Shale,nan,
Lublin Basin Silurian Shale,nan,
North Field,nan,
North Field C LNG,nan,
North Field E,QatarEnergy,
QatarGas LNG T8-T11 (NFE-East),nan,
Barzan,nan,
Central Arabian Onshore,nan,
Qatargas 2 LNG T4-T5,nan,
QatarGas LNG T12-T13 (NFE-South),nan,
Dolphin,nan,
Rasgas 2 LNG T3-T5,nan,
Rasgas 3 LNG T6-T7,Qatargas Operating Company Limited,
Rasgas 3 LNG T6-T7,Qatargas Operating Company Limited,
QatarGas 1 LNG T1-T3,nan,
QatarGas 1 LNG T1-T3,nan,
Al Khaleej Gas project,nan,
Bovanenkovo Zone (Yamal Megaproject),Gazprom,
Gazprom dobycha Yamburg,Gazprom,
Tunguska Basin CBM,nan,
Shtokman,nan,
Urengoyskoye,Gazprom,
Kuznetsk Depression (Kuzbass) CBM,nan,
Yuganskneftegaz,nan,
Eastern Gas Program,nan,
West Siberia Offshore,nan,
Lensky Basin CBM,nan,
Timan - Pechora Basin Offshore,nan,
Tambey Zone (Yamal Megaproject),nan,
Timan - Pechora Basin Onshore,nan,
Samotlorneftegaz (TNK-BP),ROSNEFTEGAZ JSC,
Leningradskoye (Kara Sea),Gazprom,
Gazprom dobycha Orenburg,Gazprom,
Arctic LNG 2 T1-3,nan,
Volga - Urals Onshore,nan,
Romashkino,nan,
Rusanovskoye (Kara Sea),nan,
Gazprom dobycha Nadym,['Gazprom',
Gazprom dobycha Nadym,'Gazprom',
Gazprom dobycha Nadym,'Gazprom'],
Taymyr Basin CBM,nan,
North Kara Sea Offshore,nan,
West Siberia Onshore,nan,
SeverEnergia Project,nan,
Ghawar Uthmaniyah,nan,
Safaniya,nan,
Khurais project,nan,
Ghawar Haradh,nan,
Central Arabian Offshore,nan,
Ghawar Shedgum,nan,
Qatif project,nan,
Manifa (redevelop),nan,
Ghawar Hawiyah,nan,
Central Arabian Onshore,nan,
Shaybah,nan,
Berri,nan,
Zuluf (CR in field),nan,
Zuluf,nan,
Khursaniyah,nan,
Ghawar Ain Dar N,nan,
Marjan,nan,
Safaniya YTF Concession,nan,
Zuluf (expansion),nan,
Zuluf (expansion),nan,
Abqaiq,nan,
Ghawar Ain Dar S,nan,
Ghawar Ain Dar S,nan,
Ghawar Ain Dar S,nan,
Ghawar Ain Dar S,nan,
Ghawar Ain Dar S,nan,
Ghawar Ain Dar S,nan,
Sudair Shale,nan,
Harmaliyah,nan,
Tanf Shale,nan,
Yolotan (Iolotan) South,nan,
Yashlar Vostochnyy (East),nan,
Dovletabad-Donmez,nan,
Tanzanian Coastal Offshore,nan,
Menilite Shale,nan,
Permian Delaware Tight,nan,
Marcellus Shale,nan,
Permian Midland Tight,nan,
Haynesville/Bossier Shale,nan,
Utica Shale,nan,
Bakken Shale,nan,
Eagle Ford Shale,nan,
DJ Basin Tight Oil,nan,
Western Gulf Province_Texas,nan,
Woodford Shale,nan,
PRB Tight Oil,nan,
Chukchi Sea Offshore,nan,
Meramec Shale,nan,
Permian Conventional_Texas,nan,
North Slope Onshore,nan,
Anadarko Shelf_Oklahoma,nan,
Baltimore Canyon Offshore,nan,
Austin Chalk Tight,nan,
Barnett Shale,nan,
Beaufort Sea Offshore,nan,
Gulf Coast Centre Offshore,nan,
West Florida Offshore,nan,
Orinoco Joint Ventures,nan,
La Luna Shale,nan,
Collingham Shale,nan,
