Carbon_Bomb_Name,Parent_Company,percentage
Fengjiata Coal Mine,Shaanxi Investment Group,66
Fengjiata Coal Mine,Shaanxi Coal and Chemical Industry Group,34
Wucaiwan No.1 Surface Mine,Zhejiang Xinhu Group Holding Company,34
Wucaiwan No.1 Surface Mine,Zhejiang Shenglong Industrial Company,6
Wucaiwan No.1 Surface Mine,Yichang Caiyuan Investment and Management Company,41
Wucaiwan No.1 Surface Mine,Yichang Xinfa Industry Investment Company,10
Wucaiwan No.1 Surface Mine,Hubei Yihua Chemical Company,7
Wucaiwan No.1 Surface Mine,Xinjiang Energy Group,2
Gaojialiang No.1 Coal Mine,Beijing Energy,50
Gaojialiang No.1 Coal Mine,Ordos Energy Investment and Development Company,20
Gaojialiang No.1 Coal Mine,Shougang Group,1
Gaojialiang No.1 Coal Mine,Others,29
Gaohe Coal Mine,Lu'an Chemical Group,55
Gaohe Coal Mine,Asian American Continental Coal Company,45
Hongshaquan No.1 Coal Mine,Yima Coal Industry Group,60
Hongshaquan No.1 Coal Mine,Beijing Lirui Investment Company,40
Ningxia Hongliu Coal Mine,China Energy,51
Ningxia Hongliu Coal Mine,Ningxia State-Owned Capital Operation Group,49
Guojiawan Coal Mine,China Energy,37
Guojiawan Coal Mine,Shaanxi Coal and Chemical Group,18
Guojiawan Coal Mine,Fugu State-Owned Asset Management and Operation Company,21
Guojiawan Coal Mine,Others,24
Gaotouyao Coal Mine,China Huaneng,77
Gaotouyao Coal Mine,Guangdong Hengjian Investment Holding Company,7
Gaotouyao Coal Mine,China Energy,4
Gaotouyao Coal Mine,Others,12
Shanxi Lu'an Gucheng Coal Mine,Lu'an Chemical Group,
Hanglaiwan Coal Mine,Shaanxi Youser Group,63
Hanglaiwan Coal Mine,Shaanxi Yanchang Petroleum Group,38
Xiaojiawa Coal Mine,China Huadian,51
Xiaojiawa Coal Mine,Shanxi Tangrong Investment Company (24.5%),5
Xiaojiawa Coal Mine,Shanxi Dubao New Energy Group (24.5%),5
Wangjiata Coal Mine,Xin’ao Holding Investment Company,31
Wangjiata Coal Mine,Hongchuang (Shenzhen) Investment Center,10
Wangjiata Coal Mine,Langfang Heyuan Investment Center,8
Wangjiata Coal Mine,Hebei Weiyuan Group,7
Wangjiata Coal Mine,Others,44
Huangling No.2 Coal Mine,Shaanxi Coal and Chemical Industry Group,34
Huangling No.2 Coal Mine,Jiangsu Yueda Group,45
Huangling No.2 Coal Mine,Industrial and Commercial Bank of China,21
Dafosi Coal Mine,Shaanxi Coal and Chemical Industry Group (56.8%),8
Dafosi Coal Mine,Binxian Coal Company,5
Dafosi Coal Mine,Shaanxi Investment Group,5
Dafosi Coal Mine,Others,33
Zaoquan Coal Mine,China Energy,51
Zaoquan Coal Mine,Ningxia State-Owned Capital Operation Group,49
Yangquan No.1 Coal Mine,Huayang New Material Technology Group,
Sandaogou Coal Mine,China Energy,70
Sandaogou Coal Mine,Shaanxi Coal and Chemical Industry Group,30
Guqiao Coal Mine,Huaihe Energy,83
Guqiao Coal Mine,China Cinda Asset Management,8
Guqiao Coal Mine,China Energy,3
Guqiao Coal Mine,Others,6
Sihe Coal Mine,Jinneng Group (70.06%),06
Sihe Coal Mine,China Development Bank（10.29%），China Cinda Asset Management Company (13.65%),29
Dananhu No.1 Coal Mine,China Energy,
Xiaojihan Coal Mine,China Huadian,79
Xiaojihan Coal Mine,Yuling Mining Group,16
Xiaojihan Coal Mine,Yulin Yuyang District Energy Investment Company,5
Shengli East No.2 Coal Mine,China Datang (35.34%),34
Shengli East No.2 Coal Mine,HKSCC Nominees Limited (32.9%),9
Shengli East No.2 Coal Mine,Tianjin Energy Investment Group,7
Shengli East No.2 Coal Mine,Hebei Construction & Investment Group(6.93%),93
Shengli East No.2 Coal Mine,Beijing Energy Group (6.81%),81
Shengli East No.2 Coal Mine,Others(3.27%),27
Shengli East No.2 Coal Mine,China Datang (35.34%),34
Shengli East No.2 Coal Mine,HKSCC Nominees Limited (32.9%),9
Shengli East No.2 Coal Mine,Tianjin Energy Investment Group,7
Shengli East No.2 Coal Mine,Hebei Construction & Investment Group(6.93%),93
Shengli East No.2 Coal Mine,Beijing Energy (6.81%),81
Shengli East No.2 Coal Mine,Others (3.27%),27
Shengli East No.2 Coal Mine,China Datang (35.34%),34
Shengli East No.2 Coal Mine,HKSCC Nominees Limited (32.9%),9
Shengli East No.2 Coal Mine,Tianjin Energy Investment Group,7
Shengli East No.2 Coal Mine,Hebei Construction & Investment Group(6.93%),93
Shengli East No.2 Coal Mine,Beijing Energy (6.81%),81
Shengli East No.2 Coal Mine,Others (3.27%),27
Chahasu Coal Mine,China Energy,50
Chahasu Coal Mine,Hebei Construction & Investment Group,50
Majialiang Coal Mine,Jinneng Holding Group,88
Majialiang Coal Mine,Others,12
Yushuwan Coal Mine,Shaanxi Yulin Energy Group,50
Yushuwan Coal Mine,Shenmu Coal Company,20
Yushuwan Coal Mine,Yulin Yuyang Coal Company,20
Yushuwan Coal Mine,Yanchang Oil and Minerals Administration Hengshan Oil Drilling and Production Company,10
Huangyuchuan Coal Mine,China Energy,37
Huangyuchuan Coal Mine,Elion Group,49
Huangyuchuan Coal Mine,Others,14
Dongzhouyao Coal Mine,Jinneng Group,
Longwanggou Coal Mine,China Datang,51
Longwanggou Coal Mine,Luen Mei Group,49
