Country_source_CB,Year,Category,Series,Value,Footnotes,Source
Argentina,2015,Gross domestic product and gross domestic product per capita,GDP real rates of growth (percent),2.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,2018,Gross domestic product and gross domestic product per capita,GDP real rates of growth (percent),-2.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,2019,Gross domestic product and gross domestic product per capita,GDP real rates of growth (percent),-2.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,2020,Gross domestic product and gross domestic product per capita,GDP real rates of growth (percent),-9.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Argentina,1975,CO2 emission estimates,Emissions (thousand metric tons of carbon dioxide),"85,498",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
Argentina,1985,CO2 emission estimates,Emissions (thousand metric tons of carbon dioxide),"88,181",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
Argentina,2005,CO2 emission estimates,Emissions (thousand metric tons of carbon dioxide),"143,245",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
Argentina,2010,CO2 emission estimates,Emissions (thousand metric tons of carbon dioxide),"164,168",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
Argentina,2015,CO2 emission estimates,Emissions (thousand metric tons of carbon dioxide),"181,804",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
Argentina,2017,CO2 emission estimates,Emissions (thousand metric tons of carbon dioxide),"176,054",,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2022."
