Country_source_CB,Year,Category,Series,Value,Footnotes,Source
Algeria,2020,"Population, density and surface area",Population aged 0 to 14 years old (percentage),30.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Algeria,2020,"Population, density and surface area",Population aged 60+ years old (percentage),9.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Algeria,2020,"Population, density and surface area",Population density,18.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Algeria,2020,"Population, density and surface area",Surface area (thousand km2),"2,382",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Algeria,2022,"Population, density and surface area",Population mid-year estimates (millions),44.90,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Algeria,2022,"Population, density and surface area",Population mid-year estimates for males (millions),22.86,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Algeria,2022,"Population, density and surface area",Population mid-year estimates for females (millions),22.04,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Algeria,2022,"Population, density and surface area",Sex ratio (males per 100 females),103.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Algeria,2022,"Population, density and surface area",Population aged 0 to 14 years old (percentage),30.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Algeria,2022,"Population, density and surface area",Population aged 60+ years old (percentage),9.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Algeria,2022,"Population, density and surface area",Population density,18.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Algeria,1995,Gross domestic product and gross domestic product per capita,GDP in current prices (millions of US dollars),"41,971",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,2005,Gross domestic product and gross domestic product per capita,GDP in current prices (millions of US dollars),"103,198",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,2010,Gross domestic product and gross domestic product per capita,GDP in current prices (millions of US dollars),"161,207",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,2015,Gross domestic product and gross domestic product per capita,GDP in current prices (millions of US dollars),"165,979",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,2018,Gross domestic product and gross domestic product per capita,GDP in current prices (millions of US dollars),"175,415",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,2019,Gross domestic product and gross domestic product per capita,GDP in current prices (millions of US dollars),"171,158",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,2020,Gross domestic product and gross domestic product per capita,GDP in current prices (millions of US dollars),"147,689",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,1995,Gross domestic product and gross domestic product per capita,GDP per capita (US dollars),"1,459",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,2005,Gross domestic product and gross domestic product per capita,GDP per capita (US dollars),"3,113",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,2010,Gross domestic product and gross domestic product per capita,GDP per capita (US dollars),"4,481",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,2015,Gross domestic product and gross domestic product per capita,GDP per capita (US dollars),"4,178",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,2018,Gross domestic product and gross domestic product per capita,GDP per capita (US dollars),"4,154",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,2019,Gross domestic product and gross domestic product per capita,GDP per capita (US dollars),"3,976",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,2020,Gross domestic product and gross domestic product per capita,GDP per capita (US dollars),"3,368",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,1995,Gross domestic product and gross domestic product per capita,GDP in constant 2010 prices (millions of US dollars),"81,507",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,2005,Gross domestic product and gross domestic product per capita,GDP in constant 2010 prices (millions of US dollars),"124,381",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
Algeria,2010,Gross domestic product and gross domestic product per capita,GDP in constant 2010 prices (millions of US dollars),"140,977",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed March 2022."
